Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
1200138,Bujari,AC,NORTE,jan.-18,1
1200203,Cruzeiro Do Sul,AC,NORTE,jan.-18,8
1200302,Feijó,AC,NORTE,jan.-18,3
1200328,Jordão,AC,NORTE,jan.-18,1
1200336,Mâncio Lima,AC,NORTE,jan.-18,1
1200401,Rio Branco,AC,NORTE,jan.-18,31
1200427,Rodrigues Alves,AC,NORTE,jan.-18,2
1200500,Sena Madureira,AC,NORTE,jan.-18,1
1200450,Senador Guiomard,AC,NORTE,jan.-18,1
1200609,Tarauacá,AC,NORTE,jan.-18,1
1200708,Xapuri,AC,NORTE,jan.-18,1
1200179,Capixaba,AC,NORTE,fev.-18,3
1200203,Cruzeiro Do Sul,AC,NORTE,fev.-18,4
1200302,Feijó,AC,NORTE,fev.-18,1
1200807,Porto Acre,AC,NORTE,fev.-18,1
1200401,Rio Branco,AC,NORTE,fev.-18,18
1200609,Tarauacá,AC,NORTE,fev.-18,1
1200138,Bujari,AC,NORTE,mar.-18,1
1200179,Capixaba,AC,NORTE,mar.-18,1
1200203,Cruzeiro Do Sul,AC,NORTE,mar.-18,9
1200385,Plácido De Castro,AC,NORTE,mar.-18,1
1200401,Rio Branco,AC,NORTE,mar.-18,11
1200500,Sena Madureira,AC,NORTE,mar.-18,2
1200450,Senador Guiomard,AC,NORTE,mar.-18,2
1200609,Tarauacá,AC,NORTE,mar.-18,2
1200013,Acrelândia,AC,NORTE,abr.-18,1
1200104,Brasiléia,AC,NORTE,abr.-18,2
1200203,Cruzeiro Do Sul,AC,NORTE,abr.-18,3
1200302,Feijó,AC,NORTE,abr.-18,1
1200385,Plácido De Castro,AC,NORTE,abr.-18,3
1200807,Porto Acre,AC,NORTE,abr.-18,2
1200401,Rio Branco,AC,NORTE,abr.-18,15
1200450,Senador Guiomard,AC,NORTE,abr.-18,1
1200609,Tarauacá,AC,NORTE,abr.-18,2
1200013,Acrelândia,AC,NORTE,mai.-18,1
1200104,Brasiléia,AC,NORTE,mai.-18,1
1200203,Cruzeiro Do Sul,AC,NORTE,mai.-18,6
1200302,Feijó,AC,NORTE,mai.-18,2
1200385,Plácido De Castro,AC,NORTE,mai.-18,1
1200401,Rio Branco,AC,NORTE,mai.-18,22
1200427,Rodrigues Alves,AC,NORTE,mai.-18,1
1200500,Sena Madureira,AC,NORTE,mai.-18,1
1200609,Tarauacá,AC,NORTE,mai.-18,1
1200054,Assis Brasil,AC,NORTE,jun.-18,1
1200179,Capixaba,AC,NORTE,jun.-18,1
1200203,Cruzeiro Do Sul,AC,NORTE,jun.-18,7
1200252,Epitaciolândia,AC,NORTE,jun.-18,1
1200302,Feijó,AC,NORTE,jun.-18,2
1200385,Plácido De Castro,AC,NORTE,jun.-18,1
1200807,Porto Acre,AC,NORTE,jun.-18,1
1200401,Rio Branco,AC,NORTE,jun.-18,18
1200500,Sena Madureira,AC,NORTE,jun.-18,4
1200013,Acrelândia,AC,NORTE,jul.-18,1
1200054,Assis Brasil,AC,NORTE,jul.-18,4
1200104,Brasiléia,AC,NORTE,jul.-18,1
1200203,Cruzeiro Do Sul,AC,NORTE,jul.-18,7
1200302,Feijó,AC,NORTE,jul.-18,2
1200336,Mâncio Lima,AC,NORTE,jul.-18,2
1200401,Rio Branco,AC,NORTE,jul.-18,33
1200500,Sena Madureira,AC,NORTE,jul.-18,1
1200179,Capixaba,AC,NORTE,ago.-18,1
1200203,Cruzeiro Do Sul,AC,NORTE,ago.-18,6
1200336,Mâncio Lima,AC,NORTE,ago.-18,4
1200401,Rio Branco,AC,NORTE,ago.-18,19
1200609,Tarauacá,AC,NORTE,ago.-18,3
1200179,Capixaba,AC,NORTE,set.-18,2
1200203,Cruzeiro Do Sul,AC,NORTE,set.-18,3
1200351,Marechal Thaumaturgo,AC,NORTE,set.-18,1
1200401,Rio Branco,AC,NORTE,set.-18,15
1200500,Sena Madureira,AC,NORTE,set.-18,1
1200450,Senador Guiomard,AC,NORTE,set.-18,1
1200609,Tarauacá,AC,NORTE,set.-18,2
1200013,Acrelândia,AC,NORTE,out.-18,1
1200054,Assis Brasil,AC,NORTE,out.-18,1
1200104,Brasiléia,AC,NORTE,out.-18,1
1200138,Bujari,AC,NORTE,out.-18,0
1200179,Capixaba,AC,NORTE,out.-18,1
1200203,Cruzeiro Do Sul,AC,NORTE,out.-18,3
1200252,Epitaciolândia,AC,NORTE,out.-18,0
1200302,Feijó,AC,NORTE,out.-18,3
1200328,Jordão,AC,NORTE,out.-18,0
1200336,Mâncio Lima,AC,NORTE,out.-18,0
1200344,Manoel Urbano,AC,NORTE,out.-18,0
1200351,Marechal Thaumaturgo,AC,NORTE,out.-18,0
1200385,Plácido De Castro,AC,NORTE,out.-18,1
1200393,Porto Walter,AC,NORTE,out.-18,0
1200401,Rio Branco,AC,NORTE,out.-18,13
1200427,Rodrigues Alves,AC,NORTE,out.-18,0
1200435,Santa Rosa Do Purus,AC,NORTE,out.-18,0
1200450,Senador Guiomard,AC,NORTE,out.-18,1
1200500,Sena Madureira,AC,NORTE,out.-18,0
1200609,Tarauacá,AC,NORTE,out.-18,3
1200708,Xapuri,AC,NORTE,out.-18,0
1200807,Porto Acre,AC,NORTE,out.-18,0
1200013,Acrelândia,AC,NORTE,nov.-18,0
1200054,Assis Brasil,AC,NORTE,nov.-18,1
1200104,Brasiléia,AC,NORTE,nov.-18,1
1200138,Bujari,AC,NORTE,nov.-18,0
1200179,Capixaba,AC,NORTE,nov.-18,0
