Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
2700102,Água Branca,AL,NORDESTE,jan.-18,1
2700300,Arapiraca,AL,NORDESTE,jan.-18,11
2700409,Atalaia,AL,NORDESTE,jan.-18,2
2700607,Barra De São Miguel,AL,NORDESTE,jan.-18,1
2700805,Belém,AL,NORDESTE,jan.-18,1
2701001,Boca Da Mata,AL,NORDESTE,jan.-18,3
2701100,Branquinha,AL,NORDESTE,jan.-18,1
2701506,Campo Grande,AL,NORDESTE,jan.-18,1
2701704,Capela,AL,NORDESTE,jan.-18,1
2702009,Coité Do Nóia,AL,NORDESTE,jan.-18,1
2702108,Colônia Leopoldina,AL,NORDESTE,jan.-18,4
2702207,Coqueiro Seco,AL,NORDESTE,jan.-18,1
2702306,Coruripe,AL,NORDESTE,jan.-18,8
2702355,Craíbas,AL,NORDESTE,jan.-18,1
2702405,Delmiro Gouveia,AL,NORDESTE,jan.-18,2
2702603,Feira Grande,AL,NORDESTE,jan.-18,1
2702801,Flexeiras,AL,NORDESTE,jan.-18,1
2703106,Igaci,AL,NORDESTE,jan.-18,1
2703205,Igreja Nova,AL,NORDESTE,jan.-18,1
2703304,Inhapi,AL,NORDESTE,jan.-18,3
2703502,Jacuípe,AL,NORDESTE,jan.-18,2
2703759,Jequiá Da Praia,AL,NORDESTE,jan.-18,1
2703809,Joaquim Gomes,AL,NORDESTE,jan.-18,2
2704104,Lagoa Da Canoa,AL,NORDESTE,jan.-18,1
2704203,Limoeiro De Anadia,AL,NORDESTE,jan.-18,3
2704302,Maceió,AL,NORDESTE,jan.-18,50
2704500,Maragogi,AL,NORDESTE,jan.-18,1
2705002,Mata Grande,AL,NORDESTE,jan.-18,1
2705507,Murici,AL,NORDESTE,jan.-18,1
2706307,Palmeira Dos Índios,AL,NORDESTE,jan.-18,4
2706448,Paripueira,AL,NORDESTE,jan.-18,1
2706505,Passo De Camaragibe,AL,NORDESTE,jan.-18,1
