Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
1300029,Alvarães,AM,NORTE,jan.-18,0
1300060,Amaturá,AM,NORTE,jan.-18,0
1300086,Anamã,AM,NORTE,jan.-18,0
1300102,Anori,AM,NORTE,jan.-18,0
1300144,Apuí,AM,NORTE,jan.-18,0
1300201,Atalaia Do Norte,AM,NORTE,jan.-18,0
1300300,Autazes,AM,NORTE,jan.-18,2
1300409,Barcelos,AM,NORTE,jan.-18,0
1300508,Barreirinha,AM,NORTE,jan.-18,0
1300607,Benjamin Constant,AM,NORTE,jan.-18,0
1300631,Beruri,AM,NORTE,jan.-18,0
1300680,Boa Vista Do Ramos,AM,NORTE,jan.-18,0
1300706,Boca Do Acre,AM,NORTE,jan.-18,0
1300805,Borba,AM,NORTE,jan.-18,0
1300839,Caapiranga,AM,NORTE,jan.-18,0
1300904,Canutama,AM,NORTE,jan.-18,0
1301001,Carauari,AM,NORTE,jan.-18,0
1301100,Careiro,AM,NORTE,jan.-18,0
1301159,Careiro Da Várzea,AM,NORTE,jan.-18,0
1301209,Coari,AM,NORTE,jan.-18,0
1301308,Codajás,AM,NORTE,jan.-18,0
1301407,Eirunepé,AM,NORTE,jan.-18,0
1301506,Envira,AM,NORTE,jan.-18,1
1301605,Fonte Boa,AM,NORTE,jan.-18,0
1301654,Guajará,AM,NORTE,jan.-18,0
1301704,Humaitá,AM,NORTE,jan.-18,0
1301803,Ipixuna,AM,NORTE,jan.-18,0
1301852,Iranduba,AM,NORTE,jan.-18,0
1301902,Itacoatiara,AM,NORTE,jan.-18,1
1301951,Itamarati,AM,NORTE,jan.-18,0
1302009,Itapiranga,AM,NORTE,jan.-18,0
1302108,Japurá,AM,NORTE,jan.-18,0
1302207,Juruá,AM,NORTE,jan.-18,0
1302306,Jutaí,AM,NORTE,jan.-18,0
1302405,Lábrea,AM,NORTE,jan.-18,0
1302504,Manacapuru,AM,NORTE,jan.-18,4
1302553,Manaquiri,AM,NORTE,jan.-18,0
1302603,Manaus,AM,NORTE,jan.-18,49
1302702,Manicoré,AM,NORTE,jan.-18,1
1302801,Maraã,AM,NORTE,jan.-18,0
1302900,Maués,AM,NORTE,jan.-18,0
1303007,Nhamundá,AM,NORTE,jan.-18,0
1303106,Nova Olinda Do Norte,AM,NORTE,jan.-18,0
1303205,Novo Airão,AM,NORTE,jan.-18,0
1303304,Novo Aripuanã,AM,NORTE,jan.-18,0
1303403,Parintins,AM,NORTE,jan.-18,0
1303502,Pauini,AM,NORTE,jan.-18,0
1303536,Presidente Figueiredo,AM,NORTE,jan.-18,0
1303569,Rio Preto Da Eva,AM,NORTE,jan.-18,1
1303601,Santa Isabel Do Rio Negro,AM,NORTE,jan.-18,0
1303700,Santo Antônio Do Içá,AM,NORTE,jan.-18,0
1303809,São Gabriel Da Cachoeira,AM,NORTE,jan.-18,0
1303908,São Paulo De Olivença,AM,NORTE,jan.-18,0
1303957,São Sebastião Do Uatumã,AM,NORTE,jan.-18,0
1304005,Silves,AM,NORTE,jan.-18,0
1304062,Tabatinga,AM,NORTE,jan.-18,1
1304104,Tapauá,AM,NORTE,jan.-18,0
1304203,Tefé,AM,NORTE,jan.-18,0
1304237,Tonantins,AM,NORTE,jan.-18,0
1304260,Uarini,AM,NORTE,jan.-18,0
1304302,Urucará,AM,NORTE,jan.-18,0
1304401,Urucurituba,AM,NORTE,jan.-18,0
1300029,Alvarães,AM,NORTE,fev.-18,0
1300060,Amaturá,AM,NORTE,fev.-18,0
1300086,Anamã,AM,NORTE,fev.-18,0
1300102,Anori,AM,NORTE,fev.-18,0
1300144,Apuí,AM,NORTE,fev.-18,0
1300201,Atalaia Do Norte,AM,NORTE,fev.-18,0
1300300,Autazes,AM,NORTE,fev.-18,2
1300409,Barcelos,AM,NORTE,fev.-18,1
1300508,Barreirinha,AM,NORTE,fev.-18,0
1300607,Benjamin Constant,AM,NORTE,fev.-18,0
1300631,Beruri,AM,NORTE,fev.-18,0
1300680,Boa Vista Do Ramos,AM,NORTE,fev.-18,0
1300706,Boca Do Acre,AM,NORTE,fev.-18,0
1300805,Borba,AM,NORTE,fev.-18,0
1300839,Caapiranga,AM,NORTE,fev.-18,0
1300904,Canutama,AM,NORTE,fev.-18,0
1301001,Carauari,AM,NORTE,fev.-18,0
1301100,Careiro,AM,NORTE,fev.-18,1
1301159,Careiro Da Várzea,AM,NORTE,fev.-18,1
1301209,Coari,AM,NORTE,fev.-18,0
1301308,Codajás,AM,NORTE,fev.-18,0
1301407,Eirunepé,AM,NORTE,fev.-18,0
1301506,Envira,AM,NORTE,fev.-18,0
1301605,Fonte Boa,AM,NORTE,fev.-18,0
1301654,Guajará,AM,NORTE,fev.-18,0
1301704,Humaitá,AM,NORTE,fev.-18,0
1301803,Ipixuna,AM,NORTE,fev.-18,0
1301852,Iranduba,AM,NORTE,fev.-18,1
1301902,Itacoatiara,AM,NORTE,fev.-18,1
1301951,Itamarati,AM,NORTE,fev.-18,0
1302009,Itapiranga,AM,NORTE,fev.-18,0
1302108,Japurá,AM,NORTE,fev.-18,0
1302207,Juruá,AM,NORTE,fev.-18,0
1302306,Jutaí,AM,NORTE,fev.-18,0
1302405,Lábrea,AM,NORTE,fev.-18,0
1302504,Manacapuru,AM,NORTE,fev.-18,2
1302553,Manaquiri,AM,NORTE,fev.-18,0
1302603,Manaus,AM,NORTE,fev.-18,65
1302702,Manicoré,AM,NORTE,fev.-18,0
1302801,Maraã,AM,NORTE,fev.-18,0
1302900,Maués,AM,NORTE,fev.-18,0
1303007,Nhamundá,AM,NORTE,fev.-18,0
1303106,Nova Olinda Do Norte,AM,NORTE,fev.-18,0
1303205,Novo Airão,AM,NORTE,fev.-18,0
1303304,Novo Aripuanã,AM,NORTE,fev.-18,0
1303403,Parintins,AM,NORTE,fev.-18,1
1303502,Pauini,AM,NORTE,fev.-18,0
1303536,Presidente Figueiredo,AM,NORTE,fev.-18,1
1303569,Rio Preto Da Eva,AM,NORTE,fev.-18,0
1303601,Santa Isabel Do Rio Negro,AM,NORTE,fev.-18,0
1303700,Santo Antônio Do Içá,AM,NORTE,fev.-18,0
1303809,São Gabriel Da Cachoeira,AM,NORTE,fev.-18,1
1303908,São Paulo De Olivença,AM,NORTE,fev.-18,0
1303957,São Sebastião Do Uatumã,AM,NORTE,fev.-18,0
1304005,Silves,AM,NORTE,fev.-18,0
1304062,Tabatinga,AM,NORTE,fev.-18,0
1304104,Tapauá,AM,NORTE,fev.-18,0
1304203,Tefé,AM,NORTE,fev.-18,0
1304237,Tonantins,AM,NORTE,fev.-18,0
1304260,Uarini,AM,NORTE,fev.-18,0
1304302,Urucará,AM,NORTE,fev.-18,1
1304401,Urucurituba,AM,NORTE,fev.-18,0
1300029,Alvarães,AM,NORTE,mar.-18,0
1300060,Amaturá,AM,NORTE,mar.-18,0
1300086,Anamã,AM,NORTE,mar.-18,0
1300102,Anori,AM,NORTE,mar.-18,0
1300144,Apuí,AM,NORTE,mar.-18,0
1300201,Atalaia Do Norte,AM,NORTE,mar.-18,0
1300300,Autazes,AM,NORTE,mar.-18,0
1300409,Barcelos,AM,NORTE,mar.-18,0
1300508,Barreirinha,AM,NORTE,mar.-18,0
1300607,Benjamin Constant,AM,NORTE,mar.-18,0
1300631,Beruri,AM,NORTE,mar.-18,0
1300680,Boa Vista Do Ramos,AM,NORTE,mar.-18,0
1300706,Boca Do Acre,AM,NORTE,mar.-18,0
1300805,Borba,AM,NORTE,mar.-18,0
1300839,Caapiranga,AM,NORTE,mar.-18,0
1300904,Canutama,AM,NORTE,mar.-18,0
1301001,Carauari,AM,NORTE,mar.-18,0
1301100,Careiro,AM,NORTE,mar.-18,1
1301159,Careiro Da Várzea,AM,NORTE,mar.-18,0
1301209,Coari,AM,NORTE,mar.-18,1
1301308,Codajás,AM,NORTE,mar.-18,0
1301407,Eirunepé,AM,NORTE,mar.-18,0
1301506,Envira,AM,NORTE,mar.-18,0
1301605,Fonte Boa,AM,NORTE,mar.-18,0
1301654,Guajará,AM,NORTE,mar.-18,0
1301704,Humaitá,AM,NORTE,mar.-18,0
1301803,Ipixuna,AM,NORTE,mar.-18,0
1301852,Iranduba,AM,NORTE,mar.-18,3
1301902,Itacoatiara,AM,NORTE,mar.-18,1
1301951,Itamarati,AM,NORTE,mar.-18,0
1302009,Itapiranga,AM,NORTE,mar.-18,0
1302108,Japurá,AM,NORTE,mar.-18,0
1302207,Juruá,AM,NORTE,mar.-18,0
1302306,Jutaí,AM,NORTE,mar.-18,0
1302405,Lábrea,AM,NORTE,mar.-18,0
1302504,Manacapuru,AM,NORTE,mar.-18,6
1302553,Manaquiri,AM,NORTE,mar.-18,0
1302603,Manaus,AM,NORTE,mar.-18,70
1302702,Manicoré,AM,NORTE,mar.-18,0
1302801,Maraã,AM,NORTE,mar.-18,0
1302900,Maués,AM,NORTE,mar.-18,0
1303007,Nhamundá,AM,NORTE,mar.-18,0
1303106,Nova Olinda Do Norte,AM,NORTE,mar.-18,1
1303205,Novo Airão,AM,NORTE,mar.-18,0
1303304,Novo Aripuanã,AM,NORTE,mar.-18,0
1303403,Parintins,AM,NORTE,mar.-18,0
1303502,Pauini,AM,NORTE,mar.-18,0
1303536,Presidente Figueiredo,AM,NORTE,mar.-18,7
1303569,Rio Preto Da Eva,AM,NORTE,mar.-18,0
1303601,Santa Isabel Do Rio Negro,AM,NORTE,mar.-18,0
1303700,Santo Antônio Do Içá,AM,NORTE,mar.-18,0
1303809,São Gabriel Da Cachoeira,AM,NORTE,mar.-18,0
1303908,São Paulo De Olivença,AM,NORTE,mar.-18,0
1303957,São Sebastião Do Uatumã,AM,NORTE,mar.-18,0
1304005,Silves,AM,NORTE,mar.-18,0
1304062,Tabatinga,AM,NORTE,mar.-18,1
1304104,Tapauá,AM,NORTE,mar.-18,0
1304203,Tefé,AM,NORTE,mar.-18,0
1304237,Tonantins,AM,NORTE,mar.-18,0
1304260,Uarini,AM,NORTE,mar.-18,0
1304302,Urucará,AM,NORTE,mar.-18,0
1304401,Urucurituba,AM,NORTE,mar.-18,0
1300029,Alvarães,AM,NORTE,abr.-18,0
