Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
1600204,Calçoene,AP,NORTE,jan.-18,1
1600303,Macapá,AP,NORTE,jan.-18,18
1600600,Santana,AP,NORTE,jan.-18,4
1600709,Tartarugalzinho,AP,NORTE,jan.-18,1
1600238,Ferreira Gomes,AP,NORTE,fev.-18,1
1600303,Macapá,AP,NORTE,fev.-18,10
1600402,Mazagão,AP,NORTE,fev.-18,1
1600501,Oiapoque,AP,NORTE,fev.-18,1
1600600,Santana,AP,NORTE,fev.-18,2
1600238,Ferreira Gomes,AP,NORTE,mar.-18,1
1600253,Itaubal,AP,NORTE,mar.-18,1
1600303,Macapá,AP,NORTE,mar.-18,15
1600402,Mazagão,AP,NORTE,mar.-18,1
1600535,Porto Grande,AP,NORTE,mar.-18,1
1600600,Santana,AP,NORTE,mar.-18,3
1600709,Tartarugalzinho,AP,NORTE,mar.-18,1
1600303,Macapá,AP,NORTE,abr.-18,15
1600501,Oiapoque,AP,NORTE,abr.-18,2
1600600,Santana,AP,NORTE,abr.-18,7
1600303,Macapá,AP,NORTE,mai.-18,13
1600535,Porto Grande,AP,NORTE,mai.-18,3
1600600,Santana,AP,NORTE,mai.-18,6
1600709,Tartarugalzinho,AP,NORTE,mai.-18,1
1600808,Vitória Do Jari,AP,NORTE,mai.-18,1
1600279,Laranjal Do Jari,AP,NORTE,jun.-18,1
1600303,Macapá,AP,NORTE,jun.-18,14
1600501,Oiapoque,AP,NORTE,jun.-18,1
1600535,Porto Grande,AP,NORTE,jun.-18,1
1600600,Santana,AP,NORTE,jun.-18,6
1600055,Serra Do Navio,AP,NORTE,jun.-18,1
1600808,Vitória Do Jari,AP,NORTE,jun.-18,1
1600105,Amapá,AP,NORTE,jul.-18,1
1600279,Laranjal Do Jari,AP,NORTE,jul.-18,1
1600303,Macapá,AP,NORTE,jul.-18,17
1600600,Santana,AP,NORTE,jul.-18,4
1600808,Vitória Do Jari,AP,NORTE,jul.-18,1
1600279,Laranjal Do Jari,AP,NORTE,ago.-18,1
1600303,Macapá,AP,NORTE,ago.-18,17
1600501,Oiapoque,AP,NORTE,ago.-18,1
1600600,Santana,AP,NORTE,ago.-18,5
1600709,Tartarugalzinho,AP,NORTE,ago.-18,1
1600303,Macapá,AP,NORTE,set.-18,24
1600535,Porto Grande,AP,NORTE,set.-18,2
1600600,Santana,AP,NORTE,set.-18,6
1600279,Laranjal Do Jari,AP,NORTE,out.-18,2
1600303,Macapá,AP,NORTE,out.-18,18
1600501,Oiapoque,AP,NORTE,out.-18,1
1600535,Porto Grande,AP,NORTE,out.-18,1
1600600,Santana,AP,NORTE,out.-18,4
1600709,Tartarugalzinho,AP,NORTE,out.-18,1
1600303,Macapá,AP,NORTE,nov.-18,19
1600402,Mazagão,AP,NORTE,nov.-18,1
1600535,Porto Grande,AP,NORTE,nov.-18,1
1600550,Pracuúba,AP,NORTE,nov.-18,1
1600600,Santana,AP,NORTE,nov.-18,5
1600279,Laranjal Do Jari,AP,NORTE,dez.-18,2
1600303,Macapá,AP,NORTE,dez.-18,19
1600501,Oiapoque,AP,NORTE,dez.-18,1
1600154,Pedra Branca Do Amapari,AP,NORTE,dez.-18,1
1600600,Santana,AP,NORTE,dez.-18,8
1600253,Itaubal,AP,NORTE,jan.-19,1
1600303,Macapá,AP,NORTE,jan.-19,9
1600402,Mazagão,AP,NORTE,jan.-19,1
1600204,Calçoene,AP,NORTE,fev.-19,1
1600279,Laranjal Do Jari,AP,NORTE,fev.-19,1
1600303,Macapá,AP,NORTE,fev.-19,9
1600402,Mazagão,AP,NORTE,fev.-19,1
1600501,Oiapoque,AP,NORTE,fev.-19,2
1600600,Santana,AP,NORTE,fev.-19,5
1600105,Amapá,AP,NORTE,mar.-19,1
1600303,Macapá,AP,NORTE,mar.-19,12
1600402,Mazagão,AP,NORTE,mar.-19,1
1600501,Oiapoque,AP,NORTE,mar.-19,2
1600535,Porto Grande,AP,NORTE,mar.-19,1
1600600,Santana,AP,NORTE,mar.-19,4
1600709,Tartarugalzinho,AP,NORTE,mar.-19,2
1600212,Cutias,AP,NORTE,abr.-19,2
1600238,Ferreira Gomes,AP,NORTE,abr.-19,1
1600279,Laranjal Do Jari,AP,NORTE,abr.-19,1
1600303,Macapá,AP,NORTE,abr.-19,15
1600535,Porto Grande,AP,NORTE,abr.-19,1
1600600,Santana,AP,NORTE,abr.-19,7
1600709,Tartarugalzinho,AP,NORTE,abr.-19,1
1600279,Laranjal Do Jari,AP,NORTE,mai.-19,3
1600303,Macapá,AP,NORTE,mai.-19,14
1600402,Mazagão,AP,NORTE,mai.-19,1
1600154,Pedra Branca Do Amapari,AP,NORTE,mai.-19,1
1600600,Santana,AP,NORTE,mai.-19,7
1600253,Itaubal,AP,NORTE,jun.-19,2
1600279,Laranjal Do Jari,AP,NORTE,jun.-19,1
1600303,Macapá,AP,NORTE,jun.-19,8
1600402,Mazagão,AP,NORTE,jun.-19,2
1600501,Oiapoque,AP,NORTE,jun.-19,1
1600535,Porto Grande,AP,NORTE,jun.-19,1
1600600,Santana,AP,NORTE,jun.-19,2
1600808,Vitória Do Jari,AP,NORTE,jun.-19,1
1600253,Itaubal,AP,NORTE,jul.-19,1
1600279,Laranjal Do Jari,AP,NORTE,jul.-19,1
1600303,Macapá,AP,NORTE,jul.-19,11
1600501,Oiapoque,AP,NORTE,jul.-19,1
1600535,Porto Grande,AP,NORTE,jul.-19,1
1600600,Santana,AP,NORTE,jul.-19,1
1600204,Calçoene,AP,NORTE,jul.-19,1
1600238,Ferreira Gomes,AP,NORTE,ago.-19,1
1600279,Laranjal Do Jari,AP,NORTE,ago.-19,1
1600303,Macapá,AP,NORTE,ago.-19,8
1600501,Oiapoque,AP,NORTE,ago.-19,1
1600535,Porto Grande,AP,NORTE,ago.-19,1
1600600,Santana,AP,NORTE,ago.-19,1
1600204,Calçoene,AP,NORTE,set.-19,1
1600279,Laranjal Do Jari,AP,NORTE,set.-19,1
1600303,Macapá,AP,NORTE,set.-19,16
1600402,Mazagão,AP,NORTE,set.-19,1
1600600,Santana,AP,NORTE,set.-19,3
1600279,Laranjal Do Jari,AP,NORTE,out.-19,2
1600303,Macapá,AP,NORTE,out.-19,10
