Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
2900108,Abaíra,BA,NORDESTE,jan.-18,0
2900207,Abaré,BA,NORDESTE,jan.-18,1
2900306,Acajutiba,BA,NORDESTE,jan.-18,1
2900355,Adustina,BA,NORDESTE,jan.-18,0
2900405,Água Fria,BA,NORDESTE,jan.-18,0
2900603,Aiquara,BA,NORDESTE,jan.-18,0
2900702,Alagoinhas,BA,NORDESTE,jan.-18,7
2900801,Alcobaça,BA,NORDESTE,jan.-18,1
2900900,Almadina,BA,NORDESTE,jan.-18,0
2901007,Amargosa,BA,NORDESTE,jan.-18,1
2901106,Amélia Rodrigues,BA,NORDESTE,jan.-18,0
2901155,América Dourada,BA,NORDESTE,jan.-18,0
2901205,Anagé,BA,NORDESTE,jan.-18,1
2901304,Andaraí,BA,NORDESTE,jan.-18,0
2901353,Andorinha,BA,NORDESTE,jan.-18,0
2901403,Angical,BA,NORDESTE,jan.-18,0
2901502,Anguera,BA,NORDESTE,jan.-18,0
2901601,Antas,BA,NORDESTE,jan.-18,0
2901700,Antônio Cardoso,BA,NORDESTE,jan.-18,0
2901809,Antônio Gonçalves,BA,NORDESTE,jan.-18,0
2901908,Aporá,BA,NORDESTE,jan.-18,3
2901957,Apuarema,BA,NORDESTE,jan.-18,0
2902054,Araçás,BA,NORDESTE,jan.-18,0
2902005,Aracatu,BA,NORDESTE,jan.-18,0
2902104,Araci,BA,NORDESTE,jan.-18,1
2902203,Aramari,BA,NORDESTE,jan.-18,0
2902252,Arataca,BA,NORDESTE,jan.-18,1
2902302,Aratuípe,BA,NORDESTE,jan.-18,1
2902401,Aurelino Leal,BA,NORDESTE,jan.-18,0
2902500,Baianópolis,BA,NORDESTE,jan.-18,0
2902609,Baixa Grande,BA,NORDESTE,jan.-18,0
2902658,Banzaê,BA,NORDESTE,jan.-18,0
2902708,Barra,BA,NORDESTE,jan.-18,1
2902807,Barra Da Estiva,BA,NORDESTE,jan.-18,0
2902906,Barra Do Choça,BA,NORDESTE,jan.-18,0
2903003,Barra Do Mendes,BA,NORDESTE,jan.-18,1
2903102,Barra Do Rocha,BA,NORDESTE,jan.-18,1
2903201,Barreiras,BA,NORDESTE,jan.-18,3
2903235,Barro Alto,BA,NORDESTE,jan.-18,0
