Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
2300101,Abaiara,CE,NORDESTE,jan.-18,1
2300150,Acarape,CE,NORDESTE,jan.-18,0
2300200,Acaraú,CE,NORDESTE,jan.-18,1
2300309,Acopiara,CE,NORDESTE,jan.-18,3
2300408,Aiuaba,CE,NORDESTE,jan.-18,1
2300507,Alcântaras,CE,NORDESTE,jan.-18,1
2300606,Altaneira,CE,NORDESTE,jan.-18,0
2300705,Alto Santo,CE,NORDESTE,jan.-18,0
2300754,Amontada,CE,NORDESTE,jan.-18,0
2300804,Antonina Do Norte,CE,NORDESTE,jan.-18,0
2300903,Apuiarés,CE,NORDESTE,jan.-18,0
2301000,Aquiraz,CE,NORDESTE,jan.-18,17
2301109,Aracati,CE,NORDESTE,jan.-18,3
2301208,Aracoiaba,CE,NORDESTE,jan.-18,1
2301257,Ararendá,CE,NORDESTE,jan.-18,1
2301307,Araripe,CE,NORDESTE,jan.-18,0
2301406,Aratuba,CE,NORDESTE,jan.-18,0
2301505,Arneiroz,CE,NORDESTE,jan.-18,0
2301604,Assaré,CE,NORDESTE,jan.-18,0
2301703,Aurora,CE,NORDESTE,jan.-18,1
2301802,Baixio,CE,NORDESTE,jan.-18,0
2301851,Banabuiú,CE,NORDESTE,jan.-18,3
2301901,Barbalha,CE,NORDESTE,jan.-18,1
2301950,Barreira,CE,NORDESTE,jan.-18,0
2302008,Barro,CE,NORDESTE,jan.-18,0
2302057,Barroquinha,CE,NORDESTE,jan.-18,1
2302107,Baturité,CE,NORDESTE,jan.-18,0
2302206,Beberibe,CE,NORDESTE,jan.-18,1
2302305,Bela Cruz,CE,NORDESTE,jan.-18,0
2302404,Boa Viagem,CE,NORDESTE,jan.-18,3
2302503,Brejo Santo,CE,NORDESTE,jan.-18,1
2302602,Camocim,CE,NORDESTE,jan.-18,2
2302701,Campos Sales,CE,NORDESTE,jan.-18,0
2302800,Canindé,CE,NORDESTE,jan.-18,2
2302909,Capistrano,CE,NORDESTE,jan.-18,0
2303006,Caridade,CE,NORDESTE,jan.-18,0
2303204,Caririaçu,CE,NORDESTE,jan.-18,0
2303105,Cariré,CE,NORDESTE,jan.-18,0
2303303,Cariús,CE,NORDESTE,jan.-18,1
2303402,Carnaubal,CE,NORDESTE,jan.-18,1
2303501,Cascavel,CE,NORDESTE,jan.-18,6
2303600,Catarina,CE,NORDESTE,jan.-18,0
2303659,Catunda,CE,NORDESTE,jan.-18,0
2303709,Caucaia,CE,NORDESTE,jan.-18,47
2303808,Cedro,CE,NORDESTE,jan.-18,1
2303907,Chaval,CE,NORDESTE,jan.-18,0
2303956,Chorozinho,CE,NORDESTE,jan.-18,4
2303931,Choró,CE,NORDESTE,jan.-18,1
2304004,Coreaú,CE,NORDESTE,jan.-18,4
2304103,Crateús,CE,NORDESTE,jan.-18,2
2304202,Crato,CE,NORDESTE,jan.-18,3
2304236,Croatá,CE,NORDESTE,jan.-18,1
2304251,Cruz,CE,NORDESTE,jan.-18,1
2304269,Deputado Irapuan Pinheiro,CE,NORDESTE,jan.-18,0
2304277,Ereré,CE,NORDESTE,jan.-18,0
