Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
530010820,Águas Claras,DF,CENTRO-OESTE,jan.-18,1
530010801,Brasília,DF,CENTRO-OESTE,jan.-18,0
530010804,Brazlândia,DF,CENTRO-OESTE,jan.-18,1
530010819,Candangolândia,DF,CENTRO-OESTE,jan.-18,0
530010809,Ceilândia,DF,CENTRO-OESTE,jan.-18,10
530010811,Cruzeiro,DF,CENTRO-OESTE,jan.-18,0
530010831,Fercal,DF,CENTRO-OESTE,jan.-18,0
530010802,Gama,DF,CENTRO-OESTE,jan.-18,1
530010810,Guará,DF,CENTRO-OESTE,jan.-18,2
530010828,Itapoá,DF,CENTRO-OESTE,jan.-18,1
530010827,Jardim Botânico,DF,CENTRO-OESTE,jan.-18,0
530010818,Lago Norte,DF,CENTRO-OESTE,jan.-18,0
530010816,Lago Sul,DF,CENTRO-OESTE,jan.-18,0
530010808,Núcleo Bandeirante,DF,CENTRO-OESTE,jan.-18,0
530010807,Paranoá,DF,CENTRO-OESTE,jan.-18,3
530010824,Park Way,DF,CENTRO-OESTE,jan.-18,0
530010806,Planaltina,DF,CENTRO-OESTE,jan.-18,5
530010815,Recanto Das Emas,DF,CENTRO-OESTE,jan.-18,0
530010817,Riacho Fundo,DF,CENTRO-OESTE,jan.-18,1
530010821,Riacho Fundo II,DF,CENTRO-OESTE,jan.-18,0
530010829,S.I.A.,DF,CENTRO-OESTE,jan.-18,0
530010812,Samambaia,DF,CENTRO-OESTE,jan.-18,4
530010813,Santa Maria,DF,CENTRO-OESTE,jan.-18,0
530010814,São Sebastião,DF,CENTRO-OESTE,jan.-18,1
530010825,Scia (Estrutural),DF,CENTRO-OESTE,jan.-18,0
530010805,Sobradinho,DF,CENTRO-OESTE,jan.-18,2
530010826,Sobradinho II,DF,CENTRO-OESTE,jan.-18,0
530010822,Sudoeste/Octogonal,DF,CENTRO-OESTE,jan.-18,0
530010803,Taguatinga,DF,CENTRO-OESTE,jan.-18,2
530010823,Varjão,DF,CENTRO-OESTE,jan.-18,0
530010830,Vicente Pires,DF,CENTRO-OESTE,jan.-18,0
530010820,Águas Claras,DF,CENTRO-OESTE,fev.-18,2
530010801,Brasília,DF,CENTRO-OESTE,fev.-18,0
530010804,Brazlândia,DF,CENTRO-OESTE,fev.-18,1
530010819,Candangolândia,DF,CENTRO-OESTE,fev.-18,0
530010809,Ceilândia,DF,CENTRO-OESTE,fev.-18,7
530010811,Cruzeiro,DF,CENTRO-OESTE,fev.-18,0
530010831,Fercal,DF,CENTRO-OESTE,fev.-18,0
530010802,Gama,DF,CENTRO-OESTE,fev.-18,3
530010810,Guará,DF,CENTRO-OESTE,fev.-18,0
530010828,Itapoá,DF,CENTRO-OESTE,fev.-18,4
530010827,Jardim Botânico,DF,CENTRO-OESTE,fev.-18,0
530010818,Lago Norte,DF,CENTRO-OESTE,fev.-18,0
530010816,Lago Sul,DF,CENTRO-OESTE,fev.-18,0
530010808,Núcleo Bandeirante,DF,CENTRO-OESTE,fev.-18,0
530010807,Paranoá,DF,CENTRO-OESTE,fev.-18,1
530010824,Park Way,DF,CENTRO-OESTE,fev.-18,0
530010806,Planaltina,DF,CENTRO-OESTE,fev.-18,6
530010815,Recanto Das Emas,DF,CENTRO-OESTE,fev.-18,1
530010817,Riacho Fundo,DF,CENTRO-OESTE,fev.-18,1
530010821,Riacho Fundo II,DF,CENTRO-OESTE,fev.-18,0
530010829,S.I.A.,DF,CENTRO-OESTE,fev.-18,0
530010812,Samambaia,DF,CENTRO-OESTE,fev.-18,3
530010813,Santa Maria,DF,CENTRO-OESTE,fev.-18,1
530010814,São Sebastião,DF,CENTRO-OESTE,fev.-18,3
530010825,Scia (Estrutural),DF,CENTRO-OESTE,fev.-18,3
530010805,Sobradinho,DF,CENTRO-OESTE,fev.-18,5
530010826,Sobradinho II,DF,CENTRO-OESTE,fev.-18,2
530010822,Sudoeste/Octogonal,DF,CENTRO-OESTE,fev.-18,0
530010803,Taguatinga,DF,CENTRO-OESTE,fev.-18,3
530010823,Varjão,DF,CENTRO-OESTE,fev.-18,0
530010830,Vicente Pires,DF,CENTRO-OESTE,fev.-18,0
530010820,Águas Claras,DF,CENTRO-OESTE,mar.-18,0
530010801,Brasília,DF,CENTRO-OESTE,mar.-18,1
530010804,Brazlândia,DF,CENTRO-OESTE,mar.-18,3
530010819,Candangolândia,DF,CENTRO-OESTE,mar.-18,0
530010809,Ceilândia,DF,CENTRO-OESTE,mar.-18,5
530010811,Cruzeiro,DF,CENTRO-OESTE,mar.-18,0
530010831,Fercal,DF,CENTRO-OESTE,mar.-18,0
530010802,Gama,DF,CENTRO-OESTE,mar.-18,3
530010810,Guará,DF,CENTRO-OESTE,mar.-18,1
530010828,Itapoá,DF,CENTRO-OESTE,mar.-18,3
530010827,Jardim Botânico,DF,CENTRO-OESTE,mar.-18,0
530010818,Lago Norte,DF,CENTRO-OESTE,mar.-18,0
530010816,Lago Sul,DF,CENTRO-OESTE,mar.-18,0
530010808,Núcleo Bandeirante,DF,CENTRO-OESTE,mar.-18,1
530010807,Paranoá,DF,CENTRO-OESTE,mar.-18,1
530010824,Park Way,DF,CENTRO-OESTE,mar.-18,0
530010806,Planaltina,DF,CENTRO-OESTE,mar.-18,3
530010815,Recanto Das Emas,DF,CENTRO-OESTE,mar.-18,5
530010817,Riacho Fundo,DF,CENTRO-OESTE,mar.-18,0
530010821,Riacho Fundo II,DF,CENTRO-OESTE,mar.-18,1
530010829,S.I.A.,DF,CENTRO-OESTE,mar.-18,0
530010812,Samambaia,DF,CENTRO-OESTE,mar.-18,3
530010813,Santa Maria,DF,CENTRO-OESTE,mar.-18,3
530010814,São Sebastião,DF,CENTRO-OESTE,mar.-18,2
530010825,Scia (Estrutural),DF,CENTRO-OESTE,mar.-18,0
530010805,Sobradinho,DF,CENTRO-OESTE,mar.-18,0
530010826,Sobradinho II,DF,CENTRO-OESTE,mar.-18,2
530010822,Sudoeste/Octogonal,DF,CENTRO-OESTE,mar.-18,0
530010803,Taguatinga,DF,CENTRO-OESTE,mar.-18,1
530010823,Varjão,DF,CENTRO-OESTE,mar.-18,0
530010830,Vicente Pires,DF,CENTRO-OESTE,mar.-18,0
530010820,Águas Claras,DF,CENTRO-OESTE,abr.-18,0
530010801,Brasília,DF,CENTRO-OESTE,abr.-18,0
530010804,Brazlândia,DF,CENTRO-OESTE,abr.-18,1
530010819,Candangolândia,DF,CENTRO-OESTE,abr.-18,0
530010809,Ceilândia,DF,CENTRO-OESTE,abr.-18,8
530010811,Cruzeiro,DF,CENTRO-OESTE,abr.-18,0
530010831,Fercal,DF,CENTRO-OESTE,abr.-18,0
530010802,Gama,DF,CENTRO-OESTE,abr.-18,3
530010810,Guará,DF,CENTRO-OESTE,abr.-18,0
530010828,Itapoá,DF,CENTRO-OESTE,abr.-18,0
530010827,Jardim Botânico,DF,CENTRO-OESTE,abr.-18,0
530010818,Lago Norte,DF,CENTRO-OESTE,abr.-18,0
530010816,Lago Sul,DF,CENTRO-OESTE,abr.-18,0
530010808,Núcleo Bandeirante,DF,CENTRO-OESTE,abr.-18,1
530010807,Paranoá,DF,CENTRO-OESTE,abr.-18,0
530010824,Park Way,DF,CENTRO-OESTE,abr.-18,0
530010806,Planaltina,DF,CENTRO-OESTE,abr.-18,4
530010815,Recanto Das Emas,DF,CENTRO-OESTE,abr.-18,2
530010817,Riacho Fundo,DF,CENTRO-OESTE,abr.-18,0
530010821,Riacho Fundo II,DF,CENTRO-OESTE,abr.-18,0
530010829,S.I.A.,DF,CENTRO-OESTE,abr.-18,0
530010812,Samambaia,DF,CENTRO-OESTE,abr.-18,3
530010813,Santa Maria,DF,CENTRO-OESTE,abr.-18,2
530010814,São Sebastião,DF,CENTRO-OESTE,abr.-18,3
530010825,Scia (Estrutural),DF,CENTRO-OESTE,abr.-18,5
530010805,Sobradinho,DF,CENTRO-OESTE,abr.-18,1
530010826,Sobradinho II,DF,CENTRO-OESTE,abr.-18,1
530010822,Sudoeste/Octogonal,DF,CENTRO-OESTE,abr.-18,0
530010803,Taguatinga,DF,CENTRO-OESTE,abr.-18,2
530010823,Varjão,DF,CENTRO-OESTE,abr.-18,0
530010830,Vicente Pires,DF,CENTRO-OESTE,abr.-18,1
530010820,Águas Claras,DF,CENTRO-OESTE,mai.-18,2
530010801,Brasília,DF,CENTRO-OESTE,mai.-18,2
530010804,Brazlândia,DF,CENTRO-OESTE,mai.-18,0
530010819,Candangolândia,DF,CENTRO-OESTE,mai.-18,0
530010809,Ceilândia,DF,CENTRO-OESTE,mai.-18,9
530010811,Cruzeiro,DF,CENTRO-OESTE,mai.-18,0
530010831,Fercal,DF,CENTRO-OESTE,mai.-18,0
530010802,Gama,DF,CENTRO-OESTE,mai.-18,2
530010810,Guará,DF,CENTRO-OESTE,mai.-18,1
530010828,Itapoá,DF,CENTRO-OESTE,mai.-18,3
530010827,Jardim Botânico,DF,CENTRO-OESTE,mai.-18,0
530010818,Lago Norte,DF,CENTRO-OESTE,mai.-18,1
530010816,Lago Sul,DF,CENTRO-OESTE,mai.-18,0
530010808,Núcleo Bandeirante,DF,CENTRO-OESTE,mai.-18,1
530010807,Paranoá,DF,CENTRO-OESTE,mai.-18,1
530010824,Park Way,DF,CENTRO-OESTE,mai.-18,0
530010806,Planaltina,DF,CENTRO-OESTE,mai.-18,7
530010815,Recanto Das Emas,DF,CENTRO-OESTE,mai.-18,2
530010817,Riacho Fundo,DF,CENTRO-OESTE,mai.-18,0
530010821,Riacho Fundo II,DF,CENTRO-OESTE,mai.-18,1
530010829,S.I.A.,DF,CENTRO-OESTE,mai.-18,0
530010812,Samambaia,DF,CENTRO-OESTE,mai.-18,2
530010813,Santa Maria,DF,CENTRO-OESTE,mai.-18,0
530010814,São Sebastião,DF,CENTRO-OESTE,mai.-18,2
530010825,Scia (Estrutural),DF,CENTRO-OESTE,mai.-18,0
530010805,Sobradinho,DF,CENTRO-OESTE,mai.-18,0
530010826,Sobradinho II,DF,CENTRO-OESTE,mai.-18,0
530010822,Sudoeste/Octogonal,DF,CENTRO-OESTE,mai.-18,0
530010803,Taguatinga,DF,CENTRO-OESTE,mai.-18,3
530010823,Varjão,DF,CENTRO-OESTE,mai.-18,0
530010830,Vicente Pires,DF,CENTRO-OESTE,mai.-18,0
530010820,Águas Claras,DF,CENTRO-OESTE,jun.-18,0
530010801,Brasília,DF,CENTRO-OESTE,jun.-18,2
530010804,Brazlândia,DF,CENTRO-OESTE,jun.-18,5
530010819,Candangolândia,DF,CENTRO-OESTE,jun.-18,0
530010809,Ceilândia,DF,CENTRO-OESTE,jun.-18,7
530010811,Cruzeiro,DF,CENTRO-OESTE,jun.-18,0
530010831,Fercal,DF,CENTRO-OESTE,jun.-18,0
530010802,Gama,DF,CENTRO-OESTE,jun.-18,0
530010810,Guará,DF,CENTRO-OESTE,jun.-18,0
530010828,Itapoá,DF,CENTRO-OESTE,jun.-18,0
530010827,Jardim Botânico,DF,CENTRO-OESTE,jun.-18,0
530010818,Lago Norte,DF,CENTRO-OESTE,jun.-18,0
530010816,Lago Sul,DF,CENTRO-OESTE,jun.-18,1
530010808,Núcleo Bandeirante,DF,CENTRO-OESTE,jun.-18,0
530010807,Paranoá,DF,CENTRO-OESTE,jun.-18,2
530010824,Park Way,DF,CENTRO-OESTE,jun.-18,0
530010806,Planaltina,DF,CENTRO-OESTE,jun.-18,5
530010815,Recanto Das Emas,DF,CENTRO-OESTE,jun.-18,5
530010817,Riacho Fundo,DF,CENTRO-OESTE,jun.-18,0
530010821,Riacho Fundo II,DF,CENTRO-OESTE,jun.-18,1
530010829,S.I.A.,DF,CENTRO-OESTE,jun.-18,1
530010812,Samambaia,DF,CENTRO-OESTE,jun.-18,2
530010813,Santa Maria,DF,CENTRO-OESTE,jun.-18,2
530010814,São Sebastião,DF,CENTRO-OESTE,jun.-18,2
530010825,Scia (Estrutural),DF,CENTRO-OESTE,jun.-18,4
530010805,Sobradinho,DF,CENTRO-OESTE,jun.-18,0
530010826,Sobradinho II,DF,CENTRO-OESTE,jun.-18,1
530010822,Sudoeste/Octogonal,DF,CENTRO-OESTE,jun.-18,0
530010803,Taguatinga,DF,CENTRO-OESTE,jun.-18,0
530010823,Varjão,DF,CENTRO-OESTE,jun.-18,0
530010830,Vicente Pires,DF,CENTRO-OESTE,jun.-18,0
530010820,Águas Claras,DF,CENTRO-OESTE,jul.-18,0
530010801,Brasília,DF,CENTRO-OESTE,jul.-18,3
530010804,Brazlândia,DF,CENTRO-OESTE,jul.-18,0
530010819,Candangolândia,DF,CENTRO-OESTE,jul.-18,0
530010809,Ceilândia,DF,CENTRO-OESTE,jul.-18,10
530010811,Cruzeiro,DF,CENTRO-OESTE,jul.-18,0
530010831,Fercal,DF,CENTRO-OESTE,jul.-18,0
530010802,Gama,DF,CENTRO-OESTE,jul.-18,1
530010810,Guará,DF,CENTRO-OESTE,jul.-18,0
530010828,Itapoá,DF,CENTRO-OESTE,jul.-18,1
530010827,Jardim Botânico,DF,CENTRO-OESTE,jul.-18,0
530010818,Lago Norte,DF,CENTRO-OESTE,jul.-18,0
530010816,Lago Sul,DF,CENTRO-OESTE,jul.-18,0
530010808,Núcleo Bandeirante,DF,CENTRO-OESTE,jul.-18,0
530010807,Paranoá,DF,CENTRO-OESTE,jul.-18,1
530010824,Park Way,DF,CENTRO-OESTE,jul.-18,0
530010806,Planaltina,DF,CENTRO-OESTE,jul.-18,1
530010815,Recanto Das Emas,DF,CENTRO-OESTE,jul.-18,1
530010817,Riacho Fundo,DF,CENTRO-OESTE,jul.-18,0
530010821,Riacho Fundo II,DF,CENTRO-OESTE,jul.-18,0
530010829,S.I.A.,DF,CENTRO-OESTE,jul.-18,0
530010812,Samambaia,DF,CENTRO-OESTE,jul.-18,2
530010813,Santa Maria,DF,CENTRO-OESTE,jul.-18,2
530010814,São Sebastião,DF,CENTRO-OESTE,jul.-18,3
530010825,Scia (Estrutural),DF,CENTRO-OESTE,jul.-18,3
530010805,Sobradinho,DF,CENTRO-OESTE,jul.-18,0
530010826,Sobradinho II,DF,CENTRO-OESTE,jul.-18,1
530010822,Sudoeste/Octogonal,DF,CENTRO-OESTE,jul.-18,0
530010803,Taguatinga,DF,CENTRO-OESTE,jul.-18,3
530010823,Varjão,DF,CENTRO-OESTE,jul.-18,1
530010830,Vicente Pires,DF,CENTRO-OESTE,jul.-18,1
530010820,Águas Claras,DF,CENTRO-OESTE,ago.-18,2
530010801,Brasília,DF,CENTRO-OESTE,ago.-18,1
530010804,Brazlândia,DF,CENTRO-OESTE,ago.-18,1
530010819,Candangolândia,DF,CENTRO-OESTE,ago.-18,0
530010809,Ceilândia,DF,CENTRO-OESTE,ago.-18,8
530010811,Cruzeiro,DF,CENTRO-OESTE,ago.-18,0
530010831,Fercal,DF,CENTRO-OESTE,ago.-18,0
530010802,Gama,DF,CENTRO-OESTE,ago.-18,0
