Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
3200102,Afonso Cláudio,ES,SUDESTE,jan.-18,0
3200136,Águia Branca,ES,SUDESTE,jan.-18,0
3200169,Água Doce Do Norte,ES,SUDESTE,jan.-18,0
3200201,Alegre,ES,SUDESTE,jan.-18,1
3200300,Alfredo Chaves,ES,SUDESTE,jan.-18,0
3200359,Alto Rio Novo,ES,SUDESTE,jan.-18,0
3200409,Anchieta,ES,SUDESTE,jan.-18,1
3200508,Apiacá,ES,SUDESTE,jan.-18,0
3200607,Aracruz,ES,SUDESTE,jan.-18,0
3200706,Atílio Vivacqua,ES,SUDESTE,jan.-18,0
3200805,Baixo Guandu,ES,SUDESTE,jan.-18,0
3200904,Barra De São Francisco,ES,SUDESTE,jan.-18,5
3201001,Boa Esperança,ES,SUDESTE,jan.-18,0
3201100,Bom Jesus Do Norte,ES,SUDESTE,jan.-18,0
3201159,Brejetuba,ES,SUDESTE,jan.-18,1
3201209,Cachoeiro De Itapemirim,ES,SUDESTE,jan.-18,3
3201308,Cariacica,ES,SUDESTE,jan.-18,18
3201407,Castelo,ES,SUDESTE,jan.-18,0
3201506,Colatina,ES,SUDESTE,jan.-18,0
3201605,Conceição Da Barra,ES,SUDESTE,jan.-18,3
3201704,Conceição Do Castelo,ES,SUDESTE,jan.-18,0
3201803,Divino De São Lourenço,ES,SUDESTE,jan.-18,0
3201902,Domingos Martins,ES,SUDESTE,jan.-18,0
3202009,Dores Do Rio Preto,ES,SUDESTE,jan.-18,0
3202108,Ecoporanga,ES,SUDESTE,jan.-18,0
3202207,Fundão,ES,SUDESTE,jan.-18,1
3202256,Governador Lindenberg,ES,SUDESTE,jan.-18,0
3202306,Guaçuí,ES,SUDESTE,jan.-18,1
3202405,Guarapari,ES,SUDESTE,jan.-18,3
3202454,Ibatiba,ES,SUDESTE,jan.-18,1
3202504,Ibiraçu,ES,SUDESTE,jan.-18,0
3202553,Ibitirama,ES,SUDESTE,jan.-18,0
3202603,Iconha,ES,SUDESTE,jan.-18,0
3202652,Irupi,ES,SUDESTE,jan.-18,0
3202702,Itaguaçu,ES,SUDESTE,jan.-18,3
3202801,Itapemirim,ES,SUDESTE,jan.-18,1
3202900,Itarana,ES,SUDESTE,jan.-18,0
3203007,Iúna,ES,SUDESTE,jan.-18,0
3203056,Jaguaré,ES,SUDESTE,jan.-18,0
3203106,Jerônimo Monteiro,ES,SUDESTE,jan.-18,0
3203130,João Neiva,ES,SUDESTE,jan.-18,0
3203163,Laranja Da Terra,ES,SUDESTE,jan.-18,0
3203205,Linhares,ES,SUDESTE,jan.-18,4
3203304,Mantenópolis,ES,SUDESTE,jan.-18,0
3203320,Marataízes,ES,SUDESTE,jan.-18,0
3203346,Marechal Floriano,ES,SUDESTE,jan.-18,0
3203353,Marilândia,ES,SUDESTE,jan.-18,0
3203403,Mimoso Do Sul,ES,SUDESTE,jan.-18,0
3203502,Montanha,ES,SUDESTE,jan.-18,0
3203601,Mucurici,ES,SUDESTE,jan.-18,0
3203700,Muniz Freire,ES,SUDESTE,jan.-18,0
3203809,Muqui,ES,SUDESTE,jan.-18,0
3203908,Nova Venécia,ES,SUDESTE,jan.-18,1
3204005,Pancas,ES,SUDESTE,jan.-18,2
3204054,Pedro Canário,ES,SUDESTE,jan.-18,1
3204104,Pinheiros,ES,SUDESTE,jan.-18,1
3204203,Piúma,ES,SUDESTE,jan.-18,0
3204252,Ponto Belo,ES,SUDESTE,jan.-18,0
3204302,Presidente Kennedy,ES,SUDESTE,jan.-18,1
3204351,Rio Bananal,ES,SUDESTE,jan.-18,0
3204401,Rio Novo Do Sul,ES,SUDESTE,jan.-18,1
3204500,Santa Leopoldina,ES,SUDESTE,jan.-18,0
3204559,Santa Maria De Jetibá,ES,SUDESTE,jan.-18,1
3204609,Santa Teresa,ES,SUDESTE,jan.-18,0
3204658,São Domingos Do Norte,ES,SUDESTE,jan.-18,0
3204708,São Gabriel Da Palha,ES,SUDESTE,jan.-18,0
3204807,São José Do Calçado,ES,SUDESTE,jan.-18,1
3204906,São Mateus,ES,SUDESTE,jan.-18,5
3204955,São Roque Do Canaã,ES,SUDESTE,jan.-18,0
3205002,Serra,ES,SUDESTE,jan.-18,24
3205010,Sooretama,ES,SUDESTE,jan.-18,3
3205036,Vargem Alta,ES,SUDESTE,jan.-18,0
3205069,Venda Nova Do Imigrante,ES,SUDESTE,jan.-18,1
3205101,Viana,ES,SUDESTE,jan.-18,0
3205150,Vila Pavão,ES,SUDESTE,jan.-18,1
3205176,Vila Valério,ES,SUDESTE,jan.-18,0
3205200,Vila Velha,ES,SUDESTE,jan.-18,17
3205309,Vitória,ES,SUDESTE,jan.-18,9
3200102,Afonso Cláudio,ES,SUDESTE,fev.-18,0
3200136,Águia Branca,ES,SUDESTE,fev.-18,0
3200169,Água Doce Do Norte,ES,SUDESTE,fev.-18,0
3200201,Alegre,ES,SUDESTE,fev.-18,0
3200300,Alfredo Chaves,ES,SUDESTE,fev.-18,0
3200359,Alto Rio Novo,ES,SUDESTE,fev.-18,0
3200409,Anchieta,ES,SUDESTE,fev.-18,0
3200508,Apiacá,ES,SUDESTE,fev.-18,0
3200607,Aracruz,ES,SUDESTE,fev.-18,1
3200706,Atílio Vivacqua,ES,SUDESTE,fev.-18,0
3200805,Baixo Guandu,ES,SUDESTE,fev.-18,0
3200904,Barra De São Francisco,ES,SUDESTE,fev.-18,2
3201001,Boa Esperança,ES,SUDESTE,fev.-18,0
3201100,Bom Jesus Do Norte,ES,SUDESTE,fev.-18,0
3201159,Brejetuba,ES,SUDESTE,fev.-18,0
3201209,Cachoeiro De Itapemirim,ES,SUDESTE,fev.-18,4
3201308,Cariacica,ES,SUDESTE,fev.-18,8
3201407,Castelo,ES,SUDESTE,fev.-18,0
3201506,Colatina,ES,SUDESTE,fev.-18,1
3201605,Conceição Da Barra,ES,SUDESTE,fev.-18,1
3201704,Conceição Do Castelo,ES,SUDESTE,fev.-18,0
3201803,Divino De São Lourenço,ES,SUDESTE,fev.-18,0
3201902,Domingos Martins,ES,SUDESTE,fev.-18,0
3202009,Dores Do Rio Preto,ES,SUDESTE,fev.-18,1
3202108,Ecoporanga,ES,SUDESTE,fev.-18,1
3202207,Fundão,ES,SUDESTE,fev.-18,0
3202256,Governador Lindenberg,ES,SUDESTE,fev.-18,0
3202306,Guaçuí,ES,SUDESTE,fev.-18,0
3202405,Guarapari,ES,SUDESTE,fev.-18,6
3202454,Ibatiba,ES,SUDESTE,fev.-18,0
3202504,Ibiraçu,ES,SUDESTE,fev.-18,0
3202553,Ibitirama,ES,SUDESTE,fev.-18,0
3202603,Iconha,ES,SUDESTE,fev.-18,0
3202652,Irupi,ES,SUDESTE,fev.-18,0
3202702,Itaguaçu,ES,SUDESTE,fev.-18,0
3202801,Itapemirim,ES,SUDESTE,fev.-18,1
3202900,Itarana,ES,SUDESTE,fev.-18,0
3203007,Iúna,ES,SUDESTE,fev.-18,0
3203056,Jaguaré,ES,SUDESTE,fev.-18,2
