Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
5200100,Abadiânia,GO,CENTRO-OESTE,jan.-18,1
5200134,Acreúna,GO,CENTRO-OESTE,jan.-18,2
5200258,Águas Lindas De Goiás,GO,CENTRO-OESTE,jan.-18,6
5200605,Alto Paraíso De Goiás,GO,CENTRO-OESTE,jan.-18,1
5201108,Anápolis,GO,CENTRO-OESTE,jan.-18,20
5201306,Anicuns,GO,CENTRO-OESTE,jan.-18,1
5201405,Aparecida De Goiânia,GO,CENTRO-OESTE,jan.-18,18
5203203,Barro Alto,GO,CENTRO-OESTE,jan.-18,2
5204003,Cabeceiras,GO,CENTRO-OESTE,jan.-18,1
5204508,Caldas Novas,GO,CENTRO-OESTE,jan.-18,3
5204854,Campo Limpo De Goiás,GO,CENTRO-OESTE,jan.-18,1
5205497,Cidade Ocidental,GO,CENTRO-OESTE,jan.-18,1
5206206,Cristalina,GO,CENTRO-OESTE,jan.-18,2
5207352,Edealina,GO,CENTRO-OESTE,jan.-18,1
5207907,Flores De Goiás,GO,CENTRO-OESTE,jan.-18,1
5208004,Formosa,GO,CENTRO-OESTE,jan.-18,5
5208608,Goianésia,GO,CENTRO-OESTE,jan.-18,1
5208707,Goiânia,GO,CENTRO-OESTE,jan.-18,27
5208806,Goianira,GO,CENTRO-OESTE,jan.-18,1
5209952,Indiara,GO,CENTRO-OESTE,jan.-18,1
5210000,Inhumas,GO,CENTRO-OESTE,jan.-18,1
5210109,Ipameri,GO,CENTRO-OESTE,jan.-18,1
5210406,Itaberaí,GO,CENTRO-OESTE,jan.-18,2
5210562,Itaguari,GO,CENTRO-OESTE,jan.-18,1
5211305,Itarumã,GO,CENTRO-OESTE,jan.-18,1
5211503,Itumbiara,GO,CENTRO-OESTE,jan.-18,3
5211800,Jaraguá,GO,CENTRO-OESTE,jan.-18,1
5211909,Jataí,GO,CENTRO-OESTE,jan.-18,2
5212055,Jesúpolis,GO,CENTRO-OESTE,jan.-18,1
5212303,Leopoldo De Bulhões,GO,CENTRO-OESTE,jan.-18,1
5212501,Luziânia,GO,CENTRO-OESTE,jan.-18,4
5212808,Mara Rosa,GO,CENTRO-OESTE,jan.-18,1
5213087,Minaçu,GO,CENTRO-OESTE,jan.-18,1
5213103,Mineiros,GO,CENTRO-OESTE,jan.-18,1
5213806,Morrinhos,GO,CENTRO-OESTE,jan.-18,1
5214051,Mundo Novo,GO,CENTRO-OESTE,jan.-18,1
5214507,Nerópolis,GO,CENTRO-OESTE,jan.-18,1
5215231,Novo Gama,GO,CENTRO-OESTE,jan.-18,5
5215702,Palmeiras De Goiás,GO,CENTRO-OESTE,jan.-18,1
5217104,Piracanjuba,GO,CENTRO-OESTE,jan.-18,1
5217609,Planaltina,GO,CENTRO-OESTE,jan.-18,3
5218300,Posse,GO,CENTRO-OESTE,jan.-18,2
5218508,Quirinópolis,GO,CENTRO-OESTE,jan.-18,1
5218805,Rio Verde,GO,CENTRO-OESTE,jan.-18,5
5219407,Santa Rita Do Araguaia,GO,CENTRO-OESTE,jan.-18,1
5219704,Santa Terezinha De Goiás,GO,CENTRO-OESTE,jan.-18,2
5219753,Santo Antônio Do Descoberto,GO,CENTRO-OESTE,jan.-18,5
5220454,Senador Canedo,GO,CENTRO-OESTE,jan.-18,7
5221403,Trindade,GO,CENTRO-OESTE,jan.-18,9
5221551,Turvelândia,GO,CENTRO-OESTE,jan.-18,1
5221601,Uruaçu,GO,CENTRO-OESTE,jan.-18,1
5221700,Uruana,GO,CENTRO-OESTE,jan.-18,1
5221858,Valparaíso De Goiás,GO,CENTRO-OESTE,jan.-18,4
5222054,Vicentinópolis,GO,CENTRO-OESTE,jan.-18,1
5200258,Águas Lindas De Goiás,GO,CENTRO-OESTE,fev.-18,4
5200803,Alvorada Do Norte,GO,CENTRO-OESTE,fev.-18,1
5201108,Anápolis,GO,CENTRO-OESTE,fev.-18,12
5201405,Aparecida De Goiânia,GO,CENTRO-OESTE,fev.-18,17
5201801,Aragoiânia,GO,CENTRO-OESTE,fev.-18,1
5203302,Bela Vista De Goiás,GO,CENTRO-OESTE,fev.-18,2
5203500,Bom Jesus De Goiás,GO,CENTRO-OESTE,fev.-18,1
5203906,Buriti Alegre,GO,CENTRO-OESTE,fev.-18,1
5204102,Cachoeira Alta,GO,CENTRO-OESTE,fev.-18,1
5204508,Caldas Novas,GO,CENTRO-OESTE,fev.-18,7
5204557,Caldazinha,GO,CENTRO-OESTE,fev.-18,1
5204953,Campos Verdes,GO,CENTRO-OESTE,fev.-18,1
5205455,Cezarina,GO,CENTRO-OESTE,fev.-18,1
