Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
2100055,Açailândia,MA,NORDESTE,jan.-18,4
2100105,Afonso Cunha,MA,NORDESTE,jan.-18,0
2100154,Água Doce Do Maranhão,MA,NORDESTE,jan.-18,0
2100204,Alcântara,MA,NORDESTE,jan.-18,0
2100303,Aldeias Altas,MA,NORDESTE,jan.-18,1
2100402,Altamira Do Maranhão,MA,NORDESTE,jan.-18,0
2100436,Alto Alegre Do Maranhão,MA,NORDESTE,jan.-18,0
2100477,Alto Alegre Do Pindaré,MA,NORDESTE,jan.-18,1
2100501,Alto Parnaíba,MA,NORDESTE,jan.-18,0
2100550,Amapá Do Maranhão,MA,NORDESTE,jan.-18,0
2100600,Amarante Do Maranhão,MA,NORDESTE,jan.-18,0
2100709,Anajatuba,MA,NORDESTE,jan.-18,0
2100808,Anapurus,MA,NORDESTE,jan.-18,0
2100832,Apicum-Açu,MA,NORDESTE,jan.-18,1
2100873,Araguanã,MA,NORDESTE,jan.-18,0
2100907,Araioses,MA,NORDESTE,jan.-18,0
2100956,Arame,MA,NORDESTE,jan.-18,0
2101004,Arari,MA,NORDESTE,jan.-18,1
2101103,Axixá,MA,NORDESTE,jan.-18,0
2101202,Bacabal,MA,NORDESTE,jan.-18,4
2101251,Bacabeira,MA,NORDESTE,jan.-18,0
2101301,Bacuri,MA,NORDESTE,jan.-18,0
2101350,Bacurituba,MA,NORDESTE,jan.-18,0
2101400,Balsas,MA,NORDESTE,jan.-18,1
2101509,Barão De Grajaú,MA,NORDESTE,jan.-18,0
2101608,Barra Do Corda,MA,NORDESTE,jan.-18,2
2101707,Barreirinhas,MA,NORDESTE,jan.-18,1
2101731,Belágua,MA,NORDESTE,jan.-18,0
2101772,Bela Vista Do Maranhão,MA,NORDESTE,jan.-18,0
2101806,Benedito Leite,MA,NORDESTE,jan.-18,0
2101905,Bequimão,MA,NORDESTE,jan.-18,0
2101939,Bernardo Do Mearim,MA,NORDESTE,jan.-18,0
2101970,Boa Vista Do Gurupi,MA,NORDESTE,jan.-18,0
2102002,Bom Jardim,MA,NORDESTE,jan.-18,2
2102036,Bom Jesus Das Selvas,MA,NORDESTE,jan.-18,0
2102077,Bom Lugar,MA,NORDESTE,jan.-18,0
2102101,Brejo,MA,NORDESTE,jan.-18,0
2102150,Brejo De Areia,MA,NORDESTE,jan.-18,0
2102200,Buriti,MA,NORDESTE,jan.-18,1
2102309,Buriti Bravo,MA,NORDESTE,jan.-18,0
2102325,Buriticupu,MA,NORDESTE,jan.-18,0
2102358,Buritirana,MA,NORDESTE,jan.-18,0
2102374,Cachoeira Grande,MA,NORDESTE,jan.-18,0
2102408,Cajapió,MA,NORDESTE,jan.-18,1
2102507,Cajari,MA,NORDESTE,jan.-18,0
2102556,Campestre Do Maranhão,MA,NORDESTE,jan.-18,0
2102606,Cândido Mendes,MA,NORDESTE,jan.-18,0
2102705,Cantanhede,MA,NORDESTE,jan.-18,0
2102754,Capinzal Do Norte,MA,NORDESTE,jan.-18,0
2102804,Carolina,MA,NORDESTE,jan.-18,1
2102903,Carutapera,MA,NORDESTE,jan.-18,1
2103000,Caxias,MA,NORDESTE,jan.-18,0
2103109,Cedral,MA,NORDESTE,jan.-18,0
2103125,Central Do Maranhão,MA,NORDESTE,jan.-18,0
2103158,Centro Do Guilherme,MA,NORDESTE,jan.-18,0
2103174,Centro Novo Do Maranhão,MA,NORDESTE,jan.-18,0
2103208,Chapadinha,MA,NORDESTE,jan.-18,2
2103257,Cidelândia,MA,NORDESTE,jan.-18,0
2103307,Codó,MA,NORDESTE,jan.-18,2
2103406,Coelho Neto,MA,NORDESTE,jan.-18,1
2103505,Colinas,MA,NORDESTE,jan.-18,0
2103554,Conceição Do Lago-Açu,MA,NORDESTE,jan.-18,0
2103604,Coroatá,MA,NORDESTE,jan.-18,3
2103703,Cururupu,MA,NORDESTE,jan.-18,0
2103752,Davinópolis,MA,NORDESTE,jan.-18,1
2103802,Dom Pedro,MA,NORDESTE,jan.-18,0
2103901,Duque Bacelar,MA,NORDESTE,jan.-18,1
2104008,Esperantinópolis,MA,NORDESTE,jan.-18,0
2104057,Estreito,MA,NORDESTE,jan.-18,1
2104073,Feira Nova Do Maranhão,MA,NORDESTE,jan.-18,0
2104081,Fernando Falcão,MA,NORDESTE,jan.-18,0
2104099,Formosa Da Serra Negra,MA,NORDESTE,jan.-18,0
2104107,Fortaleza Dos Nogueiras,MA,NORDESTE,jan.-18,0
2104206,Fortuna,MA,NORDESTE,jan.-18,0
2104305,Godofredo Viana,MA,NORDESTE,jan.-18,0
2104404,Gonçalves Dias,MA,NORDESTE,jan.-18,1
2104503,Governador Archer,MA,NORDESTE,jan.-18,0
2104552,Governador Edison Lobão,MA,NORDESTE,jan.-18,4
2104602,Governador Eugênio Barros,MA,NORDESTE,jan.-18,1
2104628,Governador Luiz Rocha,MA,NORDESTE,jan.-18,0
2104651,Governador Newton Bello,MA,NORDESTE,jan.-18,1
2104677,Governador Nunes Freire,MA,NORDESTE,jan.-18,0
2104701,Graça Aranha,MA,NORDESTE,jan.-18,0
2104800,Grajaú,MA,NORDESTE,jan.-18,2
2104909,Guimarães,MA,NORDESTE,jan.-18,0
2105005,Humberto De Campos,MA,NORDESTE,jan.-18,1
2105104,Icatu,MA,NORDESTE,jan.-18,0
2105153,Igarapé Do Meio,MA,NORDESTE,jan.-18,2
2105203,Igarapé Grande,MA,NORDESTE,jan.-18,0
2105302,Imperatriz,MA,NORDESTE,jan.-18,9
2105351,Itaipava Do Grajaú,MA,NORDESTE,jan.-18,0
2105401,Itapecuru Mirim,MA,NORDESTE,jan.-18,0
2105427,Itinga Do Maranhão,MA,NORDESTE,jan.-18,1
2105450,Jatobá,MA,NORDESTE,jan.-18,0
2105476,Jenipapo Dos Vieiras,MA,NORDESTE,jan.-18,0
2105500,João Lisboa,MA,NORDESTE,jan.-18,2
2105609,Joselândia,MA,NORDESTE,jan.-18,0
2105658,Junco Do Maranhão,MA,NORDESTE,jan.-18,0
2105708,Lago Da Pedra,MA,NORDESTE,jan.-18,0
2105807,Lago Do Junco,MA,NORDESTE,jan.-18,0
2105906,Lago Verde,MA,NORDESTE,jan.-18,0
2105922,Lagoa Do Mato,MA,NORDESTE,jan.-18,0
2105948,Lago Dos Rodrigues,MA,NORDESTE,jan.-18,0
2105963,Lagoa Grande Do Maranhão,MA,NORDESTE,jan.-18,0
2105989,Lajeado Novo,MA,NORDESTE,jan.-18,0
