Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
3100104,Abadia Dos Dourados,MG,SUDESTE,jan.-18,0
3100203,Abaeté,MG,SUDESTE,jan.-18,0
3100302,Abre Campo,MG,SUDESTE,jan.-18,0
3100401,Acaiaca,MG,SUDESTE,jan.-18,0
3100500,Açucena,MG,SUDESTE,jan.-18,0
3100609,Água Boa,MG,SUDESTE,jan.-18,0
3100708,Água Comprida,MG,SUDESTE,jan.-18,0
3100807,Aguanil,MG,SUDESTE,jan.-18,0
3100906,Águas Formosas,MG,SUDESTE,jan.-18,1
3101003,Águas Vermelhas,MG,SUDESTE,jan.-18,0
3101102,Aimorés,MG,SUDESTE,jan.-18,2
3101201,Aiuruoca,MG,SUDESTE,jan.-18,0
3101300,Alagoa,MG,SUDESTE,jan.-18,0
3101409,Albertina,MG,SUDESTE,jan.-18,0
3101508,Além Paraíba,MG,SUDESTE,jan.-18,1
3101607,Alfenas,MG,SUDESTE,jan.-18,0
3101631,Alfredo Vasconcelos,MG,SUDESTE,jan.-18,0
3101706,Almenara,MG,SUDESTE,jan.-18,2
3101805,Alpercata,MG,SUDESTE,jan.-18,0
3101904,Alpinópolis,MG,SUDESTE,jan.-18,1
3102001,Alterosa,MG,SUDESTE,jan.-18,0
3102050,Alto Caparaó,MG,SUDESTE,jan.-18,0
3102100,Alto Rio Doce,MG,SUDESTE,jan.-18,1
3102209,Alvarenga,MG,SUDESTE,jan.-18,0
3102308,Alvinópolis,MG,SUDESTE,jan.-18,0
3102407,Alvorada De Minas,MG,SUDESTE,jan.-18,0
3102506,Amparo Do Serra,MG,SUDESTE,jan.-18,0
3102605,Andradas,MG,SUDESTE,jan.-18,0
3102704,Cachoeira De Pajeú,MG,SUDESTE,jan.-18,0
3102803,Andrelândia,MG,SUDESTE,jan.-18,0
3102852,Angelândia,MG,SUDESTE,jan.-18,0
3102902,Antônio Carlos,MG,SUDESTE,jan.-18,0
3103009,Antônio Dias,MG,SUDESTE,jan.-18,0
3103108,Antônio Prado De Minas,MG,SUDESTE,jan.-18,0
3103207,Araçaí,MG,SUDESTE,jan.-18,0
3103306,Aracitaba,MG,SUDESTE,jan.-18,0
3103405,Araçuaí,MG,SUDESTE,jan.-18,1
3103504,Araguari,MG,SUDESTE,jan.-18,5
3103603,Arantina,MG,SUDESTE,jan.-18,0
3103702,Araponga,MG,SUDESTE,jan.-18,0
3103751,Araporã,MG,SUDESTE,jan.-18,0
3103801,Arapuá,MG,SUDESTE,jan.-18,0
3103900,Araújos,MG,SUDESTE,jan.-18,1
3104007,Araxá,MG,SUDESTE,jan.-18,2
3104106,Arceburgo,MG,SUDESTE,jan.-18,0
3104205,Arcos,MG,SUDESTE,jan.-18,0
3104304,Areado,MG,SUDESTE,jan.-18,0
3104403,Argirita,MG,SUDESTE,jan.-18,0
3104452,Aricanduva,MG,SUDESTE,jan.-18,0
3104502,Arinos,MG,SUDESTE,jan.-18,0
3104601,Astolfo Dutra,MG,SUDESTE,jan.-18,0
3104700,Ataléia,MG,SUDESTE,jan.-18,0
3104809,Augusto De Lima,MG,SUDESTE,jan.-18,0
3104908,Baependi,MG,SUDESTE,jan.-18,0
3105004,Baldim,MG,SUDESTE,jan.-18,0
3105103,Bambuí,MG,SUDESTE,jan.-18,0
3105202,Bandeira,MG,SUDESTE,jan.-18,0
3105301,Bandeira Do Sul,MG,SUDESTE,jan.-18,0
3105400,Barão De Cocais,MG,SUDESTE,jan.-18,0
3105509,Barão De Monte Alto,MG,SUDESTE,jan.-18,0
3105608,Barbacena,MG,SUDESTE,jan.-18,0
3105707,Barra Longa,MG,SUDESTE,jan.-18,0
3105905,Barroso,MG,SUDESTE,jan.-18,0
3106002,Bela Vista De Minas,MG,SUDESTE,jan.-18,0
3106101,Belmiro Braga,MG,SUDESTE,jan.-18,0
3106200,Belo Horizonte,MG,SUDESTE,jan.-18,46
3106309,Belo Oriente,MG,SUDESTE,jan.-18,0
3106408,Belo Vale,MG,SUDESTE,jan.-18,0
3106507,Berilo,MG,SUDESTE,jan.-18,0
3106606,Bertópolis,MG,SUDESTE,jan.-18,0
3106655,Berizal,MG,SUDESTE,jan.-18,0
3106705,Betim,MG,SUDESTE,jan.-18,23
3106804,Bias Fortes,MG,SUDESTE,jan.-18,0
3106903,Bicas,MG,SUDESTE,jan.-18,0
3107000,Biquinhas,MG,SUDESTE,jan.-18,0
3107109,Boa Esperança,MG,SUDESTE,jan.-18,0
3107208,Bocaina De Minas,MG,SUDESTE,jan.-18,0
3107307,Bocaiúva,MG,SUDESTE,jan.-18,1
3107406,Bom Despacho,MG,SUDESTE,jan.-18,0
3107505,Bom Jardim De Minas,MG,SUDESTE,jan.-18,0
3107604,Bom Jesus Da Penha,MG,SUDESTE,jan.-18,0
3107703,Bom Jesus Do Amparo,MG,SUDESTE,jan.-18,0
3107802,Bom Jesus Do Galho,MG,SUDESTE,jan.-18,0
3107901,Bom Repouso,MG,SUDESTE,jan.-18,0
