Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
5000203,Água Clara,MS,CENTRO-OESTE,jan.-18,0
5000252,Alcinópolis,MS,CENTRO-OESTE,jan.-18,0
5000609,Amambai,MS,CENTRO-OESTE,jan.-18,2
5000708,Anastácio,MS,CENTRO-OESTE,jan.-18,1
5000807,Anaurilândia,MS,CENTRO-OESTE,jan.-18,0
5000856,Angélica,MS,CENTRO-OESTE,jan.-18,0
5000906,Antônio João,MS,CENTRO-OESTE,jan.-18,1
5001003,Aparecida Do Taboado,MS,CENTRO-OESTE,jan.-18,1
5001102,Aquidauana,MS,CENTRO-OESTE,jan.-18,0
5001243,Aral Moreira,MS,CENTRO-OESTE,jan.-18,3
5001508,Bandeirantes,MS,CENTRO-OESTE,jan.-18,0
5001904,Bataguassu,MS,CENTRO-OESTE,jan.-18,1
5002001,Batayporã,MS,CENTRO-OESTE,jan.-18,0
5002100,Bela Vista,MS,CENTRO-OESTE,jan.-18,0
5002159,Bodoquena,MS,CENTRO-OESTE,jan.-18,0
5002209,Bonito,MS,CENTRO-OESTE,jan.-18,0
5002308,Brasilândia,MS,CENTRO-OESTE,jan.-18,0
5002407,Caarapó,MS,CENTRO-OESTE,jan.-18,2
5002605,Camapuã,MS,CENTRO-OESTE,jan.-18,0
5002704,Campo Grande,MS,CENTRO-OESTE,jan.-18,8
5002803,Caracol,MS,CENTRO-OESTE,jan.-18,0
5002902,Cassilândia,MS,CENTRO-OESTE,jan.-18,0
5002951,Chapadão Do Sul,MS,CENTRO-OESTE,jan.-18,0
5003108,Corguinho,MS,CENTRO-OESTE,jan.-18,0
5003157,Coronel Sapucaia,MS,CENTRO-OESTE,jan.-18,1
5003207,Corumbá,MS,CENTRO-OESTE,jan.-18,2
5003256,Costa Rica,MS,CENTRO-OESTE,jan.-18,0
5003306,Coxim,MS,CENTRO-OESTE,jan.-18,0
5003454,Deodápolis,MS,CENTRO-OESTE,jan.-18,0
5003488,Dois Irmãos Do Buriti,MS,CENTRO-OESTE,jan.-18,0
5003504,Douradina,MS,CENTRO-OESTE,jan.-18,0
5003702,Dourados,MS,CENTRO-OESTE,jan.-18,1
5003751,Eldorado,MS,CENTRO-OESTE,jan.-18,0
5003801,Fátima Do Sul,MS,CENTRO-OESTE,jan.-18,0
5003900,Figueirão,MS,CENTRO-OESTE,jan.-18,0
5004007,Glória De Dourados,MS,CENTRO-OESTE,jan.-18,0
5004106,Guia Lopes Da Laguna,MS,CENTRO-OESTE,jan.-18,1
5004304,Iguatemi,MS,CENTRO-OESTE,jan.-18,0
5004403,Inocência,MS,CENTRO-OESTE,jan.-18,0
5004502,Itaporã,MS,CENTRO-OESTE,jan.-18,0
5004601,Itaquiraí,MS,CENTRO-OESTE,jan.-18,0
5004700,Ivinhema,MS,CENTRO-OESTE,jan.-18,0
5004809,Japorã,MS,CENTRO-OESTE,jan.-18,1
5004908,Jaraguari,MS,CENTRO-OESTE,jan.-18,0
5005004,Jardim,MS,CENTRO-OESTE,jan.-18,0
5005103,Jateí,MS,CENTRO-OESTE,jan.-18,0
5005152,Juti,MS,CENTRO-OESTE,jan.-18,0
5005202,Ladário,MS,CENTRO-OESTE,jan.-18,0
5005251,Laguna Carapã,MS,CENTRO-OESTE,jan.-18,0
5005400,Maracaju,MS,CENTRO-OESTE,jan.-18,1
5005608,Miranda,MS,CENTRO-OESTE,jan.-18,0
5005681,Mundo Novo,MS,CENTRO-OESTE,jan.-18,2
5005707,Naviraí,MS,CENTRO-OESTE,jan.-18,0
5005806,Nioaque,MS,CENTRO-OESTE,jan.-18,0
5006002,Nova Alvorada Do Sul,MS,CENTRO-OESTE,jan.-18,3
5006200,Nova Andradina,MS,CENTRO-OESTE,jan.-18,0
5006259,Novo Horizonte Do Sul,MS,CENTRO-OESTE,jan.-18,0
5006275,Paraíso Das Águas,MS,CENTRO-OESTE,jan.-18,0
5006309,Paranaíba,MS,CENTRO-OESTE,jan.-18,0
