Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
1500107,Abaetetuba,PA,NORTE,jan.-18,6
1500131,Abel Figueiredo,PA,NORTE,jan.-18,1
1500206,Acará,PA,NORTE,jan.-18,1
1500347,Água Azul Do Norte,PA,NORTE,jan.-18,1
1500503,Almeirim,PA,NORTE,jan.-18,2
1500602,Altamira,PA,NORTE,jan.-18,15
1500701,Anajás,PA,NORTE,jan.-18,1
1500800,Ananindeua,PA,NORTE,jan.-18,42
1500859,Anapu,PA,NORTE,jan.-18,7
1501204,Baião,PA,NORTE,jan.-18,1
1501303,Barcarena,PA,NORTE,jan.-18,7
1501402,Belém,PA,NORTE,jan.-18,66
1501501,Benevides,PA,NORTE,jan.-18,10
1501576,Bom Jesus Do Tocantins,PA,NORTE,jan.-18,2
1501600,Bonito,PA,NORTE,jan.-18,1
1501709,Bragança,PA,NORTE,jan.-18,6
1501725,Brasil Novo,PA,NORTE,jan.-18,2
1501758,Brejo Grande Do Araguaia,PA,NORTE,jan.-18,1
1501782,Breu Branco,PA,NORTE,jan.-18,4
1501808,Breves,PA,NORTE,jan.-18,1
1501907,Bujaru,PA,NORTE,jan.-18,3
1501956,Cachoeira Do Piriá,PA,NORTE,jan.-18,1
1502103,Cametá,PA,NORTE,jan.-18,2
1502400,Castanhal,PA,NORTE,jan.-18,17
1502756,Concórdia Do Pará,PA,NORTE,jan.-18,1
1502772,Curionópolis,PA,NORTE,jan.-18,2
1502905,Curuçá,PA,NORTE,jan.-18,1
1502954,Eldorado Do Carajás,PA,NORTE,jan.-18,2
1503044,Floresta Do Araguaia,PA,NORTE,jan.-18,2
1503077,Garrafão Do Norte,PA,NORTE,jan.-18,2
1503101,Gurupá,PA,NORTE,jan.-18,1
1503200,Igarapé-Açu,PA,NORTE,jan.-18,1
1503309,Igarapé-Miri,PA,NORTE,jan.-18,3
1503606,Itaituba,PA,NORTE,jan.-18,10
1503705,Itupiranga,PA,NORTE,jan.-18,2
