Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
2500106,Água Branca,PB,NORDESTE,jan.-18,0
2500205,Aguiar,PB,NORDESTE,jan.-18,0
2500304,Alagoa Grande,PB,NORDESTE,jan.-18,0
2500403,Alagoa Nova,PB,NORDESTE,jan.-18,0
2500502,Alagoinha,PB,NORDESTE,jan.-18,1
2500536,Alcantil,PB,NORDESTE,jan.-18,0
2500577,Algodão De Jandaíra,PB,NORDESTE,jan.-18,0
2500601,Alhandra,PB,NORDESTE,jan.-18,1
2500734,Amparo,PB,NORDESTE,jan.-18,0
2500775,Aparecida,PB,NORDESTE,jan.-18,0
2500809,Araçagi,PB,NORDESTE,jan.-18,0
2500908,Arara,PB,NORDESTE,jan.-18,0
2501005,Araruna,PB,NORDESTE,jan.-18,0
2501104,Areia,PB,NORDESTE,jan.-18,1
2501153,Areia De Baraúnas,PB,NORDESTE,jan.-18,0
2501203,Areial,PB,NORDESTE,jan.-18,0
2501302,Aroeiras,PB,NORDESTE,jan.-18,2
2501351,Assunção,PB,NORDESTE,jan.-18,0
2501401,Baía Da Traição,PB,NORDESTE,jan.-18,0
2501500,Bananeiras,PB,NORDESTE,jan.-18,2
2501534,Baraúna,PB,NORDESTE,jan.-18,0
2501609,Barra De Santa Rosa,PB,NORDESTE,jan.-18,0
2501575,Barra De Santana,PB,NORDESTE,jan.-18,1
2501708,Barra De São Miguel,PB,NORDESTE,jan.-18,0
2501807,Bayeux,PB,NORDESTE,jan.-18,8
2501906,Belém,PB,NORDESTE,jan.-18,1
2502003,Belém Do Brejo Do Cruz,PB,NORDESTE,jan.-18,0
2502052,Bernardino Batista,PB,NORDESTE,jan.-18,0
2502102,Boa Ventura,PB,NORDESTE,jan.-18,0
2502151,Boa Vista,PB,NORDESTE,jan.-18,0
2502201,Bom Jesus,PB,NORDESTE,jan.-18,0
2502300,Bom Sucesso,PB,NORDESTE,jan.-18,0
2502409,Bonito De Santa Fé,PB,NORDESTE,jan.-18,0
2502508,Boqueirão,PB,NORDESTE,jan.-18,0
2502706,Borborema,PB,NORDESTE,jan.-18,2
2502805,Brejo Do Cruz,PB,NORDESTE,jan.-18,1
2502904,Brejo Dos Santos,PB,NORDESTE,jan.-18,0
2503001,Caaporã,PB,NORDESTE,jan.-18,0
2503100,Cabaceiras,PB,NORDESTE,jan.-18,0
2503209,Cabedelo,PB,NORDESTE,jan.-18,2
2503308,Cachoeira Dos Índios,PB,NORDESTE,jan.-18,0
2503407,Cacimba De Areia,PB,NORDESTE,jan.-18,0
2503506,Cacimba De Dentro,PB,NORDESTE,jan.-18,0
2503555,Cacimbas,PB,NORDESTE,jan.-18,0
2503605,Caiçara,PB,NORDESTE,jan.-18,0
2503704,Cajazeiras,PB,NORDESTE,jan.-18,0
2503753,Cajazeirinhas,PB,NORDESTE,jan.-18,0
2503803,Caldas Brandão,PB,NORDESTE,jan.-18,1
2503902,Camalaú,PB,NORDESTE,jan.-18,1
2504009,Campina Grande,PB,NORDESTE,jan.-18,18
2504033,Capim,PB,NORDESTE,jan.-18,1
2504074,Caraúbas,PB,NORDESTE,jan.-18,0
2504108,Carrapateira,PB,NORDESTE,jan.-18,0
2504157,Casserengue,PB,NORDESTE,jan.-18,0
2504207,Catingueira,PB,NORDESTE,jan.-18,0
2504306,Catolé Do Rocha,PB,NORDESTE,jan.-18,0
2504355,Caturité,PB,NORDESTE,jan.-18,0
2504405,Conceição,PB,NORDESTE,jan.-18,0
2504504,Condado,PB,NORDESTE,jan.-18,0
2504603,Conde,PB,NORDESTE,jan.-18,0
2504702,Congo,PB,NORDESTE,jan.-18,0
2504801,Coremas,PB,NORDESTE,jan.-18,0
2504850,Coxixola,PB,NORDESTE,jan.-18,0
2504900,Cruz Do Espírito Santo,PB,NORDESTE,jan.-18,2
2505006,Cubati,PB,NORDESTE,jan.-18,0
2505105,Cuité,PB,NORDESTE,jan.-18,1
