Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
2600054,Abreu E Lima,PE,NORDESTE,jan.-18,3
2600203,Afrânio,PE,NORDESTE,jan.-18,1
2600401,Água Preta,PE,NORDESTE,jan.-18,1
2600500,Águas Belas,PE,NORDESTE,jan.-18,2
2600708,Aliança,PE,NORDESTE,jan.-18,2
2600807,Altinho,PE,NORDESTE,jan.-18,1
2600906,Amaraji,PE,NORDESTE,jan.-18,1
2601052,Araçoiaba,PE,NORDESTE,jan.-18,1
2601102,Araripina,PE,NORDESTE,jan.-18,2
2601201,Arcoverde,PE,NORDESTE,jan.-18,3
2601300,Barra De Guabiraba,PE,NORDESTE,jan.-18,2
2601409,Barreiros,PE,NORDESTE,jan.-18,3
2601607,Belém Do São Francisco,PE,NORDESTE,jan.-18,1
2601706,Belo Jardim,PE,NORDESTE,jan.-18,6
2601904,Bezerros,PE,NORDESTE,jan.-18,2
2602100,Bom Conselho,PE,NORDESTE,jan.-18,2
2602209,Bom Jardim,PE,NORDESTE,jan.-18,1
2602308,Bonito,PE,NORDESTE,jan.-18,2
2602605,Brejo Da Madre De Deus,PE,NORDESTE,jan.-18,3
2602803,Buíque,PE,NORDESTE,jan.-18,3
2602902,Cabo De Santo Agostinho,PE,NORDESTE,jan.-18,21
2603009,Cabrobó,PE,NORDESTE,jan.-18,1
2603207,Caetés,PE,NORDESTE,jan.-18,2
2603306,Calçado,PE,NORDESTE,jan.-18,1
2603454,Camaragibe,PE,NORDESTE,jan.-18,2
2603702,Canhotinho,PE,NORDESTE,jan.-18,2
2603900,Carnaíba,PE,NORDESTE,jan.-18,1
2604007,Carpina,PE,NORDESTE,jan.-18,10
2604106,Caruaru,PE,NORDESTE,jan.-18,9
2604205,Catende,PE,NORDESTE,jan.-18,2
2604601,Condado,PE,NORDESTE,jan.-18,1
2604700,Correntes,PE,NORDESTE,jan.-18,1
2604809,Cortês,PE,NORDESTE,jan.-18,2
2605004,Cupira,PE,NORDESTE,jan.-18,1
2605103,Custódia,PE,NORDESTE,jan.-18,1
2605202,Escada,PE,NORDESTE,jan.-18,3
2605400,Feira Nova,PE,NORDESTE,jan.-18,1
2605707,Floresta,PE,NORDESTE,jan.-18,3
2605905,Gameleira,PE,NORDESTE,jan.-18,5
2606002,Garanhuns,PE,NORDESTE,jan.-18,3
2606101,Glória Do Goitá,PE,NORDESTE,jan.-18,4
2606200,Goiana,PE,NORDESTE,jan.-18,2
2606408,Gravatá,PE,NORDESTE,jan.-18,9
2606507,Iati,PE,NORDESTE,jan.-18,1
2606606,Ibimirim,PE,NORDESTE,jan.-18,3
2606804,Igarassu,PE,NORDESTE,jan.-18,15
2607604,Ilha De Itamaracá,PE,NORDESTE,jan.-18,3
2607208,Ipojuca,PE,NORDESTE,jan.-18,7
2607505,Itaíba,PE,NORDESTE,jan.-18,1
2607653,Itambé,PE,NORDESTE,jan.-18,1
2607752,Itapissuma,PE,NORDESTE,jan.-18,2
2607901,Jaboatão Dos Guararapes,PE,NORDESTE,jan.-18,39
2607950,Jaqueira,PE,NORDESTE,jan.-18,2
2608206,Joaquim Nabuco,PE,NORDESTE,jan.-18,1
2608305,Jupi,PE,NORDESTE,jan.-18,1
2608453,Lagoa Do Carro,PE,NORDESTE,jan.-18,4
2608800,Lajedo,PE,NORDESTE,jan.-18,7
2608909,Limoeiro,PE,NORDESTE,jan.-18,1
2609204,Maraial,PE,NORDESTE,jan.-18,1
2614303,Moreilândia,PE,NORDESTE,jan.-18,1
2609402,Moreno,PE,NORDESTE,jan.-18,5
2609501,Nazaré Da Mata,PE,NORDESTE,jan.-18,1
2609600,Olinda,PE,NORDESTE,jan.-18,28
2609907,Ouricuri,PE,NORDESTE,jan.-18,2
2610004,Palmares,PE,NORDESTE,jan.-18,3
2610103,Palmeirina,PE,NORDESTE,jan.-18,3
2610509,Passira,PE,NORDESTE,jan.-18,1
2610608,Paudalho,PE,NORDESTE,jan.-18,5
2610707,Paulista,PE,NORDESTE,jan.-18,14
2610806,Pedra,PE,NORDESTE,jan.-18,1
2610905,Pesqueira,PE,NORDESTE,jan.-18,1
2611101,Petrolina,PE,NORDESTE,jan.-18,21
2611309,Pombos,PE,NORDESTE,jan.-18,4
2611408,Primavera,PE,NORDESTE,jan.-18,3
2611606,Recife,PE,NORDESTE,jan.-18,58
2611804,Ribeirão,PE,NORDESTE,jan.-18,3
2611903,Rio Formoso,PE,NORDESTE,jan.-18,1
2612307,Saloá,PE,NORDESTE,jan.-18,1
2612505,Santa Cruz Do Capibaribe,PE,NORDESTE,jan.-18,10
2612604,Santa Maria Da Boa Vista,PE,NORDESTE,jan.-18,1
2612901,São Benedito Do Sul,PE,NORDESTE,jan.-18,1
2613008,São Bento Do Una,PE,NORDESTE,jan.-18,3
2613107,São Caitano,PE,NORDESTE,jan.-18,5
2613404,São José Da Coroa Grande,PE,NORDESTE,jan.-18,2
2613701,São Lourenço Da Mata,PE,NORDESTE,jan.-18,11
2614204,Sirinhaém,PE,NORDESTE,jan.-18,1
2614501,Surubim,PE,NORDESTE,jan.-18,1
2614857,Tamandaré,PE,NORDESTE,jan.-18,1
2615003,Taquaritinga Do Norte,PE,NORDESTE,jan.-18,3
2615300,Timbaúba,PE,NORDESTE,jan.-18,3
2615409,Toritama,PE,NORDESTE,jan.-18,5
2615607,Trindade,PE,NORDESTE,jan.-18,1
2615805,Tupanatinga,PE,NORDESTE,jan.-18,2
2616001,Venturosa,PE,NORDESTE,jan.-18,1
2616183,Vertente Do Lério,PE,NORDESTE,jan.-18,1
2616407,Vitória De Santo Antão,PE,NORDESTE,jan.-18,8
2600054,Abreu E Lima,PE,NORDESTE,fev.-18,4
2600104,Afogados Da Ingazeira,PE,NORDESTE,fev.-18,1
2600302,Agrestina,PE,NORDESTE,fev.-18,1
2600609,Alagoinha,PE,NORDESTE,fev.-18,2
2600807,Altinho,PE,NORDESTE,fev.-18,4
2600906,Amaraji,PE,NORDESTE,fev.-18,1
2601102,Araripina,PE,NORDESTE,fev.-18,3
2601201,Arcoverde,PE,NORDESTE,fev.-18,2
2601300,Barra De Guabiraba,PE,NORDESTE,fev.-18,1
2601409,Barreiros,PE,NORDESTE,fev.-18,2
2601508,Belém De Maria,PE,NORDESTE,fev.-18,1
2601706,Belo Jardim,PE,NORDESTE,fev.-18,3
2601904,Bezerros,PE,NORDESTE,fev.-18,3
2602100,Bom Conselho,PE,NORDESTE,fev.-18,2
2602209,Bom Jardim,PE,NORDESTE,fev.-18,1
2602308,Bonito,PE,NORDESTE,fev.-18,1
2602407,Brejão,PE,NORDESTE,fev.-18,1
2602605,Brejo Da Madre De Deus,PE,NORDESTE,fev.-18,3
2602803,Buíque,PE,NORDESTE,fev.-18,2
2602902,Cabo De Santo Agostinho,PE,NORDESTE,fev.-18,18
2603306,Calçado,PE,NORDESTE,fev.-18,1
2603454,Camaragibe,PE,NORDESTE,fev.-18,3
2603603,Camutanga,PE,NORDESTE,fev.-18,2
2603702,Canhotinho,PE,NORDESTE,fev.-18,1
2603801,Capoeiras,PE,NORDESTE,fev.-18,1
2604007,Carpina,PE,NORDESTE,fev.-18,4
2604106,Caruaru,PE,NORDESTE,fev.-18,18
2604155,Casinhas,PE,NORDESTE,fev.-18,2
2604502,Chã Grande,PE,NORDESTE,fev.-18,1
2604700,Correntes,PE,NORDESTE,fev.-18,1
2605004,Cupira,PE,NORDESTE,fev.-18,1
2605103,Custódia,PE,NORDESTE,fev.-18,1
2605152,Dormentes,PE,NORDESTE,fev.-18,1
2605202,Escada,PE,NORDESTE,fev.-18,6
2605400,Feira Nova,PE,NORDESTE,fev.-18,1
2605707,Floresta,PE,NORDESTE,fev.-18,3
2605806,Frei Miguelinho,PE,NORDESTE,fev.-18,2
2605905,Gameleira,PE,NORDESTE,fev.-18,3
2606002,Garanhuns,PE,NORDESTE,fev.-18,5
2606101,Glória Do Goitá,PE,NORDESTE,fev.-18,2
2606200,Goiana,PE,NORDESTE,fev.-18,4
2606408,Gravatá,PE,NORDESTE,fev.-18,4
2606804,Igarassu,PE,NORDESTE,fev.-18,12
2606903,Iguaracy,PE,NORDESTE,fev.-18,1
2607604,Ilha De Itamaracá,PE,NORDESTE,fev.-18,3
2607208,Ipojuca,PE,NORDESTE,fev.-18,6
2607653,Itambé,PE,NORDESTE,fev.-18,1
2607901,Jaboatão Dos Guararapes,PE,NORDESTE,fev.-18,24
2608107,João Alfredo,PE,NORDESTE,fev.-18,1
2608206,Joaquim Nabuco,PE,NORDESTE,fev.-18,6
2608255,Jucati,PE,NORDESTE,fev.-18,1
2608305,Jupi,PE,NORDESTE,fev.-18,1
2608503,Lagoa De Itaenga,PE,NORDESTE,fev.-18,1
2608750,Lagoa Grande,PE,NORDESTE,fev.-18,2
2608800,Lajedo,PE,NORDESTE,fev.-18,4
2609105,Machados,PE,NORDESTE,fev.-18,1
2609154,Manari,PE,NORDESTE,fev.-18,1
2609402,Moreno,PE,NORDESTE,fev.-18,1
2609501,Nazaré Da Mata,PE,NORDESTE,fev.-18,4
2609600,Olinda,PE,NORDESTE,fev.-18,16
2609808,Orocó,PE,NORDESTE,fev.-18,2
2609907,Ouricuri,PE,NORDESTE,fev.-18,1
2610004,Palmares,PE,NORDESTE,fev.-18,2
2610608,Paudalho,PE,NORDESTE,fev.-18,3
2610707,Paulista,PE,NORDESTE,fev.-18,11
2610806,Pedra,PE,NORDESTE,fev.-18,3
2610905,Pesqueira,PE,NORDESTE,fev.-18,1
2611002,Petrolândia,PE,NORDESTE,fev.-18,1
2611101,Petrolina,PE,NORDESTE,fev.-18,10
2611200,Poção,PE,NORDESTE,fev.-18,1
2611309,Pombos,PE,NORDESTE,fev.-18,2
2611408,Primavera,PE,NORDESTE,fev.-18,4
2611507,Quipapá,PE,NORDESTE,fev.-18,1
2611606,Recife,PE,NORDESTE,fev.-18,55
2611804,Ribeirão,PE,NORDESTE,fev.-18,4
2611903,Rio Formoso,PE,NORDESTE,fev.-18,1
2612208,Salgueiro,PE,NORDESTE,fev.-18,1
2612307,Saloá,PE,NORDESTE,fev.-18,2
2612505,Santa Cruz Do Capibaribe,PE,NORDESTE,fev.-18,2
2612604,Santa Maria Da Boa Vista,PE,NORDESTE,fev.-18,5
2613107,São Caitano,PE,NORDESTE,fev.-18,1
2613305,São Joaquim Do Monte,PE,NORDESTE,fev.-18,3
2613404,São José Da Coroa Grande,PE,NORDESTE,fev.-18,11
2613503,São José Do Belmonte,PE,NORDESTE,fev.-18,2
2613701,São Lourenço Da Mata,PE,NORDESTE,fev.-18,8
2613800,São Vicente Férrer,PE,NORDESTE,fev.-18,1
2613909,Serra Talhada,PE,NORDESTE,fev.-18,3
2614105,Sertânia,PE,NORDESTE,fev.-18,2
2614204,Sirinhaém,PE,NORDESTE,fev.-18,2
2614501,Surubim,PE,NORDESTE,fev.-18,2
2614709,Tacaimbó,PE,NORDESTE,fev.-18,1
2614808,Tacaratu,PE,NORDESTE,fev.-18,1
2614857,Tamandaré,PE,NORDESTE,fev.-18,1
2615300,Timbaúba,PE,NORDESTE,fev.-18,9
2615409,Toritama,PE,NORDESTE,fev.-18,5
2615508,Tracunhaém,PE,NORDESTE,fev.-18,1
2615805,Tupanatinga,PE,NORDESTE,fev.-18,1
2616209,Vertentes,PE,NORDESTE,fev.-18,4
2616308,Vicência,PE,NORDESTE,fev.-18,4
2616407,Vitória De Santo Antão,PE,NORDESTE,fev.-18,5
2616506,Xexéu,PE,NORDESTE,fev.-18,3
2600302,Agrestina,PE,NORDESTE,mar.-18,4
2600500,Águas Belas,PE,NORDESTE,mar.-18,2
2600609,Alagoinha,PE,NORDESTE,mar.-18,1
2600708,Aliança,PE,NORDESTE,mar.-18,1
2600807,Altinho,PE,NORDESTE,mar.-18,1
2601003,Angelim,PE,NORDESTE,mar.-18,2
2601102,Araripina,PE,NORDESTE,mar.-18,3
2601201,Arcoverde,PE,NORDESTE,mar.-18,1
2601706,Belo Jardim,PE,NORDESTE,mar.-18,3
2601904,Bezerros,PE,NORDESTE,mar.-18,4
2602100,Bom Conselho,PE,NORDESTE,mar.-18,4
2602209,Bom Jardim,PE,NORDESTE,mar.-18,2
2602308,Bonito,PE,NORDESTE,mar.-18,1
2602407,Brejão,PE,NORDESTE,mar.-18,1
2602605,Brejo Da Madre De Deus,PE,NORDESTE,mar.-18,5
2602902,Cabo De Santo Agostinho,PE,NORDESTE,mar.-18,10
2603108,Cachoeirinha,PE,NORDESTE,mar.-18,1
2603454,Camaragibe,PE,NORDESTE,mar.-18,7
2603504,Camocim De São Félix,PE,NORDESTE,mar.-18,1
2603603,Camutanga,PE,NORDESTE,mar.-18,1
2603702,Canhotinho,PE,NORDESTE,mar.-18,1
2603801,Capoeiras,PE,NORDESTE,mar.-18,1
2604007,Carpina,PE,NORDESTE,mar.-18,3
2604106,Caruaru,PE,NORDESTE,mar.-18,16
2604205,Catende,PE,NORDESTE,mar.-18,3
2604601,Condado,PE,NORDESTE,mar.-18,1
2604809,Cortês,PE,NORDESTE,mar.-18,1
2605004,Cupira,PE,NORDESTE,mar.-18,2
2605103,Custódia,PE,NORDESTE,mar.-18,2
2605202,Escada,PE,NORDESTE,mar.-18,2
2605301,Exu,PE,NORDESTE,mar.-18,1
2605509,Ferreiros,PE,NORDESTE,mar.-18,1
2605707,Floresta,PE,NORDESTE,mar.-18,2
2606002,Garanhuns,PE,NORDESTE,mar.-18,4
2606101,Glória Do Goitá,PE,NORDESTE,mar.-18,2
2606200,Goiana,PE,NORDESTE,mar.-18,1
2606408,Gravatá,PE,NORDESTE,mar.-18,3
2606804,Igarassu,PE,NORDESTE,mar.-18,10
2607604,Ilha De Itamaracá,PE,NORDESTE,mar.-18,1
2607208,Ipojuca,PE,NORDESTE,mar.-18,9
2607505,Itaíba,PE,NORDESTE,mar.-18,2
2607653,Itambé,PE,NORDESTE,mar.-18,3
2607802,Itaquitinga,PE,NORDESTE,mar.-18,1
2607901,Jaboatão Dos Guararapes,PE,NORDESTE,mar.-18,21
2608206,Joaquim Nabuco,PE,NORDESTE,mar.-18,2
2608453,Lagoa Do Carro,PE,NORDESTE,mar.-18,1
2608800,Lajedo,PE,NORDESTE,mar.-18,2
2609303,Mirandiba,PE,NORDESTE,mar.-18,1
2609402,Moreno,PE,NORDESTE,mar.-18,3
2609501,Nazaré Da Mata,PE,NORDESTE,mar.-18,2
2609600,Olinda,PE,NORDESTE,mar.-18,13
2609709,Orobó,PE,NORDESTE,mar.-18,2
2609907,Ouricuri,PE,NORDESTE,mar.-18,2
2610004,Palmares,PE,NORDESTE,mar.-18,3
2610103,Palmeirina,PE,NORDESTE,mar.-18,1
2610202,Panelas,PE,NORDESTE,mar.-18,4
2610301,Paranatama,PE,NORDESTE,mar.-18,1
2610400,Parnamirim,PE,NORDESTE,mar.-18,2
2610608,Paudalho,PE,NORDESTE,mar.-18,5
2610707,Paulista,PE,NORDESTE,mar.-18,12
2610905,Pesqueira,PE,NORDESTE,mar.-18,3
2611002,Petrolândia,PE,NORDESTE,mar.-18,1
2611101,Petrolina,PE,NORDESTE,mar.-18,11
2611309,Pombos,PE,NORDESTE,mar.-18,3
2611408,Primavera,PE,NORDESTE,mar.-18,3
2611606,Recife,PE,NORDESTE,mar.-18,55
2611804,Ribeirão,PE,NORDESTE,mar.-18,4
2611903,Rio Formoso,PE,NORDESTE,mar.-18,1
2612000,Sairé,PE,NORDESTE,mar.-18,1
2612208,Salgueiro,PE,NORDESTE,mar.-18,4
2612471,Santa Cruz Da Baixa Verde,PE,NORDESTE,mar.-18,1
2612505,Santa Cruz Do Capibaribe,PE,NORDESTE,mar.-18,1
2612604,Santa Maria Da Boa Vista,PE,NORDESTE,mar.-18,3
2612703,Santa Maria Do Cambucá,PE,NORDESTE,mar.-18,1
2613008,São Bento Do Una,PE,NORDESTE,mar.-18,1
2613107,São Caitano,PE,NORDESTE,mar.-18,3
2613305,São Joaquim Do Monte,PE,NORDESTE,mar.-18,4
2613701,São Lourenço Da Mata,PE,NORDESTE,mar.-18,7
2613800,São Vicente Férrer,PE,NORDESTE,mar.-18,1
2613909,Serra Talhada,PE,NORDESTE,mar.-18,5
2614105,Sertânia,PE,NORDESTE,mar.-18,1
2614204,Sirinhaém,PE,NORDESTE,mar.-18,1
2614501,Surubim,PE,NORDESTE,mar.-18,1
2614600,Tabira,PE,NORDESTE,mar.-18,1
2614857,Tamandaré,PE,NORDESTE,mar.-18,2
2615300,Timbaúba,PE,NORDESTE,mar.-18,4
2615409,Toritama,PE,NORDESTE,mar.-18,3
2615607,Trindade,PE,NORDESTE,mar.-18,2
2615805,Tupanatinga,PE,NORDESTE,mar.-18,2
2616209,Vertentes,PE,NORDESTE,mar.-18,1
2616407,Vitória De Santo Antão,PE,NORDESTE,mar.-18,9
2616506,Xexéu,PE,NORDESTE,mar.-18,1
2600054,Abreu E Lima,PE,NORDESTE,abr.-18,4
2600104,Afogados Da Ingazeira,PE,NORDESTE,abr.-18,1
2600203,Afrânio,PE,NORDESTE,abr.-18,1
2600302,Agrestina,PE,NORDESTE,abr.-18,3
2600401,Água Preta,PE,NORDESTE,abr.-18,3
2600500,Águas Belas,PE,NORDESTE,abr.-18,1
2600609,Alagoinha,PE,NORDESTE,abr.-18,1
2600708,Aliança,PE,NORDESTE,abr.-18,2
2600807,Altinho,PE,NORDESTE,abr.-18,1
2600906,Amaraji,PE,NORDESTE,abr.-18,1
