Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
2200053,Acauã,PI,NORDESTE,jan.-18,0
2200103,Agricolândia,PI,NORDESTE,jan.-18,0
2200202,Água Branca,PI,NORDESTE,jan.-18,0
2200251,Alagoinha Do Piauí,PI,NORDESTE,jan.-18,0
2200277,Alegrete Do Piauí,PI,NORDESTE,jan.-18,0
2200301,Alto Longá,PI,NORDESTE,jan.-18,1
2200400,Altos,PI,NORDESTE,jan.-18,0
2200459,Alvorada Do Gurguéia,PI,NORDESTE,jan.-18,0
2200509,Amarante,PI,NORDESTE,jan.-18,0
2200608,Angical Do Piauí,PI,NORDESTE,jan.-18,0
2200707,Anísio De Abreu,PI,NORDESTE,jan.-18,0
2200806,Antônio Almeida,PI,NORDESTE,jan.-18,0
2200905,Aroazes,PI,NORDESTE,jan.-18,0
2200954,Aroeiras Do Itaim,PI,NORDESTE,jan.-18,0
2201002,Arraial,PI,NORDESTE,jan.-18,0
2201051,Assunção Do Piauí,PI,NORDESTE,jan.-18,0
2201101,Avelino Lopes,PI,NORDESTE,jan.-18,0
2201150,Baixa Grande Do Ribeiro,PI,NORDESTE,jan.-18,0
2201176,Barra D'Alcântara,PI,NORDESTE,jan.-18,0
2201200,Barras,PI,NORDESTE,jan.-18,0
2201309,Barreiras Do Piauí,PI,NORDESTE,jan.-18,0
2201408,Barro Duro,PI,NORDESTE,jan.-18,0
2201507,Batalha,PI,NORDESTE,jan.-18,1
2201556,Bela Vista Do Piauí,PI,NORDESTE,jan.-18,0
2201572,Belém Do Piauí,PI,NORDESTE,jan.-18,0
2201606,Beneditinos,PI,NORDESTE,jan.-18,0
2201705,Bertolínia,PI,NORDESTE,jan.-18,0
2201739,Betânia Do Piauí,PI,NORDESTE,jan.-18,0
2201770,Boa Hora,PI,NORDESTE,jan.-18,0
2201804,Bocaina,PI,NORDESTE,jan.-18,0
2201903,Bom Jesus,PI,NORDESTE,jan.-18,0
2201919,Bom Princípio Do Piauí,PI,NORDESTE,jan.-18,0
2201929,Bonfim Do Piauí,PI,NORDESTE,jan.-18,0
2201945,Boqueirão Do Piauí,PI,NORDESTE,jan.-18,0
2201960,Brasileira,PI,NORDESTE,jan.-18,0
2201988,Brejo Do Piauí,PI,NORDESTE,jan.-18,0
2202000,Buriti Dos Lopes,PI,NORDESTE,jan.-18,0
2202026,Buriti Dos Montes,PI,NORDESTE,jan.-18,0
2202059,Cabeceiras Do Piauí,PI,NORDESTE,jan.-18,0
2202075,Cajazeiras Do Piauí,PI,NORDESTE,jan.-18,0
2202083,Cajueiro Da Praia,PI,NORDESTE,jan.-18,2
2202091,Caldeirão Grande Do Piauí,PI,NORDESTE,jan.-18,0
2202109,Campinas Do Piauí,PI,NORDESTE,jan.-18,0
2202117,Campo Alegre Do Fidalgo,PI,NORDESTE,jan.-18,0
2202133,Campo Grande Do Piauí,PI,NORDESTE,jan.-18,0
2202174,Campo Largo Do Piauí,PI,NORDESTE,jan.-18,0
2202208,Campo Maior,PI,NORDESTE,jan.-18,1
2202251,Canavieira,PI,NORDESTE,jan.-18,0
2202307,Canto Do Buriti,PI,NORDESTE,jan.-18,1
2202406,Capitão De Campos,PI,NORDESTE,jan.-18,0
2202455,Capitão Gervásio Oliveira,PI,NORDESTE,jan.-18,0
2202505,Caracol,PI,NORDESTE,jan.-18,0
2202539,Caraúbas Do Piauí,PI,NORDESTE,jan.-18,0
2202554,Caridade Do Piauí,PI,NORDESTE,jan.-18,0
2202604,Castelo Do Piauí,PI,NORDESTE,jan.-18,0
2202653,Caxingó,PI,NORDESTE,jan.-18,0
2202703,Cocal,PI,NORDESTE,jan.-18,0
2202711,Cocal De Telha,PI,NORDESTE,jan.-18,0
2202729,Cocal Dos Alves,PI,NORDESTE,jan.-18,0
2202737,Coivaras,PI,NORDESTE,jan.-18,0
2202752,Colônia Do Gurguéia,PI,NORDESTE,jan.-18,0
2202778,Colônia Do Piauí,PI,NORDESTE,jan.-18,0
2202802,Conceição Do Canindé,PI,NORDESTE,jan.-18,0
2202851,Coronel José Dias,PI,NORDESTE,jan.-18,0
2202901,Corrente,PI,NORDESTE,jan.-18,0
2203008,Cristalândia Do Piauí,PI,NORDESTE,jan.-18,0
2203107,Cristino Castro,PI,NORDESTE,jan.-18,0
2203206,Curimatá,PI,NORDESTE,jan.-18,0
2203230,Currais,PI,NORDESTE,jan.-18,0
2203255,Curralinhos,PI,NORDESTE,jan.-18,0
2203271,Curral Novo Do Piauí,PI,NORDESTE,jan.-18,0
2203305,Demerval Lobão,PI,NORDESTE,jan.-18,0
2203354,Dirceu Arcoverde,PI,NORDESTE,jan.-18,0
2203404,Dom Expedito Lopes,PI,NORDESTE,jan.-18,0
2203420,Domingos Mourão,PI,NORDESTE,jan.-18,0
2203453,Dom Inocêncio,PI,NORDESTE,jan.-18,0
2203503,Elesbão Veloso,PI,NORDESTE,jan.-18,0
2203602,Eliseu Martins,PI,NORDESTE,jan.-18,0
2203701,Esperantina,PI,NORDESTE,jan.-18,0
2203750,Fartura Do Piauí,PI,NORDESTE,jan.-18,0
2203800,Flores Do Piauí,PI,NORDESTE,jan.-18,1
2203859,Floresta Do Piauí,PI,NORDESTE,jan.-18,0
2203909,Floriano,PI,NORDESTE,jan.-18,1
2204006,Francinópolis,PI,NORDESTE,jan.-18,0
2204105,Francisco Ayres,PI,NORDESTE,jan.-18,0
2204154,Francisco Macedo,PI,NORDESTE,jan.-18,0
2204204,Francisco Santos,PI,NORDESTE,jan.-18,0
2204303,Fronteiras,PI,NORDESTE,jan.-18,0
2204352,Geminiano,PI,NORDESTE,jan.-18,0
2204402,Gilbués,PI,NORDESTE,jan.-18,0
2204501,Guadalupe,PI,NORDESTE,jan.-18,1
2204550,Guaribas,PI,NORDESTE,jan.-18,0
2204600,Hugo Napoleão,PI,NORDESTE,jan.-18,0
2204659,Ilha Grande,PI,NORDESTE,jan.-18,0
2204709,Inhuma,PI,NORDESTE,jan.-18,0
2204808,Ipiranga Do Piauí,PI,NORDESTE,jan.-18,0
2204907,Isaías Coelho,PI,NORDESTE,jan.-18,0
2205003,Itainópolis,PI,NORDESTE,jan.-18,0
2205102,Itaueira,PI,NORDESTE,jan.-18,1
2205151,Jacobina Do Piauí,PI,NORDESTE,jan.-18,1
2205201,Jaicós,PI,NORDESTE,jan.-18,0
2205250,Jardim Do Mulato,PI,NORDESTE,jan.-18,0
2205276,Jatobá Do Piauí,PI,NORDESTE,jan.-18,0
2205300,Jerumenha,PI,NORDESTE,jan.-18,0
2205359,João Costa,PI,NORDESTE,jan.-18,0
2205409,Joaquim Pires,PI,NORDESTE,jan.-18,0
2205458,Joca Marques,PI,NORDESTE,jan.-18,0
2205508,José De Freitas,PI,NORDESTE,jan.-18,2
2205516,Juazeiro Do Piauí,PI,NORDESTE,jan.-18,0
2205524,Júlio Borges,PI,NORDESTE,jan.-18,0
2205532,Jurema,PI,NORDESTE,jan.-18,0
2205540,Lagoinha Do Piauí,PI,NORDESTE,jan.-18,0
2205557,Lagoa Alegre,PI,NORDESTE,jan.-18,0
2205565,Lagoa Do Barro Do Piauí,PI,NORDESTE,jan.-18,0
2205573,Lagoa De São Francisco,PI,NORDESTE,jan.-18,0
2205581,Lagoa Do Piauí,PI,NORDESTE,jan.-18,0
2205599,Lagoa Do Sítio,PI,NORDESTE,jan.-18,0
2205607,Landri Sales,PI,NORDESTE,jan.-18,0
2205706,Luís Correia,PI,NORDESTE,jan.-18,1
2205805,Luzilândia,PI,NORDESTE,jan.-18,0
2205854,Madeiro,PI,NORDESTE,jan.-18,0
2205904,Manoel Emídio,PI,NORDESTE,jan.-18,0
2205953,Marcolândia,PI,NORDESTE,jan.-18,0
2206001,Marcos Parente,PI,NORDESTE,jan.-18,0
2206050,Massapê Do Piauí,PI,NORDESTE,jan.-18,0
2206100,Matias Olímpio,PI,NORDESTE,jan.-18,0
2206209,Miguel Alves,PI,NORDESTE,jan.-18,0
2206308,Miguel Leão,PI,NORDESTE,jan.-18,0
2206357,Milton Brandão,PI,NORDESTE,jan.-18,0
2206407,Monsenhor Gil,PI,NORDESTE,jan.-18,0
2206506,Monsenhor Hipólito,PI,NORDESTE,jan.-18,0
2206605,Monte Alegre Do Piauí,PI,NORDESTE,jan.-18,0
2206654,Morro Cabeça No Tempo,PI,NORDESTE,jan.-18,1
2206670,Morro Do Chapéu Do Piauí,PI,NORDESTE,jan.-18,0
2206696,Murici Dos Portelas,PI,NORDESTE,jan.-18,0
2206704,Nazaré Do Piauí,PI,NORDESTE,jan.-18,0
2206720,Nazária,PI,NORDESTE,jan.-18,0
2206753,Nossa Senhora De Nazaré,PI,NORDESTE,jan.-18,0
2206803,Nossa Senhora Dos Remédios,PI,NORDESTE,jan.-18,0
2206902,Novo Oriente Do Piauí,PI,NORDESTE,jan.-18,0
2206951,Novo Santo Antônio,PI,NORDESTE,jan.-18,0
2207009,Oeiras,PI,NORDESTE,jan.-18,1
2207108,Olho D'Água Do Piauí,PI,NORDESTE,jan.-18,0
2207207,Padre Marcos,PI,NORDESTE,jan.-18,0
2207306,Paes Landim,PI,NORDESTE,jan.-18,0
2207355,Pajeú Do Piauí,PI,NORDESTE,jan.-18,0
2207405,Palmeira Do Piauí,PI,NORDESTE,jan.-18,1
2207504,Palmeirais,PI,NORDESTE,jan.-18,0
2207553,Paquetá,PI,NORDESTE,jan.-18,0
2207603,Parnaguá,PI,NORDESTE,jan.-18,0
2207702,Parnaíba,PI,NORDESTE,jan.-18,4
2207751,Passagem Franca Do Piauí,PI,NORDESTE,jan.-18,0
2207777,Patos Do Piauí,PI,NORDESTE,jan.-18,0
