Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
4100103,Abatiá,PR,SUL,jan.-18,0
4100202,Adrianópolis,PR,SUL,jan.-18,1
4100301,Agudos Do Sul,PR,SUL,jan.-18,0
4100400,Almirante Tamandaré,PR,SUL,jan.-18,6
4100459,Altamira Do Paraná,PR,SUL,jan.-18,0
4128625,Alto Paraíso,PR,SUL,jan.-18,0
4100608,Alto Paraná,PR,SUL,jan.-18,0
4100707,Alto Piquiri,PR,SUL,jan.-18,0
4100509,Altônia,PR,SUL,jan.-18,3
4100806,Alvorada Do Sul,PR,SUL,jan.-18,0
4100905,Amaporã,PR,SUL,jan.-18,1
4101002,Ampére,PR,SUL,jan.-18,0
4101051,Anahy,PR,SUL,jan.-18,0
4101101,Andirá,PR,SUL,jan.-18,0
4101150,Ângulo,PR,SUL,jan.-18,0
4101200,Antonina,PR,SUL,jan.-18,0
4101309,Antônio Olinto,PR,SUL,jan.-18,0
4101408,Apucarana,PR,SUL,jan.-18,0
4101507,Arapongas,PR,SUL,jan.-18,0
4101606,Arapoti,PR,SUL,jan.-18,0
4101655,Arapuã,PR,SUL,jan.-18,0
4101705,Araruna,PR,SUL,jan.-18,0
4101804,Araucária,PR,SUL,jan.-18,3
4101853,Ariranha Do Ivaí,PR,SUL,jan.-18,0
4101903,Assaí,PR,SUL,jan.-18,0
4102000,Assis Chateaubriand,PR,SUL,jan.-18,0
4102109,Astorga,PR,SUL,jan.-18,1
4102208,Atalaia,PR,SUL,jan.-18,0
4102307,Balsa Nova,PR,SUL,jan.-18,2
4102406,Bandeirantes,PR,SUL,jan.-18,0
4102505,Barbosa Ferraz,PR,SUL,jan.-18,0
4102703,Barra Do Jacaré,PR,SUL,jan.-18,0
4102604,Barracão,PR,SUL,jan.-18,0
4102752,Bela Vista Da Caroba,PR,SUL,jan.-18,0
4102802,Bela Vista Do Paraíso,PR,SUL,jan.-18,0
4102901,Bituruna,PR,SUL,jan.-18,1
4103008,Boa Esperança,PR,SUL,jan.-18,0
4103024,Boa Esperança Do Iguaçu,PR,SUL,jan.-18,0
4103040,Boa Ventura De São Roque,PR,SUL,jan.-18,0
4103057,Boa Vista Da Aparecida,PR,SUL,jan.-18,0
4103107,Bocaiúva Do Sul,PR,SUL,jan.-18,1
4103156,Bom Jesus Do Sul,PR,SUL,jan.-18,0
4103206,Bom Sucesso,PR,SUL,jan.-18,0
4103222,Bom Sucesso Do Sul,PR,SUL,jan.-18,0
4103305,Borrazópolis,PR,SUL,jan.-18,0
4103354,Braganey,PR,SUL,jan.-18,0
4103370,Brasilândia Do Sul,PR,SUL,jan.-18,0
4103404,Cafeara,PR,SUL,jan.-18,0
4103453,Cafelândia,PR,SUL,jan.-18,0
4103479,Cafezal Do Sul,PR,SUL,jan.-18,0
4103503,Califórnia,PR,SUL,jan.-18,0
4103602,Cambará,PR,SUL,jan.-18,0
4103701,Cambé,PR,SUL,jan.-18,1
4103800,Cambira,PR,SUL,jan.-18,0
4103909,Campina Da Lagoa,PR,SUL,jan.-18,0
4103958,Campina Do Simão,PR,SUL,jan.-18,0
4104006,Campina Grande Do Sul,PR,SUL,jan.-18,3
4104055,Campo Bonito,PR,SUL,jan.-18,0
4104105,Campo Do Tenente,PR,SUL,jan.-18,0
4104204,Campo Largo,PR,SUL,jan.-18,5
4104253,Campo Magro,PR,SUL,jan.-18,1
4104303,Campo Mourão,PR,SUL,jan.-18,0
4104402,Cândido De Abreu,PR,SUL,jan.-18,0
4104428,Candói,PR,SUL,jan.-18,0
4104451,Cantagalo,PR,SUL,jan.-18,0
4104501,Capanema,PR,SUL,jan.-18,0
4104600,Capitão Leônidas Marques,PR,SUL,jan.-18,0
4104659,Carambeí,PR,SUL,jan.-18,0
4104709,Carlópolis,PR,SUL,jan.-18,0
4104808,Cascavel,PR,SUL,jan.-18,3
