Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
3300100,Angra Dos Reis,RJ,SUDESTE,jan.-18,13
3300159,Aperibé,RJ,SUDESTE,jan.-18,0
3300209,Araruama,RJ,SUDESTE,jan.-18,4
3300225,Areal,RJ,SUDESTE,jan.-18,0
3300233,Armação Dos Búzios,RJ,SUDESTE,jan.-18,2
3300258,Arraial Do Cabo,RJ,SUDESTE,jan.-18,1
3300308,Barra Do Piraí,RJ,SUDESTE,jan.-18,1
3300407,Barra Mansa,RJ,SUDESTE,jan.-18,8
3300456,Belford Roxo,RJ,SUDESTE,jan.-18,28
3300506,Bom Jardim,RJ,SUDESTE,jan.-18,0
3300605,Bom Jesus Do Itabapoana,RJ,SUDESTE,jan.-18,2
3300704,Cabo Frio,RJ,SUDESTE,jan.-18,9
3300803,Cachoeiras De Macacu,RJ,SUDESTE,jan.-18,0
3300902,Cambuci,RJ,SUDESTE,jan.-18,1
3301009,Campos Dos Goytacazes,RJ,SUDESTE,jan.-18,14
3301108,Cantagalo,RJ,SUDESTE,jan.-18,0
3300936,Carapebus,RJ,SUDESTE,jan.-18,2
3301157,Cardoso Moreira,RJ,SUDESTE,jan.-18,0
3301207,Carmo,RJ,SUDESTE,jan.-18,0
3301306,Casimiro De Abreu,RJ,SUDESTE,jan.-18,1
3300951,Comendador Levy Gasparian,RJ,SUDESTE,jan.-18,0
3301405,Conceição De Macabu,RJ,SUDESTE,jan.-18,2
3301504,Cordeiro,RJ,SUDESTE,jan.-18,0
3301603,Duas Barras,RJ,SUDESTE,jan.-18,0
3301702,Duque De Caxias,RJ,SUDESTE,jan.-18,29
3301801,Engenheiro Paulo De Frontin,RJ,SUDESTE,jan.-18,0
3301850,Guapimirim,RJ,SUDESTE,jan.-18,0
3301876,Iguaba Grande,RJ,SUDESTE,jan.-18,0
3301900,Itaboraí,RJ,SUDESTE,jan.-18,10
3302007,Itaguaí,RJ,SUDESTE,jan.-18,9
3302056,Italva,RJ,SUDESTE,jan.-18,1
3302106,Itaocara,RJ,SUDESTE,jan.-18,1
3302205,Itaperuna,RJ,SUDESTE,jan.-18,3
3302254,Itatiaia,RJ,SUDESTE,jan.-18,1
3302270,Japeri,RJ,SUDESTE,jan.-18,7
3302304,Laje Do Muriaé,RJ,SUDESTE,jan.-18,1
3302403,Macaé,RJ,SUDESTE,jan.-18,14
3302452,Macuco,RJ,SUDESTE,jan.-18,0
3302502,Magé,RJ,SUDESTE,jan.-18,7
3302601,Mangaratiba,RJ,SUDESTE,jan.-18,2
3302700,Maricá,RJ,SUDESTE,jan.-18,6
3302809,Mendes,RJ,SUDESTE,jan.-18,0
3302858,Mesquita,RJ,SUDESTE,jan.-18,5
3302908,Miguel Pereira,RJ,SUDESTE,jan.-18,0
3303005,Miracema,RJ,SUDESTE,jan.-18,1
3303104,Natividade,RJ,SUDESTE,jan.-18,0
3303203,Nilópolis,RJ,SUDESTE,jan.-18,2
3303302,Niterói,RJ,SUDESTE,jan.-18,7
3303401,Nova Friburgo,RJ,SUDESTE,jan.-18,1
3303500,Nova Iguaçu,RJ,SUDESTE,jan.-18,29
3303609,Paracambi,RJ,SUDESTE,jan.-18,1
3303708,Paraíba Do Sul,RJ,SUDESTE,jan.-18,0
3303807,Paraty,RJ,SUDESTE,jan.-18,5
3303856,Paty Do Alferes,RJ,SUDESTE,jan.-18,1
3303906,Petrópolis,RJ,SUDESTE,jan.-18,2
3303955,Pinheiral,RJ,SUDESTE,jan.-18,0
3304003,Piraí,RJ,SUDESTE,jan.-18,1
3304102,Porciúncula,RJ,SUDESTE,jan.-18,0
3304110,Porto Real,RJ,SUDESTE,jan.-18,3
