Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
2400109,Acari,RN,NORDESTE,jan.-18,0
2400208,Açu,RN,NORDESTE,jan.-18,2
2400307,Afonso Bezerra,RN,NORDESTE,jan.-18,0
2400406,Água Nova,RN,NORDESTE,jan.-18,0
2400505,Alexandria,RN,NORDESTE,jan.-18,2
2400604,Almino Afonso,RN,NORDESTE,jan.-18,1
2400703,Alto Do Rodrigues,RN,NORDESTE,jan.-18,2
2400802,Angicos,RN,NORDESTE,jan.-18,0
2400901,Antônio Martins,RN,NORDESTE,jan.-18,0
2401008,Apodi,RN,NORDESTE,jan.-18,0
2401107,Areia Branca,RN,NORDESTE,jan.-18,2
2401206,Arês,RN,NORDESTE,jan.-18,1
2401305,Campo Grande,RN,NORDESTE,jan.-18,0
2401404,Baía Formosa,RN,NORDESTE,jan.-18,0
2401453,Baraúna,RN,NORDESTE,jan.-18,2
2401503,Barcelona,RN,NORDESTE,jan.-18,0
2401602,Bento Fernandes,RN,NORDESTE,jan.-18,0
2401651,Bodó,RN,NORDESTE,jan.-18,0
2401701,Bom Jesus,RN,NORDESTE,jan.-18,2
2401800,Brejinho,RN,NORDESTE,jan.-18,0
2401859,Caiçara Do Norte,RN,NORDESTE,jan.-18,0
2401909,Caiçara Do Rio Do Vento,RN,NORDESTE,jan.-18,0
2402006,Caicó,RN,NORDESTE,jan.-18,2
2402105,Campo Redondo,RN,NORDESTE,jan.-18,0
2402204,Canguaretama,RN,NORDESTE,jan.-18,5
2402303,Caraúbas,RN,NORDESTE,jan.-18,2
2402402,Carnaúba Dos Dantas,RN,NORDESTE,jan.-18,0
2402501,Carnaubais,RN,NORDESTE,jan.-18,1
2402600,Ceará-Mirim,RN,NORDESTE,jan.-18,3
2402709,Cerro Corá,RN,NORDESTE,jan.-18,0
2402808,Coronel Ezequiel,RN,NORDESTE,jan.-18,1
2402907,Coronel João Pessoa,RN,NORDESTE,jan.-18,0
2403004,Cruzeta,RN,NORDESTE,jan.-18,1
2403103,Currais Novos,RN,NORDESTE,jan.-18,0
2403202,Doutor Severiano,RN,NORDESTE,jan.-18,0
2403251,Parnamirim,RN,NORDESTE,jan.-18,8
2403301,Encanto,RN,NORDESTE,jan.-18,0
2403400,Equador,RN,NORDESTE,jan.-18,0
2403509,Espírito Santo,RN,NORDESTE,jan.-18,0
2403608,Extremoz,RN,NORDESTE,jan.-18,6
2403707,Felipe Guerra,RN,NORDESTE,jan.-18,0
2403756,Fernando Pedroza,RN,NORDESTE,jan.-18,0
2403806,Florânia,RN,NORDESTE,jan.-18,0
2403905,Francisco Dantas,RN,NORDESTE,jan.-18,0
2404002,Frutuoso Gomes,RN,NORDESTE,jan.-18,0
2404101,Galinhos,RN,NORDESTE,jan.-18,0
2404200,Goianinha,RN,NORDESTE,jan.-18,0
2404309,Governador Dix-Sept Rosado,RN,NORDESTE,jan.-18,0
2404408,Grossos,RN,NORDESTE,jan.-18,0
2404507,Guamaré,RN,NORDESTE,jan.-18,0
2404606,Ielmo Marinho,RN,NORDESTE,jan.-18,0
2404705,Ipanguaçu,RN,NORDESTE,jan.-18,0
2404804,Ipueira,RN,NORDESTE,jan.-18,0
2404853,Itajá,RN,NORDESTE,jan.-18,1
2404903,Itaú,RN,NORDESTE,jan.-18,0
2405009,Jaçanã,RN,NORDESTE,jan.-18,1
2405108,Jandaíra,RN,NORDESTE,jan.-18,4
2405207,Janduís,RN,NORDESTE,jan.-18,0
2405306,Boa Saúde,RN,NORDESTE,jan.-18,3
2405405,Japi,RN,NORDESTE,jan.-18,0
2405504,Jardim De Angicos,RN,NORDESTE,jan.-18,0
2405603,Jardim De Piranhas,RN,NORDESTE,jan.-18,0
2405702,Jardim Do Seridó,RN,NORDESTE,jan.-18,0
2405801,João Câmara,RN,NORDESTE,jan.-18,1
2405900,João Dias,RN,NORDESTE,jan.-18,0
2406007,José Da Penha,RN,NORDESTE,jan.-18,0
2406106,Jucurutu,RN,NORDESTE,jan.-18,0
2406155,Jundiá,RN,NORDESTE,jan.-18,0
2406205,Lagoa D'Anta,RN,NORDESTE,jan.-18,0
2406304,Lagoa De Pedras,RN,NORDESTE,jan.-18,0
2406403,Lagoa De Velhos,RN,NORDESTE,jan.-18,0
2406502,Lagoa Nova,RN,NORDESTE,jan.-18,0
2406601,Lagoa Salgada,RN,NORDESTE,jan.-18,2
2406700,Lajes,RN,NORDESTE,jan.-18,0
2406809,Lajes Pintadas,RN,NORDESTE,jan.-18,0
2406908,Lucrécia,RN,NORDESTE,jan.-18,0
2407005,Luís Gomes,RN,NORDESTE,jan.-18,0
2407104,Macaíba,RN,NORDESTE,jan.-18,0
2407203,Macau,RN,NORDESTE,jan.-18,0
2407252,Major Sales,RN,NORDESTE,jan.-18,0
2407302,Marcelino Vieira,RN,NORDESTE,jan.-18,0
2407401,Martins,RN,NORDESTE,jan.-18,0
2407500,Maxaranguape,RN,NORDESTE,jan.-18,0
2407609,Messias Targino,RN,NORDESTE,jan.-18,0
2407708,Montanhas,RN,NORDESTE,jan.-18,0
2407807,Monte Alegre,RN,NORDESTE,jan.-18,0
2407906,Monte Das Gameleiras,RN,NORDESTE,jan.-18,0
2408003,Mossoró,RN,NORDESTE,jan.-18,22
2408102,Natal,RN,NORDESTE,jan.-18,36
2408201,Nísia Floresta,RN,NORDESTE,jan.-18,5
2408300,Nova Cruz,RN,NORDESTE,jan.-18,1
2408409,Olho D'Água Do Borges,RN,NORDESTE,jan.-18,0
2408508,Ouro Branco,RN,NORDESTE,jan.-18,0
2408607,Paraná,RN,NORDESTE,jan.-18,0
2408706,Paraú,RN,NORDESTE,jan.-18,0
2408805,Parazinho,RN,NORDESTE,jan.-18,0
2408904,Parelhas,RN,NORDESTE,jan.-18,2
2408953,Rio Do Fogo,RN,NORDESTE,jan.-18,0
2409100,Passa E Fica,RN,NORDESTE,jan.-18,0
2409209,Passagem,RN,NORDESTE,jan.-18,0
2409308,Patu,RN,NORDESTE,jan.-18,4
2409332,Santa Maria,RN,NORDESTE,jan.-18,0
2409407,Pau Dos Ferros,RN,NORDESTE,jan.-18,4
2409506,Pedra Grande,RN,NORDESTE,jan.-18,2
2409605,Pedra Preta,RN,NORDESTE,jan.-18,0
2409704,Pedro Avelino,RN,NORDESTE,jan.-18,0
2409803,Pedro Velho,RN,NORDESTE,jan.-18,1
2409902,Pendências,RN,NORDESTE,jan.-18,0
2410009,Pilões,RN,NORDESTE,jan.-18,0
2410108,Poço Branco,RN,NORDESTE,jan.-18,0
2410207,Portalegre,RN,NORDESTE,jan.-18,0
2410256,Porto Do Mangue,RN,NORDESTE,jan.-18,1
2410306,Serra Caiada,RN,NORDESTE,jan.-18,0
2410405,Pureza,RN,NORDESTE,jan.-18,0
2410504,Rafael Fernandes,RN,NORDESTE,jan.-18,0
2410603,Rafael Godeiro,RN,NORDESTE,jan.-18,0
2410702,Riacho Da Cruz,RN,NORDESTE,jan.-18,0
2410801,Riacho De Santana,RN,NORDESTE,jan.-18,0
2410900,Riachuelo,RN,NORDESTE,jan.-18,0
2411007,Rodolfo Fernandes,RN,NORDESTE,jan.-18,0
2411056,Tibau,RN,NORDESTE,jan.-18,0
2411106,Ruy Barbosa,RN,NORDESTE,jan.-18,0
2411205,Santa Cruz,RN,NORDESTE,jan.-18,0
2411403,Santana Do Matos,RN,NORDESTE,jan.-18,0
2411429,Santana Do Seridó,RN,NORDESTE,jan.-18,0
2411502,Santo Antônio,RN,NORDESTE,jan.-18,0
2411601,São Bento Do Norte,RN,NORDESTE,jan.-18,2
2411700,São Bento Do Trairí,RN,NORDESTE,jan.-18,0
2411809,São Fernando,RN,NORDESTE,jan.-18,0
2411908,São Francisco Do Oeste,RN,NORDESTE,jan.-18,1
2412005,São Gonçalo Do Amarante,RN,NORDESTE,jan.-18,11
2412104,São João Do Sabugi,RN,NORDESTE,jan.-18,0
2412203,São José De Mipibu,RN,NORDESTE,jan.-18,2
2412302,São José Do Campestre,RN,NORDESTE,jan.-18,0
2412401,São José Do Seridó,RN,NORDESTE,jan.-18,0
2412500,São Miguel,RN,NORDESTE,jan.-18,0
2412559,São Miguel Do Gostoso,RN,NORDESTE,jan.-18,5
2412609,São Paulo Do Potengi,RN,NORDESTE,jan.-18,0
2412708,São Pedro,RN,NORDESTE,jan.-18,0
2412807,São Rafael,RN,NORDESTE,jan.-18,0
2412906,São Tomé,RN,NORDESTE,jan.-18,0
2413003,São Vicente,RN,NORDESTE,jan.-18,0
2413102,Senador Elói De Souza,RN,NORDESTE,jan.-18,0
2413201,Senador Georgino Avelino,RN,NORDESTE,jan.-18,0
2413300,Serra De São Bento,RN,NORDESTE,jan.-18,0
2413359,Serra Do Mel,RN,NORDESTE,jan.-18,1
2413409,Serra Negra Do Norte,RN,NORDESTE,jan.-18,0
2413508,Serrinha,RN,NORDESTE,jan.-18,0
2413557,Serrinha Dos Pintos,RN,NORDESTE,jan.-18,0
2413607,Severiano Melo,RN,NORDESTE,jan.-18,0
2413706,Sítio Novo,RN,NORDESTE,jan.-18,0
2413805,Taboleiro Grande,RN,NORDESTE,jan.-18,0
2413904,Taipu,RN,NORDESTE,jan.-18,0
2414001,Tangará,RN,NORDESTE,jan.-18,2
2414100,Tenente Ananias,RN,NORDESTE,jan.-18,0
2414159,Tenente Laurentino Cruz,RN,NORDESTE,jan.-18,0
2414209,Tibau Do Sul,RN,NORDESTE,jan.-18,0
2414308,Timbaúba Dos Batistas,RN,NORDESTE,jan.-18,0
2414407,Touros,RN,NORDESTE,jan.-18,1
2414456,Triunfo Potiguar,RN,NORDESTE,jan.-18,0
2414506,Umarizal,RN,NORDESTE,jan.-18,0
2414605,Upanema,RN,NORDESTE,jan.-18,0
2414704,Várzea,RN,NORDESTE,jan.-18,0
2414753,Venha-Ver,RN,NORDESTE,jan.-18,0
2414803,Vera Cruz,RN,NORDESTE,jan.-18,0
2414902,Viçosa,RN,NORDESTE,jan.-18,0
2415008,Vila Flor,RN,NORDESTE,jan.-18,0
2400109,Acari,RN,NORDESTE,fev.-18,0
2400208,Açu,RN,NORDESTE,fev.-18,3
2400307,Afonso Bezerra,RN,NORDESTE,fev.-18,0
2400406,Água Nova,RN,NORDESTE,fev.-18,0
2400505,Alexandria,RN,NORDESTE,fev.-18,0
2400604,Almino Afonso,RN,NORDESTE,fev.-18,0
2400703,Alto Do Rodrigues,RN,NORDESTE,fev.-18,1
2400802,Angicos,RN,NORDESTE,fev.-18,0
2400901,Antônio Martins,RN,NORDESTE,fev.-18,1
2401008,Apodi,RN,NORDESTE,fev.-18,0
2401107,Areia Branca,RN,NORDESTE,fev.-18,4
2401206,Arês,RN,NORDESTE,fev.-18,0
2401305,Campo Grande,RN,NORDESTE,fev.-18,0
2401404,Baía Formosa,RN,NORDESTE,fev.-18,1
2401453,Baraúna,RN,NORDESTE,fev.-18,2
2401503,Barcelona,RN,NORDESTE,fev.-18,0
2401602,Bento Fernandes,RN,NORDESTE,fev.-18,0
2401651,Bodó,RN,NORDESTE,fev.-18,0
2401701,Bom Jesus,RN,NORDESTE,fev.-18,1
2401800,Brejinho,RN,NORDESTE,fev.-18,0
2401859,Caiçara Do Norte,RN,NORDESTE,fev.-18,0
2401909,Caiçara Do Rio Do Vento,RN,NORDESTE,fev.-18,0
2402006,Caicó,RN,NORDESTE,fev.-18,3
2402105,Campo Redondo,RN,NORDESTE,fev.-18,0
2402204,Canguaretama,RN,NORDESTE,fev.-18,1
2402303,Caraúbas,RN,NORDESTE,fev.-18,1
2402402,Carnaúba Dos Dantas,RN,NORDESTE,fev.-18,1
2402501,Carnaubais,RN,NORDESTE,fev.-18,0
2402600,Ceará-Mirim,RN,NORDESTE,fev.-18,3
2402709,Cerro Corá,RN,NORDESTE,fev.-18,0
2402808,Coronel Ezequiel,RN,NORDESTE,fev.-18,0
2402907,Coronel João Pessoa,RN,NORDESTE,fev.-18,0
2403004,Cruzeta,RN,NORDESTE,fev.-18,0
2403103,Currais Novos,RN,NORDESTE,fev.-18,0
2403202,Doutor Severiano,RN,NORDESTE,fev.-18,0
2403251,Parnamirim,RN,NORDESTE,fev.-18,6
2403301,Encanto,RN,NORDESTE,fev.-18,0
2403400,Equador,RN,NORDESTE,fev.-18,0
2403509,Espírito Santo,RN,NORDESTE,fev.-18,0
2403608,Extremoz,RN,NORDESTE,fev.-18,4
2403707,Felipe Guerra,RN,NORDESTE,fev.-18,0
2403756,Fernando Pedroza,RN,NORDESTE,fev.-18,0
2403806,Florânia,RN,NORDESTE,fev.-18,0
2403905,Francisco Dantas,RN,NORDESTE,fev.-18,0
2404002,Frutuoso Gomes,RN,NORDESTE,fev.-18,0
2404101,Galinhos,RN,NORDESTE,fev.-18,0
2404200,Goianinha,RN,NORDESTE,fev.-18,1
2404309,Governador Dix-Sept Rosado,RN,NORDESTE,fev.-18,1
2404408,Grossos,RN,NORDESTE,fev.-18,3
2404507,Guamaré,RN,NORDESTE,fev.-18,0
2404606,Ielmo Marinho,RN,NORDESTE,fev.-18,0
2404705,Ipanguaçu,RN,NORDESTE,fev.-18,0
2404804,Ipueira,RN,NORDESTE,fev.-18,0
2404853,Itajá,RN,NORDESTE,fev.-18,2
2404903,Itaú,RN,NORDESTE,fev.-18,1
2405009,Jaçanã,RN,NORDESTE,fev.-18,0
2405108,Jandaíra,RN,NORDESTE,fev.-18,0
2405207,Janduís,RN,NORDESTE,fev.-18,0
2405306,Boa Saúde,RN,NORDESTE,fev.-18,0
2405405,Japi,RN,NORDESTE,fev.-18,0
2405504,Jardim De Angicos,RN,NORDESTE,fev.-18,0
2405603,Jardim De Piranhas,RN,NORDESTE,fev.-18,0
2405702,Jardim Do Seridó,RN,NORDESTE,fev.-18,0
2405801,João Câmara,RN,NORDESTE,fev.-18,1
2405900,João Dias,RN,NORDESTE,fev.-18,1
2406007,José Da Penha,RN,NORDESTE,fev.-18,0
2406106,Jucurutu,RN,NORDESTE,fev.-18,0
2406155,Jundiá,RN,NORDESTE,fev.-18,0
2406205,Lagoa D'Anta,RN,NORDESTE,fev.-18,3
2406304,Lagoa De Pedras,RN,NORDESTE,fev.-18,0
2406403,Lagoa De Velhos,RN,NORDESTE,fev.-18,0
2406502,Lagoa Nova,RN,NORDESTE,fev.-18,0
2406601,Lagoa Salgada,RN,NORDESTE,fev.-18,0
2406700,Lajes,RN,NORDESTE,fev.-18,0
2406809,Lajes Pintadas,RN,NORDESTE,fev.-18,0
2406908,Lucrécia,RN,NORDESTE,fev.-18,0
2407005,Luís Gomes,RN,NORDESTE,fev.-18,1
2407104,Macaíba,RN,NORDESTE,fev.-18,12
2407203,Macau,RN,NORDESTE,fev.-18,1
2407252,Major Sales,RN,NORDESTE,fev.-18,0
2407302,Marcelino Vieira,RN,NORDESTE,fev.-18,0
2407401,Martins,RN,NORDESTE,fev.-18,0
