Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
1100015,Alta Floresta D'Oeste,RO,NORTE,jan.-18,0
1100379,Alto Alegre Dos Parecis,RO,NORTE,jan.-18,0
1100403,Alto Paraíso,RO,NORTE,jan.-18,0
1100346,Alvorada D'Oeste,RO,NORTE,jan.-18,1
1100023,Ariquemes,RO,NORTE,jan.-18,5
1100452,Buritis,RO,NORTE,jan.-18,2
1100031,Cabixi,RO,NORTE,jan.-18,0
1100601,Cacaulândia,RO,NORTE,jan.-18,0
1100049,Cacoal,RO,NORTE,jan.-18,1
1100700,Campo Novo De Rondônia,RO,NORTE,jan.-18,0
1100809,Candeias Do Jamari,RO,NORTE,jan.-18,0
1100908,Castanheiras,RO,NORTE,jan.-18,0
1100056,Cerejeiras,RO,NORTE,jan.-18,0
1100924,Chupinguaia,RO,NORTE,jan.-18,2
1100064,Colorado Do Oeste,RO,NORTE,jan.-18,0
1100072,Corumbiara,RO,NORTE,jan.-18,2
1100080,Costa Marques,RO,NORTE,jan.-18,1
1100940,Cujubim,RO,NORTE,jan.-18,2
1100098,Espigão D'Oeste,RO,NORTE,jan.-18,0
1101005,Governador Jorge Teixeira,RO,NORTE,jan.-18,0
1100106,Guajará-Mirim,RO,NORTE,jan.-18,1
1101104,Itapuã Do Oeste,RO,NORTE,jan.-18,0
1100114,Jaru,RO,NORTE,jan.-18,0
1100122,Ji-Paraná,RO,NORTE,jan.-18,1
1100130,Machadinho D'Oeste,RO,NORTE,jan.-18,1
1101203,Ministro Andreazza,RO,NORTE,jan.-18,1
1101302,Mirante Da Serra,RO,NORTE,jan.-18,0
1101401,Monte Negro,RO,NORTE,jan.-18,0
1100148,Nova Brasilândia D'Oeste,RO,NORTE,jan.-18,0
1100338,Nova Mamoré,RO,NORTE,jan.-18,2
1101435,Nova União,RO,NORTE,jan.-18,0
1100502,Novo Horizonte Do Oeste,RO,NORTE,jan.-18,0
1100155,Ouro Preto Do Oeste,RO,NORTE,jan.-18,0
1101450,Parecis,RO,NORTE,jan.-18,1
1100189,Pimenta Bueno,RO,NORTE,jan.-18,0
1101468,Pimenteiras Do Oeste,RO,NORTE,jan.-18,0
1100205,Porto Velho,RO,NORTE,jan.-18,15
1100254,Presidente Médici,RO,NORTE,jan.-18,2
1101476,Primavera De Rondônia,RO,NORTE,jan.-18,0
1100262,Rio Crespo,RO,NORTE,jan.-18,0
1100288,Rolim De Moura,RO,NORTE,jan.-18,0
1100296,Santa Luzia D'Oeste,RO,NORTE,jan.-18,0
1101484,São Felipe D'Oeste,RO,NORTE,jan.-18,0
1101492,São Francisco Do Guaporé,RO,NORTE,jan.-18,1
1100320,São Miguel Do Guaporé,RO,NORTE,jan.-18,0
1101500,Seringueiras,RO,NORTE,jan.-18,0
1101559,Teixeirópolis,RO,NORTE,jan.-18,0
1101609,Theobroma,RO,NORTE,jan.-18,0
1101708,Urupá,RO,NORTE,jan.-18,1
1101757,Vale Do Anari,RO,NORTE,jan.-18,0
1101807,Vale Do Paraíso,RO,NORTE,jan.-18,0
1100304,Vilhena,RO,NORTE,jan.-18,2
1100015,Alta Floresta D'Oeste,RO,NORTE,fev.-18,1
1100379,Alto Alegre Dos Parecis,RO,NORTE,fev.-18,1
1100403,Alto Paraíso,RO,NORTE,fev.-18,0
1100346,Alvorada D'Oeste,RO,NORTE,fev.-18,0
1100023,Ariquemes,RO,NORTE,fev.-18,2
1100452,Buritis,RO,NORTE,fev.-18,1
1100031,Cabixi,RO,NORTE,fev.-18,0
1100601,Cacaulândia,RO,NORTE,fev.-18,0
1100049,Cacoal,RO,NORTE,fev.-18,0
1100700,Campo Novo De Rondônia,RO,NORTE,fev.-18,1
1100809,Candeias Do Jamari,RO,NORTE,fev.-18,1
1100908,Castanheiras,RO,NORTE,fev.-18,0
1100056,Cerejeiras,RO,NORTE,fev.-18,0
1100924,Chupinguaia,RO,NORTE,fev.-18,0
1100064,Colorado Do Oeste,RO,NORTE,fev.-18,0
1100072,Corumbiara,RO,NORTE,fev.-18,0
1100080,Costa Marques,RO,NORTE,fev.-18,0
1100940,Cujubim,RO,NORTE,fev.-18,1
1100098,Espigão D'Oeste,RO,NORTE,fev.-18,0
1101005,Governador Jorge Teixeira,RO,NORTE,fev.-18,0
1100106,Guajará-Mirim,RO,NORTE,fev.-18,1
1101104,Itapuã Do Oeste,RO,NORTE,fev.-18,0
1100114,Jaru,RO,NORTE,fev.-18,0
1100122,Ji-Paraná,RO,NORTE,fev.-18,3
1100130,Machadinho D'Oeste,RO,NORTE,fev.-18,0
1101203,Ministro Andreazza,RO,NORTE,fev.-18,0
1101302,Mirante Da Serra,RO,NORTE,fev.-18,0
1101401,Monte Negro,RO,NORTE,fev.-18,1
1100148,Nova Brasilândia D'Oeste,RO,NORTE,fev.-18,1
1100338,Nova Mamoré,RO,NORTE,fev.-18,0
1101435,Nova União,RO,NORTE,fev.-18,0
1100502,Novo Horizonte Do Oeste,RO,NORTE,fev.-18,0
1100155,Ouro Preto Do Oeste,RO,NORTE,fev.-18,2
1101450,Parecis,RO,NORTE,fev.-18,0
1100189,Pimenta Bueno,RO,NORTE,fev.-18,1
1101468,Pimenteiras Do Oeste,RO,NORTE,fev.-18,0
1100205,Porto Velho,RO,NORTE,fev.-18,6
1100254,Presidente Médici,RO,NORTE,fev.-18,0
1101476,Primavera De Rondônia,RO,NORTE,fev.-18,0
1100262,Rio Crespo,RO,NORTE,fev.-18,0
1100288,Rolim De Moura,RO,NORTE,fev.-18,1
1100296,Santa Luzia D'Oeste,RO,NORTE,fev.-18,0
1101484,São Felipe D'Oeste,RO,NORTE,fev.-18,0
1101492,São Francisco Do Guaporé,RO,NORTE,fev.-18,0
1100320,São Miguel Do Guaporé,RO,NORTE,fev.-18,0
1101500,Seringueiras,RO,NORTE,fev.-18,0
1101559,Teixeirópolis,RO,NORTE,fev.-18,0
1101609,Theobroma,RO,NORTE,fev.-18,1
1101708,Urupá,RO,NORTE,fev.-18,0
1101757,Vale Do Anari,RO,NORTE,fev.-18,0
1101807,Vale Do Paraíso,RO,NORTE,fev.-18,0
1100304,Vilhena,RO,NORTE,fev.-18,0
1100015,Alta Floresta D'Oeste,RO,NORTE,mar.-18,1
1100379,Alto Alegre Dos Parecis,RO,NORTE,mar.-18,0
1100403,Alto Paraíso,RO,NORTE,mar.-18,1
1100346,Alvorada D'Oeste,RO,NORTE,mar.-18,0
1100023,Ariquemes,RO,NORTE,mar.-18,7
1100452,Buritis,RO,NORTE,mar.-18,0
1100031,Cabixi,RO,NORTE,mar.-18,0
1100601,Cacaulândia,RO,NORTE,mar.-18,0
1100049,Cacoal,RO,NORTE,mar.-18,1
1100700,Campo Novo De Rondônia,RO,NORTE,mar.-18,0
1100809,Candeias Do Jamari,RO,NORTE,mar.-18,1
1100908,Castanheiras,RO,NORTE,mar.-18,0
1100056,Cerejeiras,RO,NORTE,mar.-18,0
1100924,Chupinguaia,RO,NORTE,mar.-18,1
1100064,Colorado Do Oeste,RO,NORTE,mar.-18,0
1100072,Corumbiara,RO,NORTE,mar.-18,0
1100080,Costa Marques,RO,NORTE,mar.-18,0
1100940,Cujubim,RO,NORTE,mar.-18,2
1100098,Espigão D'Oeste,RO,NORTE,mar.-18,1
1101005,Governador Jorge Teixeira,RO,NORTE,mar.-18,0
1100106,Guajará-Mirim,RO,NORTE,mar.-18,0
1101104,Itapuã Do Oeste,RO,NORTE,mar.-18,0
1100114,Jaru,RO,NORTE,mar.-18,0
1100122,Ji-Paraná,RO,NORTE,mar.-18,1
1100130,Machadinho D'Oeste,RO,NORTE,mar.-18,1
1101203,Ministro Andreazza,RO,NORTE,mar.-18,0
1101302,Mirante Da Serra,RO,NORTE,mar.-18,0
1101401,Monte Negro,RO,NORTE,mar.-18,0
1100148,Nova Brasilândia D'Oeste,RO,NORTE,mar.-18,0
1100338,Nova Mamoré,RO,NORTE,mar.-18,4
1101435,Nova União,RO,NORTE,mar.-18,0
1100502,Novo Horizonte Do Oeste,RO,NORTE,mar.-18,0
1100155,Ouro Preto Do Oeste,RO,NORTE,mar.-18,1
1101450,Parecis,RO,NORTE,mar.-18,0
1100189,Pimenta Bueno,RO,NORTE,mar.-18,0
1101468,Pimenteiras Do Oeste,RO,NORTE,mar.-18,0
1100205,Porto Velho,RO,NORTE,mar.-18,15
1100254,Presidente Médici,RO,NORTE,mar.-18,0
1101476,Primavera De Rondônia,RO,NORTE,mar.-18,0
1100262,Rio Crespo,RO,NORTE,mar.-18,1
1100288,Rolim De Moura,RO,NORTE,mar.-18,0
1100296,Santa Luzia D'Oeste,RO,NORTE,mar.-18,0
1101484,São Felipe D'Oeste,RO,NORTE,mar.-18,0
1101492,São Francisco Do Guaporé,RO,NORTE,mar.-18,0
1100320,São Miguel Do Guaporé,RO,NORTE,mar.-18,1
1101500,Seringueiras,RO,NORTE,mar.-18,0
1101559,Teixeirópolis,RO,NORTE,mar.-18,0
1101609,Theobroma,RO,NORTE,mar.-18,0
1101708,Urupá,RO,NORTE,mar.-18,0
1101757,Vale Do Anari,RO,NORTE,mar.-18,0
1101807,Vale Do Paraíso,RO,NORTE,mar.-18,0
1100304,Vilhena,RO,NORTE,mar.-18,2
1100015,Alta Floresta D'Oeste,RO,NORTE,abr.-18,1
1100379,Alto Alegre Dos Parecis,RO,NORTE,abr.-18,0
1100403,Alto Paraíso,RO,NORTE,abr.-18,1
1100346,Alvorada D'Oeste,RO,NORTE,abr.-18,0
1100023,Ariquemes,RO,NORTE,abr.-18,4
1100452,Buritis,RO,NORTE,abr.-18,1
1100031,Cabixi,RO,NORTE,abr.-18,0
1100601,Cacaulândia,RO,NORTE,abr.-18,0
