Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
1400100,Boa Vista,RR,NORTE,jan.-18,15
1400159,Bonfim,RR,NORTE,jan.-18,1
1400175,Cantá,RR,NORTE,jan.-18,1
1400100,Boa Vista,RR,NORTE,fev.-18,3
1400233,Caroebe,RR,NORTE,fev.-18,1
1400050,Alto Alegre,RR,NORTE,mar.-18,5
1400100,Boa Vista,RR,NORTE,mar.-18,7
1400100,Boa Vista,RR,NORTE,abr.-18,12
1400175,Cantá,RR,NORTE,abr.-18,1
1400050,Alto Alegre,RR,NORTE,mai.-18,2
1400100,Boa Vista,RR,NORTE,mai.-18,18
1400050,Alto Alegre,RR,NORTE,jun.-18,1
1400100,Boa Vista,RR,NORTE,jun.-18,12
1400282,Iracema,RR,NORTE,jun.-18,1
1400027,Amajari,RR,NORTE,jul.-18,1
1400050,Alto Alegre,RR,NORTE,jul.-18,1
1400100,Boa Vista,RR,NORTE,jul.-18,8
1400100,Boa Vista,RR,NORTE,ago.-18,11
1400100,Boa Vista,RR,NORTE,set.-18,22
1400159,Bonfim,RR,NORTE,set.-18,2
1400282,Iracema,RR,NORTE,set.-18,1
1400472,Rorainópolis,RR,NORTE,set.-18,1
1400100,Boa Vista,RR,NORTE,out.-18,10
1400282,Iracema,RR,NORTE,out.-18,1
1400100,Boa Vista,RR,NORTE,nov.-18,5
1400100,Boa Vista,RR,NORTE,dez.-18,16
1400100,Boa Vista,RR,NORTE,jan.-19,13
1400209,Caracaraí,RR,NORTE,jan.-19,2
1400308,Mucajaí,RR,NORTE,jan.-19,1
1400100,Boa Vista,RR,NORTE,fev.-19,14
1400209,Caracaraí,RR,NORTE,fev.-19,3
1400100,Boa Vista,RR,NORTE,mar.-19,16
1400175,Cantá,RR,NORTE,mar.-19,1
1400027,Amajari,RR,NORTE,abr.-19,2
1400050,Alto Alegre,RR,NORTE,abr.-19,1
1400100,Boa Vista,RR,NORTE,abr.-19,13
1400308,Mucajaí,RR,NORTE,abr.-19,3
1400282,Iracema,RR,NORTE,abr.-19,1
1400456,Pacaraima,RR,NORTE,abr.-19,1
1400100,Boa Vista,RR,NORTE,mai.-19,13
1400308,Mucajaí,RR,NORTE,mai.-19,2
1400407,Normandia,RR,NORTE,mai.-19,1
1400456,Pacaraima,RR,NORTE,mai.-19,2
1400605,São Luiz,RR,NORTE,mai.-19,1
1400050,Alto Alegre,RR,NORTE,jun.-19,3
1400100,Boa Vista,RR,NORTE,jun.-19,9
1400209,Caracaraí,RR,NORTE,jun.-19,3
1400308,Mucajaí,RR,NORTE,jun.-19,1
1400456,Pacaraima,RR,NORTE,jun.-19,1
1400100,Boa Vista,RR,NORTE,jul.-19,9
1400159,Bonfim,RR,NORTE,jul.-19,1
1400209,Caracaraí,RR,NORTE,jul.-19,1
1400050,Alto Alegre,RR,NORTE,jul.-19,1
1400233,Caroebe,RR,NORTE,jul.-19,1
1400308,Mucajaí,RR,NORTE,jul.-19,2
1400472,Rorainópolis,RR,NORTE,jul.-19,1
1400100,Boa Vista,RR,NORTE,ago.-19,13
1400159,Bonfim,RR,NORTE,ago.-19,1
1400308,Mucajaí,RR,NORTE,ago.-19,1
1400456,Pacaraima,RR,NORTE,ago.-19,1
1400472,Rorainópolis,RR,NORTE,ago.-19,1
1400100,Boa Vista,RR,NORTE,set.-19,8
1400159,Bonfim,RR,NORTE,set.-19,1
1400175,Cantá,RR,NORTE,set.-19,1
1400605,São Luiz,RR,NORTE,set.-19,1
1400100,Boa Vista,RR,NORTE,out.-19,5
1400159,Bonfim,RR,NORTE,out.-19,2
1400175,Cantá,RR,NORTE,out.-19,1
1400209,Caracaraí,RR,NORTE,out.-19,4
1400472,Rorainópolis,RR,NORTE,out.-19,0
1400506,São João Da Baliza,RR,NORTE,out.-19,1
1400100,Boa Vista,RR,NORTE,nov.-19,1
1400506,São João Da Baliza,RR,NORTE,nov.-19,1
1400050,Alto Alegre,RR,NORTE,dez.-19,2
1400100,Boa Vista,RR,NORTE,dez.-19,6
1400159,Bonfim,RR,NORTE,dez.-19,1
1400175,Cantá,RR,NORTE,dez.-19,1
1400050,Alto Alegre,RR,NORTE,jan.-20,0
1400027,Amajari,RR,NORTE,jan.-20,0
1400100,Boa Vista,RR,NORTE,jan.-20,5
1400159,Bonfim,RR,NORTE,jan.-20,2
1400175,Cantá,RR,NORTE,jan.-20,1
1400209,Caracaraí,RR,NORTE,jan.-20,0
1400233,Caroebe,RR,NORTE,jan.-20,1
1400282,Iracema,RR,NORTE,jan.-20,0
1400308,Mucajaí,RR,NORTE,jan.-20,0
1400407,Normandia,RR,NORTE,jan.-20,0
1400456,Pacaraima,RR,NORTE,jan.-20,0
1400472,Rorainópolis,RR,NORTE,jan.-20,0
1400506,São João Da Baliza,RR,NORTE,jan.-20,0
1400605,São Luiz,RR,NORTE,jan.-20,0
1400704,Uiramutã,RR,NORTE,jan.-20,0
1400050,Alto Alegre,RR,NORTE,fev.-20,0
1400027,Amajari,RR,NORTE,fev.-20,0
1400100,Boa Vista,RR,NORTE,fev.-20,5
1400159,Bonfim,RR,NORTE,fev.-20,0
1400175,Cantá,RR,NORTE,fev.-20,0
1400209,Caracaraí,RR,NORTE,fev.-20,0
1400233,Caroebe,RR,NORTE,fev.-20,0
1400282,Iracema,RR,NORTE,fev.-20,0
1400308,Mucajaí,RR,NORTE,fev.-20,0
1400407,Normandia,RR,NORTE,fev.-20,0
1400456,Pacaraima,RR,NORTE,fev.-20,1
1400472,Rorainópolis,RR,NORTE,fev.-20,0
1400506,São João Da Baliza,RR,NORTE,fev.-20,0
1400605,São Luiz,RR,NORTE,fev.-20,0
1400704,Uiramutã,RR,NORTE,fev.-20,0
1400100,Boa Vista,RR,NORTE,mar.-20,15
1400282,Iracema,RR,NORTE,mar.-20,1
1400506,São João Da Baliza,RR,NORTE,mar.-20,1
1400472,Rorainópolis,RR,NORTE,mar.-20,1
1400175,Cantá,RR,NORTE,mar.-20,1
1400233,Caroebe,RR,NORTE,mar.-20,1
1400308,Mucajaí,RR,NORTE,mar.-20,2
1400100,Boa Vista,RR,NORTE,abr.-20,4
1400175,Cantá,RR,NORTE,abr.-20,3
1400159,Bonfim,RR,NORTE,abr.-20,1
1400456,Pacaraima,RR,NORTE,abr.-20,1
1400282,Iracema,RR,NORTE,abr.-20,1
1400100,Boa Vista,RR,NORTE,mai.-20,6
1400472,Rorainópolis,RR,NORTE,mai.-20,2
1400605,São Luiz,RR,NORTE,mai.-20,1
1400506,São João Da Baliza,RR,NORTE,mai.-20,1
1400233,Caroebe,RR,NORTE,mai.-20,1
1400100,Boa Vista,RR,NORTE,jun.-20,14
1400159,Bonfim,RR,NORTE,jun.-20,1
1400209,Caracaraí,RR,NORTE,jun.-20,1
1400050,Alto Alegre,RR,NORTE,jul.-20,2
1400027,Amajari,RR,NORTE,jul.-20,2
1400100,Boa Vista,RR,NORTE,jul.-20,9
1400175,Cantá,RR,NORTE,jul.-20,1
1400209,Caracaraí,RR,NORTE,jul.-20,1
1400308,Mucajaí,RR,NORTE,jul.-20,3
1400100,Boa Vista,RR,NORTE,ago.-20,8
1400050,Alto Alegre,RR,NORTE,ago.-20,1
1400159,Bonfim,RR,NORTE,ago.-20,1
1400175,Cantá,RR,NORTE,ago.-20,3
1400308,Mucajaí,RR,NORTE,ago.-20,1
1400472,Rorainópolis,RR,NORTE,ago.-20,2
1400050,Alto Alegre,RR,NORTE,set.-20,3
1400100,Boa Vista,RR,NORTE,set.-20,6
1400472,Rorainópolis,RR,NORTE,set.-20,1
1400506,São João Da Baliza,RR,NORTE,set.-20,1
1400704,Uiramutã,RR,NORTE,set.-20,1
1400050,Alto Alegre,RR,NORTE,out.-20,2
1400100,Boa Vista,RR,NORTE,out.-20,7
1400159,Bonfim,RR,NORTE,out.-20,1
1400456,Pacaraima,RR,NORTE,out.-20,1
1400050,Alto Alegre,RR,NORTE,nov.-20,3
1400027,Amajari,RR,NORTE,nov.-20,3
1400100,Boa Vista,RR,NORTE,nov.-20,9
1400159,Bonfim,RR,NORTE,nov.-20,1
1400175,Cantá,RR,NORTE,nov.-20,1
1400209,Caracaraí,RR,NORTE,nov.-20,2
1400308,Mucajaí,RR,NORTE,nov.-20,3
1400456,Pacaraima,RR,NORTE,nov.-20,1
1400050,Alto Alegre,RR,NORTE,dez.-20,1
1400027,Amajari,RR,NORTE,dez.-20,2
1400100,Boa Vista,RR,NORTE,dez.-20,15
1400407,Normandia,RR,NORTE,dez.-20,1
1400456,Pacaraima,RR,NORTE,dez.-20,1
1400100,Boa Vista,RR,NORTE,jan.-21,8
1400209,Caracaraí,RR,NORTE,jan.-21,2
1400308,Mucajaí,RR,NORTE,jan.-21,1
1400050,Alto Alegre,RR,NORTE,fev.-21,6
1400027,Amajari,RR,NORTE,fev.-21,1
1400100,Boa Vista,RR,NORTE,fev.-21,20
1400175,Cantá,RR,NORTE,fev.-21,1
1400209,Caracaraí,RR,NORTE,fev.-21,1
1400282,Iracema,RR,NORTE,fev.-21,1
1400308,Mucajaí,RR,NORTE,fev.-21,1
1400407,Normandia,RR,NORTE,fev.-21,1
1400027,Amajari,RR,NORTE,mar.-21,1
1400100,Boa Vista,RR,NORTE,mar.-21,5
1400175,Cantá,RR,NORTE,mar.-21,1
1400308,Mucajaí,RR,NORTE,mar.-21,1
1400472,Rorainópolis,RR,NORTE,mar.-21,1
1400605,São Luiz,RR,NORTE,mar.-21,1
1400050,Alto Alegre,RR,NORTE,abr.-21,2
1400100,Boa Vista,RR,NORTE,abr.-21,13
1400175,Cantá,RR,NORTE,abr.-21,2
1400282,Iracema,RR,NORTE,abr.-21,1
1400308,Mucajaí,RR,NORTE,abr.-21,1
1400456,Pacaraima,RR,NORTE,abr.-21,1
1400050,Alto Alegre,RR,NORTE,mai.-21,5
1400100,Boa Vista,RR,NORTE,mai.-21,18
1400159,Bonfim,RR,NORTE,mai.-21,1
1400308,Mucajaí,RR,NORTE,mai.-21,2
1400456,Pacaraima,RR,NORTE,mai.-21,1
1400472,Rorainópolis,RR,NORTE,mai.-21,1
1400704,Uiramutã,RR,NORTE,mai.-21,1
1400050,Alto Alegre,RR,NORTE,jun.-21,1
1400100,Boa Vista,RR,NORTE,jun.-21,7
1400175,Cantá,RR,NORTE,jun.-21,3
1400506,São João Da Baliza,RR,NORTE,jun.-21,1
1400050,Alto Alegre,RR,NORTE,jul.-21,2
1400100,Boa Vista,RR,NORTE,jul.-21,12
1400308,Mucajaí,RR,NORTE,jul.-21,3
1400472,Rorainópolis,RR,NORTE,jul.-21,1
1400100,Boa Vista,RR,NORTE,ago.-21,6
1400159,Bonfim,RR,NORTE,ago.-21,1
1400456,Pacaraima,RR,NORTE,ago.-21,1
1400506,São João Da Baliza,RR,NORTE,ago.-21,1
1400050,Alto Alegre,RR,NORTE,set.-21,1
1400100,Boa Vista,RR,NORTE,set.-21,6
1400175,Cantá,RR,NORTE,set.-21,1
1400209,Caracaraí,RR,NORTE,set.-21,1
1400472,Rorainópolis,RR,NORTE,set.-21,1
1400100,Boa Vista,RR,NORTE,out.-21,6
1400159,Bonfim,RR,NORTE,out.-21,1
1400175,Cantá,RR,NORTE,out.-21,1
1400209,Caracaraí,RR,NORTE,out.-21,1
1400282,Iracema,RR,NORTE,out.-21,1
1400050,Alto Alegre,RR,NORTE,nov.-21,1
1400027,Amajari,RR,NORTE,nov.-21,0
1400100,Boa Vista,RR,NORTE,nov.-21,12
1400159,Bonfim,RR,NORTE,nov.-21,0
1400175,Cantá,RR,NORTE,nov.-21,0
1400209,Caracaraí,RR,NORTE,nov.-21,0
1400233,Caroebe,RR,NORTE,nov.-21,0
1400282,Iracema,RR,NORTE,nov.-21,0
1400308,Mucajaí,RR,NORTE,nov.-21,0
1400407,Normandia,RR,NORTE,nov.-21,0
1400456,Pacaraima,RR,NORTE,nov.-21,1
1400472,Rorainópolis,RR,NORTE,nov.-21,2
1400506,São João Da Baliza,RR,NORTE,nov.-21,0
1400605,São Luiz,RR,NORTE,nov.-21,1
1400704,Uiramutã,RR,NORTE,nov.-21,0
1400050,Alto Alegre,RR,NORTE,dez.-21,0
1400027,Amajari,RR,NORTE,dez.-21,0
1400100,Boa Vista,RR,NORTE,dez.-21,13
1400159,Bonfim,RR,NORTE,dez.-21,1
1400175,Cantá,RR,NORTE,dez.-21,0
1400209,Caracaraí,RR,NORTE,dez.-21,0
1400233,Caroebe,RR,NORTE,dez.-21,1
1400282,Iracema,RR,NORTE,dez.-21,1
1400308,Mucajaí,RR,NORTE,dez.-21,1
1400407,Normandia,RR,NORTE,dez.-21,0
1400456,Pacaraima,RR,NORTE,dez.-21,0
1400472,Rorainópolis,RR,NORTE,dez.-21,2
1400506,São João Da Baliza,RR,NORTE,dez.-21,0
1400605,São Luiz,RR,NORTE,dez.-21,0
1400704,Uiramutã,RR,NORTE,dez.-21,0
1400050,Alto Alegre,RR,NORTE,jan.-22,2
1400100,Boa Vista,RR,NORTE,jan.-22,13
1400209,Caracaraí,RR,NORTE,jan.-22,2
1400233,Caroebe,RR,NORTE,jan.-22,1
1400308,Mucajaí,RR,NORTE,jan.-22,2
1400050,Alto Alegre,RR,NORTE,fev.-22,0
1400027,Amajari,RR,NORTE,fev.-22,0
1400100,Boa Vista,RR,NORTE,fev.-22,4
1400159,Bonfim,RR,NORTE,fev.-22,1
1400175,Cantá,RR,NORTE,fev.-22,0
1400209,Caracaraí,RR,NORTE,fev.-22,0
1400233,Caroebe,RR,NORTE,fev.-22,1
1400282,Iracema,RR,NORTE,fev.-22,0
1400308,Mucajaí,RR,NORTE,fev.-22,1
1400407,Normandia,RR,NORTE,fev.-22,0
1400456,Pacaraima,RR,NORTE,fev.-22,0
1400472,Rorainópolis,RR,NORTE,fev.-22,0
1400506,São João Da Baliza,RR,NORTE,fev.-22,0
1400605,São Luiz,RR,NORTE,fev.-22,0
1400704,Uiramutã,RR,NORTE,fev.-22,0
1400050,Alto Alegre,RR,NORTE,mar.-22,0
1400027,Amajari,RR,NORTE,mar.-22,0
1400100,Boa Vista,RR,NORTE,mar.-22,3
1400159,Bonfim,RR,NORTE,mar.-22,1
1400175,Cantá,RR,NORTE,mar.-22,1
1400209,Caracaraí,RR,NORTE,mar.-22,1
1400233,Caroebe,RR,NORTE,mar.-22,1
1400282,Iracema,RR,NORTE,mar.-22,0
1400308,Mucajaí,RR,NORTE,mar.-22,0
1400407,Normandia,RR,NORTE,mar.-22,0
1400456,Pacaraima,RR,NORTE,mar.-22,2
1400472,Rorainópolis,RR,NORTE,mar.-22,1
1400506,São João Da Baliza,RR,NORTE,mar.-22,0
1400605,São Luiz,RR,NORTE,mar.-22,0
1400704,Uiramutã,RR,NORTE,mar.-22,0
1400050,Alto Alegre,RR,NORTE,abr.-22,0
1400027,Amajari,RR,NORTE,abr.-22,0
1400100,Boa Vista,RR,NORTE,abr.-22,3
1400159,Bonfim,RR,NORTE,abr.-22,0
1400175,Cantá,RR,NORTE,abr.-22,1
1400209,Caracaraí,RR,NORTE,abr.-22,1
1400233,Caroebe,RR,NORTE,abr.-22,1
1400282,Iracema,RR,NORTE,abr.-22,0
1400308,Mucajaí,RR,NORTE,abr.-22,1
1400407,Normandia,RR,NORTE,abr.-22,3
1400456,Pacaraima,RR,NORTE,abr.-22,0
1400472,Rorainópolis,RR,NORTE,abr.-22,2
1400506,São João Da Baliza,RR,NORTE,abr.-22,0
1400605,São Luiz,RR,NORTE,abr.-22,0
1400704,Uiramutã,RR,NORTE,abr.-22,1
1400100,Boa Vista,RR,NORTE,mai.-22,9
1400159,Bonfim,RR,NORTE,mai.-22,1
1400175,Cantá,RR,NORTE,mai.-22,1
1400233,Caroebe,RR,NORTE,mai.-22,1
1400282,Iracema,RR,NORTE,mai.-22,2
1400308,Mucajaí,RR,NORTE,mai.-22,1
1400456,Pacaraima,RR,NORTE,mai.-22,1
1400472,Rorainópolis,RR,NORTE,mai.-22,2
1400050,Alto Alegre,RR,NORTE,jun.-22,1
1400100,Boa Vista,RR,NORTE,jun.-22,6
1400209,Caracaraí,RR,NORTE,jun.-22,1
1400175,Cantá,RR,NORTE,jun.-22,1
1400282,Iracema,RR,NORTE,jun.-22,1
1400308,Mucajaí,RR,NORTE,jun.-22,1
1400407,Normandia,RR,NORTE,jun.-22,1
1400050,Alto Alegre,RR,NORTE,jul.-22,1
1400027,Amajari,RR,NORTE,jul.-22,0
1400100,Boa Vista,RR,NORTE,jul.-22,11
1400159,Bonfim,RR,NORTE,jul.-22,0
1400175,Cantá,RR,NORTE,jul.-22,2
1400209,Caracaraí,RR,NORTE,jul.-22,1
1400233,Caroebe,RR,NORTE,jul.-22,0
1400282,Iracema,RR,NORTE,jul.-22,0
1400308,Mucajaí,RR,NORTE,jul.-22,2
1400407,Normandia,RR,NORTE,jul.-22,0
1400456,Pacaraima,RR,NORTE,jul.-22,0
1400472,Rorainópolis,RR,NORTE,jul.-22,1
