Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
4300034,Aceguá,RS,SUL,jan.-18,0
4300059,Água Santa,RS,SUL,jan.-18,0
4300109,Agudo,RS,SUL,jan.-18,0
4300208,Ajuricaba,RS,SUL,jan.-18,0
4300307,Alecrim,RS,SUL,jan.-18,0
4300406,Alegrete,RS,SUL,jan.-18,1
4300455,Alegria,RS,SUL,jan.-18,0
4300471,Almirante Tamandaré Do Sul,RS,SUL,jan.-18,0
4300505,Alpestre,RS,SUL,jan.-18,0
4300554,Alto Alegre,RS,SUL,jan.-18,0
4300570,Alto Feliz,RS,SUL,jan.-18,0
4300604,Alvorada,RS,SUL,jan.-18,17
4300638,Amaral Ferrador,RS,SUL,jan.-18,0
4300646,Ametista Do Sul,RS,SUL,jan.-18,0
4300661,André Da Rocha,RS,SUL,jan.-18,0
4300703,Anta Gorda,RS,SUL,jan.-18,0
4300802,Antônio Prado,RS,SUL,jan.-18,0
4300851,Arambaré,RS,SUL,jan.-18,0
4300877,Araricá,RS,SUL,jan.-18,0
4300901,Aratiba,RS,SUL,jan.-18,0
4301008,Arroio Do Meio,RS,SUL,jan.-18,1
4301073,Arroio Do Padre,RS,SUL,jan.-18,0
4301057,Arroio Do Sal,RS,SUL,jan.-18,1
4301206,Arroio Do Tigre,RS,SUL,jan.-18,0
4301107,Arroio Dos Ratos,RS,SUL,jan.-18,0
4301305,Arroio Grande,RS,SUL,jan.-18,0
4301404,Arvorezinha,RS,SUL,jan.-18,0
4301503,Augusto Pestana,RS,SUL,jan.-18,0
4301552,Áurea,RS,SUL,jan.-18,0
4301602,Bagé,RS,SUL,jan.-18,1
4301636,Balneário Pinhal,RS,SUL,jan.-18,0
4301651,Barão,RS,SUL,jan.-18,0
4301701,Barão De Cotegipe,RS,SUL,jan.-18,0
4301750,Barão Do Triunfo,RS,SUL,jan.-18,0
4301859,Barra Do Guarita,RS,SUL,jan.-18,0
4301875,Barra Do Quaraí,RS,SUL,jan.-18,0
4301909,Barra Do Ribeiro,RS,SUL,jan.-18,0
4301925,Barra Do Rio Azul,RS,SUL,jan.-18,0
4301958,Barra Funda,RS,SUL,jan.-18,0
4301800,Barracão,RS,SUL,jan.-18,0
4302006,Barros Cassal,RS,SUL,jan.-18,0
4302055,Benjamin Constant Do Sul,RS,SUL,jan.-18,0
4302105,Bento Gonçalves,RS,SUL,jan.-18,5
4302154,Boa Vista Das Missões,RS,SUL,jan.-18,0
4302204,Boa Vista Do Buricá,RS,SUL,jan.-18,0
4302220,Boa Vista Do Cadeado,RS,SUL,jan.-18,0
4302238,Boa Vista Do Incra,RS,SUL,jan.-18,0
4302253,Boa Vista Do Sul,RS,SUL,jan.-18,0
4302303,Bom Jesus,RS,SUL,jan.-18,0
4302352,Bom Princípio,RS,SUL,jan.-18,0
4302378,Bom Progresso,RS,SUL,jan.-18,0
4302402,Bom Retiro Do Sul,RS,SUL,jan.-18,0
4302451,Boqueirão Do Leão,RS,SUL,jan.-18,0
4302501,Bossoroca,RS,SUL,jan.-18,0
4302584,Bozano,RS,SUL,jan.-18,0
4302600,Braga,RS,SUL,jan.-18,0
4302659,Brochier,RS,SUL,jan.-18,0
4302709,Butiá,RS,SUL,jan.-18,3
4302808,Caçapava Do Sul,RS,SUL,jan.-18,1
4302907,Cacequi,RS,SUL,jan.-18,0
