Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
4200051,Abdon Batista,SC,SUL,jan.-18,0
4200101,Abelardo Luz,SC,SUL,jan.-18,0
4200200,Agrolândia,SC,SUL,jan.-18,0
4200309,Agronômica,SC,SUL,jan.-18,0
4200408,Água Doce,SC,SUL,jan.-18,0
4200507,Águas De Chapecó,SC,SUL,jan.-18,0
4200556,Águas Frias,SC,SUL,jan.-18,0
4200606,Águas Mornas,SC,SUL,jan.-18,0
4200705,Alfredo Wagner,SC,SUL,jan.-18,0
4200754,Alto Bela Vista,SC,SUL,jan.-18,0
4200804,Anchieta,SC,SUL,jan.-18,0
4200903,Angelina,SC,SUL,jan.-18,0
4201000,Anita Garibaldi,SC,SUL,jan.-18,0
4201109,Anitápolis,SC,SUL,jan.-18,0
4201208,Antônio Carlos,SC,SUL,jan.-18,0
4201257,Apiúna,SC,SUL,jan.-18,0
4201273,Arabutã,SC,SUL,jan.-18,0
4201307,Araquari,SC,SUL,jan.-18,1
4201406,Araranguá,SC,SUL,jan.-18,1
4201505,Armazém,SC,SUL,jan.-18,0
4201604,Arroio Trinta,SC,SUL,jan.-18,0
4201653,Arvoredo,SC,SUL,jan.-18,0
4201703,Ascurra,SC,SUL,jan.-18,0
4201802,Atalanta,SC,SUL,jan.-18,0
4201901,Aurora,SC,SUL,jan.-18,0
4201950,Balneário Arroio Do Silva,SC,SUL,jan.-18,0
4202057,Balneário Barra Do Sul,SC,SUL,jan.-18,0
4202008,Balneário Camboriú,SC,SUL,jan.-18,0
4202073,Balneário Gaivota,SC,SUL,jan.-18,1
4212809,Balneário Piçarras,SC,SUL,jan.-18,1
4220000,Balneário Rincão,SC,SUL,jan.-18,0
4202081,Bandeirante,SC,SUL,jan.-18,0
4202099,Barra Bonita,SC,SUL,jan.-18,0
4202107,Barra Velha,SC,SUL,jan.-18,2
4202131,Bela Vista Do Toldo,SC,SUL,jan.-18,0
4202156,Belmonte,SC,SUL,jan.-18,0
4202206,Benedito Novo,SC,SUL,jan.-18,0
4202305,Biguaçu,SC,SUL,jan.-18,0
4202404,Blumenau,SC,SUL,jan.-18,5
4202438,Bocaina Do Sul,SC,SUL,jan.-18,0
4202503,Bom Jardim Da Serra,SC,SUL,jan.-18,0
4202537,Bom Jesus,SC,SUL,jan.-18,0
4202578,Bom Jesus Do Oeste,SC,SUL,jan.-18,0
4202602,Bom Retiro,SC,SUL,jan.-18,0
4202453,Bombinhas,SC,SUL,jan.-18,0
4202701,Botuverá,SC,SUL,jan.-18,0
4202800,Braço Do Norte,SC,SUL,jan.-18,0
4202859,Braço Do Trombudo,SC,SUL,jan.-18,0
4202875,Brunópolis,SC,SUL,jan.-18,0
4202909,Brusque,SC,SUL,jan.-18,0
4203006,Caçador,SC,SUL,jan.-18,1
4203105,Caibi,SC,SUL,jan.-18,0
4203154,Calmon,SC,SUL,jan.-18,0
4203204,Camboriú,SC,SUL,jan.-18,2
4203303,Campo Alegre,SC,SUL,jan.-18,0
4203402,Campo Belo Do Sul,SC,SUL,jan.-18,0
4203501,Campo Erê,SC,SUL,jan.-18,0
4203600,Campos Novos,SC,SUL,jan.-18,0
4203709,Canelinha,SC,SUL,jan.-18,0
4203808,Canoinhas,SC,SUL,jan.-18,0
4203253,Capão Alto,SC,SUL,jan.-18,0
4203907,Capinzal,SC,SUL,jan.-18,0
4203956,Capivari De Baixo,SC,SUL,jan.-18,1
4204004,Catanduvas,SC,SUL,jan.-18,0
4204103,Caxambu Do Sul,SC,SUL,jan.-18,0
4204152,Celso Ramos,SC,SUL,jan.-18,0
4204178,Cerro Negro,SC,SUL,jan.-18,0
4204194,Chapadão Do Lageado,SC,SUL,jan.-18,0
4204202,Chapecó,SC,SUL,jan.-18,6
4204251,Cocal Do Sul,SC,SUL,jan.-18,0
4204301,Concórdia,SC,SUL,jan.-18,2
4204350,Cordilheira Alta,SC,SUL,jan.-18,0
4204400,Coronel Freitas,SC,SUL,jan.-18,0
4204459,Coronel Martins,SC,SUL,jan.-18,0
4204558,Correia Pinto,SC,SUL,jan.-18,1
4204509,Corupá,SC,SUL,jan.-18,0
4204608,Criciúma,SC,SUL,jan.-18,1
4204707,Cunha Porã,SC,SUL,jan.-18,0
4204756,Cunhataí,SC,SUL,jan.-18,0
4204806,Curitibanos,SC,SUL,jan.-18,0
4204905,Descanso,SC,SUL,jan.-18,0
4205001,Dionísio Cerqueira,SC,SUL,jan.-18,0
4205100,Dona Emma,SC,SUL,jan.-18,0
4205159,Doutor Pedrinho,SC,SUL,jan.-18,0
4205175,Entre Rios,SC,SUL,jan.-18,0
4205191,Ermo,SC,SUL,jan.-18,0
4205209,Erval Velho,SC,SUL,jan.-18,0
4205308,Faxinal Dos Guedes,SC,SUL,jan.-18,0
4205357,Flor Do Sertão,SC,SUL,jan.-18,0
4205407,Florianópolis,SC,SUL,jan.-18,14
4205431,Formosa Do Sul,SC,SUL,jan.-18,0
4205456,Forquilhinha,SC,SUL,jan.-18,0
4205506,Fraiburgo,SC,SUL,jan.-18,0
4205555,Frei Rogério,SC,SUL,jan.-18,0
4205605,Galvão,SC,SUL,jan.-18,0
4205704,Garopaba,SC,SUL,jan.-18,0
4205803,Garuva,SC,SUL,jan.-18,0
4205902,Gaspar,SC,SUL,jan.-18,1
4206009,Governador Celso Ramos,SC,SUL,jan.-18,2
4206108,Grão Pará,SC,SUL,jan.-18,0
4206207,Gravatal,SC,SUL,jan.-18,0
4206306,Guabiruba,SC,SUL,jan.-18,0
4206405,Guaraciaba,SC,SUL,jan.-18,0
4206504,Guaramirim,SC,SUL,jan.-18,0
4206603,Guarujá Do Sul,SC,SUL,jan.-18,1
4206652,Guatambú,SC,SUL,jan.-18,0
4206702,Herval D'Oeste,SC,SUL,jan.-18,0
4206751,Ibiam,SC,SUL,jan.-18,0
4206801,Ibicaré,SC,SUL,jan.-18,0
4206900,Ibirama,SC,SUL,jan.-18,0
4207007,Içara,SC,SUL,jan.-18,0
4207106,Ilhota,SC,SUL,jan.-18,0
4207205,Imaruí,SC,SUL,jan.-18,0
4207304,Imbituba,SC,SUL,jan.-18,0
4207403,Imbuia,SC,SUL,jan.-18,0
4207502,Indaial,SC,SUL,jan.-18,0
4207577,Iomerê,SC,SUL,jan.-18,0
4207601,Ipira,SC,SUL,jan.-18,0
4207650,Iporã Do Oeste,SC,SUL,jan.-18,0
4207684,Ipuaçu,SC,SUL,jan.-18,0
4207700,Ipumirim,SC,SUL,jan.-18,0
4207759,Iraceminha,SC,SUL,jan.-18,0
4207809,Irani,SC,SUL,jan.-18,0
4207858,Irati,SC,SUL,jan.-18,0
4207908,Irineópolis,SC,SUL,jan.-18,0
4208005,Itá,SC,SUL,jan.-18,0
