Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
2800100,Amparo do São Francisco,SE,NORDESTE,jan.-18,0
2800209,Aquidabã,SE,NORDESTE,jan.-18,2
2800308,Aracaju,SE,NORDESTE,jan.-18,31
2800407,Arauá,SE,NORDESTE,jan.-18,0
2800506,Areia Branca,SE,NORDESTE,jan.-18,0
2800605,Barra Dos Coqueiros,SE,NORDESTE,jan.-18,3
2800670,Boquim,SE,NORDESTE,jan.-18,0
2800704,Brejo Grande,SE,NORDESTE,jan.-18,0
2801009,Campo Do Brito,SE,NORDESTE,jan.-18,1
2801108,Canhoba,SE,NORDESTE,jan.-18,0
2801207,Canindé De São Francisco,SE,NORDESTE,jan.-18,2
2801306,Capela,SE,NORDESTE,jan.-18,1
2801405,Carira,SE,NORDESTE,jan.-18,1
2801504,Carmópolis,SE,NORDESTE,jan.-18,1
2801603,Cedro De São João,SE,NORDESTE,jan.-18,0
2801702,Cristinápolis,SE,NORDESTE,jan.-18,0
2801900,Cumbe,SE,NORDESTE,jan.-18,0
2802007,Divina Pastora,SE,NORDESTE,jan.-18,0
2802106,Estância,SE,NORDESTE,jan.-18,1
2802205,Feira Nova,SE,NORDESTE,jan.-18,0
2802304,Frei Paulo,SE,NORDESTE,jan.-18,0
2802403,Gararu,SE,NORDESTE,jan.-18,0
2802502,General Maynard,SE,NORDESTE,jan.-18,0
2802601,Gracho Cardoso,SE,NORDESTE,jan.-18,2
2802700,Ilha Das Flores,SE,NORDESTE,jan.-18,0
2802809,Indiaroba,SE,NORDESTE,jan.-18,0
2802908,Itabaiana,SE,NORDESTE,jan.-18,14
2803005,Itabaianinha,SE,NORDESTE,jan.-18,0
2803104,Itabi,SE,NORDESTE,jan.-18,0
2803203,Itaporanga d'Ajuda,SE,NORDESTE,jan.-18,3
2803302,Japaratuba,SE,NORDESTE,jan.-18,1
2803401,Japoatã,SE,NORDESTE,jan.-18,1
2803500,Lagarto,SE,NORDESTE,jan.-18,5
2803609,Laranjeiras,SE,NORDESTE,jan.-18,1
2803708,Macambira,SE,NORDESTE,jan.-18,0
2803807,Malhada Dos Bois,SE,NORDESTE,jan.-18,0
2803906,Malhador,SE,NORDESTE,jan.-18,0
2804003,Maruim,SE,NORDESTE,jan.-18,0
2804102,Moita Bonita,SE,NORDESTE,jan.-18,1
2804201,Monte Alegre De Sergipe,SE,NORDESTE,jan.-18,0
2804300,Muribeca,SE,NORDESTE,jan.-18,0
2804409,Neópolis,SE,NORDESTE,jan.-18,0
2804458,Nossa Senhora Aparecida,SE,NORDESTE,jan.-18,0
2804508,Nossa Senhora Da Glória,SE,NORDESTE,jan.-18,0
2804607,Nossa Senhora Das Dores,SE,NORDESTE,jan.-18,0
2804706,Nossa Senhora De Lourdes,SE,NORDESTE,jan.-18,0
2804805,Nossa Senhora Do Socorro,SE,NORDESTE,jan.-18,11
2804904,Pacatuba,SE,NORDESTE,jan.-18,0
2805000,Pedra Mole,SE,NORDESTE,jan.-18,0
2805109,Pedrinhas,SE,NORDESTE,jan.-18,0
2805208,Pinhão,SE,NORDESTE,jan.-18,0
2805307,Pirambu,SE,NORDESTE,jan.-18,0
2805406,Poço Redondo,SE,NORDESTE,jan.-18,0
2805505,Poço Verde,SE,NORDESTE,jan.-18,0
2805604,Porto Da Folha,SE,NORDESTE,jan.-18,0
2805703,Propriá,SE,NORDESTE,jan.-18,2
2805802,Riachão Do Dantas,SE,NORDESTE,jan.-18,0
2805901,Riachuelo,SE,NORDESTE,jan.-18,0
2806008,Ribeirópolis,SE,NORDESTE,jan.-18,1
2806107,Rosário Do Catete,SE,NORDESTE,jan.-18,0
2806206,Salgado,SE,NORDESTE,jan.-18,1
2806305,Santa Luzia Do Itanhy,SE,NORDESTE,jan.-18,1
2806503,Santa Rosa De Lima,SE,NORDESTE,jan.-18,0
2806404,Santana Do São Francisco,SE,NORDESTE,jan.-18,0
2806602,Santo Amaro Das Brotas,SE,NORDESTE,jan.-18,3
2806701,São Cristóvão,SE,NORDESTE,jan.-18,9
2806800,São Domingos,SE,NORDESTE,jan.-18,0
2806909,São Francisco,SE,NORDESTE,jan.-18,1
2807006,São Miguel do Aleixo,SE,NORDESTE,jan.-18,0
2807105,Simão Dias,SE,NORDESTE,jan.-18,0
2807204,Siriri,SE,NORDESTE,jan.-18,0
2807303,Telha,SE,NORDESTE,jan.-18,1
2807402,Tobias Barreto,SE,NORDESTE,jan.-18,1
2807501,Tomar Do Geru,SE,NORDESTE,jan.-18,0
2807600,Umbaúba,SE,NORDESTE,jan.-18,0
2800100,Amparo do São Francisco,SE,NORDESTE,fev.-18,1
2800209,Aquidabã,SE,NORDESTE,fev.-18,0
2800308,Aracaju,SE,NORDESTE,fev.-18,27
2800407,Arauá,SE,NORDESTE,fev.-18,1
2800506,Areia Branca,SE,NORDESTE,fev.-18,1
2800605,Barra Dos Coqueiros,SE,NORDESTE,fev.-18,1
2800670,Boquim,SE,NORDESTE,fev.-18,1
2800704,Brejo Grande,SE,NORDESTE,fev.-18,0
2801009,Campo Do Brito,SE,NORDESTE,fev.-18,0
2801108,Canhoba,SE,NORDESTE,fev.-18,0
2801207,Canindé De São Francisco,SE,NORDESTE,fev.-18,1
2801306,Capela,SE,NORDESTE,fev.-18,1
2801405,Carira,SE,NORDESTE,fev.-18,0
2801504,Carmópolis,SE,NORDESTE,fev.-18,0
2801603,Cedro De São João,SE,NORDESTE,fev.-18,0
2801702,Cristinápolis,SE,NORDESTE,fev.-18,3
2801900,Cumbe,SE,NORDESTE,fev.-18,0
2802007,Divina Pastora,SE,NORDESTE,fev.-18,1
2802106,Estância,SE,NORDESTE,fev.-18,0
2802205,Feira Nova,SE,NORDESTE,fev.-18,0
2802304,Frei Paulo,SE,NORDESTE,fev.-18,0
2802403,Gararu,SE,NORDESTE,fev.-18,0
2802502,General Maynard,SE,NORDESTE,fev.-18,0
2802601,Gracho Cardoso,SE,NORDESTE,fev.-18,0
2802700,Ilha Das Flores,SE,NORDESTE,fev.-18,0
2802809,Indiaroba,SE,NORDESTE,fev.-18,2
2802908,Itabaiana,SE,NORDESTE,fev.-18,7
2803005,Itabaianinha,SE,NORDESTE,fev.-18,1
2803104,Itabi,SE,NORDESTE,fev.-18,0
2803203,Itaporanga d'Ajuda,SE,NORDESTE,fev.-18,0
2803302,Japaratuba,SE,NORDESTE,fev.-18,0
2803401,Japoatã,SE,NORDESTE,fev.-18,0
2803500,Lagarto,SE,NORDESTE,fev.-18,3
2803609,Laranjeiras,SE,NORDESTE,fev.-18,3
2803708,Macambira,SE,NORDESTE,fev.-18,0
2803807,Malhada Dos Bois,SE,NORDESTE,fev.-18,0
2803906,Malhador,SE,NORDESTE,fev.-18,1
2804003,Maruim,SE,NORDESTE,fev.-18,2
2804102,Moita Bonita,SE,NORDESTE,fev.-18,0
2804201,Monte Alegre De Sergipe,SE,NORDESTE,fev.-18,0
2804300,Muribeca,SE,NORDESTE,fev.-18,1
2804409,Neópolis,SE,NORDESTE,fev.-18,2
2804458,Nossa Senhora Aparecida,SE,NORDESTE,fev.-18,0
2804508,Nossa Senhora Da Glória,SE,NORDESTE,fev.-18,0
2804607,Nossa Senhora Das Dores,SE,NORDESTE,fev.-18,2
2804706,Nossa Senhora De Lourdes,SE,NORDESTE,fev.-18,0
2804805,Nossa Senhora Do Socorro,SE,NORDESTE,fev.-18,10
2804904,Pacatuba,SE,NORDESTE,fev.-18,0
2805000,Pedra Mole,SE,NORDESTE,fev.-18,0
2805109,Pedrinhas,SE,NORDESTE,fev.-18,0
2805208,Pinhão,SE,NORDESTE,fev.-18,0
2805307,Pirambu,SE,NORDESTE,fev.-18,0
2805406,Poço Redondo,SE,NORDESTE,fev.-18,1
2805505,Poço Verde,SE,NORDESTE,fev.-18,1
2805604,Porto Da Folha,SE,NORDESTE,fev.-18,0
2805703,Propriá,SE,NORDESTE,fev.-18,2
2805802,Riachão Do Dantas,SE,NORDESTE,fev.-18,0
2805901,Riachuelo,SE,NORDESTE,fev.-18,0
2806008,Ribeirópolis,SE,NORDESTE,fev.-18,1
2806107,Rosário Do Catete,SE,NORDESTE,fev.-18,2
2806206,Salgado,SE,NORDESTE,fev.-18,0
2806305,Santa Luzia Do Itanhy,SE,NORDESTE,fev.-18,0
2806503,Santa Rosa De Lima,SE,NORDESTE,fev.-18,1
2806404,Santana Do São Francisco,SE,NORDESTE,fev.-18,0
2806602,Santo Amaro Das Brotas,SE,NORDESTE,fev.-18,0
2806701,São Cristóvão,SE,NORDESTE,fev.-18,5
2806800,São Domingos,SE,NORDESTE,fev.-18,1
2806909,São Francisco,SE,NORDESTE,fev.-18,0
2807006,São Miguel do Aleixo,SE,NORDESTE,fev.-18,0
2807105,Simão Dias,SE,NORDESTE,fev.-18,0
2807204,Siriri,SE,NORDESTE,fev.-18,0
2807303,Telha,SE,NORDESTE,fev.-18,0
2807402,Tobias Barreto,SE,NORDESTE,fev.-18,1
2807501,Tomar Do Geru,SE,NORDESTE,fev.-18,1
2807600,Umbaúba,SE,NORDESTE,fev.-18,2
2800100,Amparo do São Francisco,SE,NORDESTE,mar.-18,1
2800209,Aquidabã,SE,NORDESTE,mar.-18,1
2800308,Aracaju,SE,NORDESTE,mar.-18,35
2800407,Arauá,SE,NORDESTE,mar.-18,0
2800506,Areia Branca,SE,NORDESTE,mar.-18,0
2800605,Barra Dos Coqueiros,SE,NORDESTE,mar.-18,3
2800670,Boquim,SE,NORDESTE,mar.-18,1
2800704,Brejo Grande,SE,NORDESTE,mar.-18,0
2801009,Campo Do Brito,SE,NORDESTE,mar.-18,0
2801108,Canhoba,SE,NORDESTE,mar.-18,1
2801207,Canindé De São Francisco,SE,NORDESTE,mar.-18,0
2801306,Capela,SE,NORDESTE,mar.-18,2
2801405,Carira,SE,NORDESTE,mar.-18,0
2801504,Carmópolis,SE,NORDESTE,mar.-18,0
2801603,Cedro De São João,SE,NORDESTE,mar.-18,1
2801702,Cristinápolis,SE,NORDESTE,mar.-18,0
2801900,Cumbe,SE,NORDESTE,mar.-18,0
2802007,Divina Pastora,SE,NORDESTE,mar.-18,0
2802106,Estância,SE,NORDESTE,mar.-18,2
2802205,Feira Nova,SE,NORDESTE,mar.-18,1
2802304,Frei Paulo,SE,NORDESTE,mar.-18,0
2802403,Gararu,SE,NORDESTE,mar.-18,0
2802502,General Maynard,SE,NORDESTE,mar.-18,0
2802601,Gracho Cardoso,SE,NORDESTE,mar.-18,0
2802700,Ilha Das Flores,SE,NORDESTE,mar.-18,1
2802809,Indiaroba,SE,NORDESTE,mar.-18,0
2802908,Itabaiana,SE,NORDESTE,mar.-18,7
2803005,Itabaianinha,SE,NORDESTE,mar.-18,0
2803104,Itabi,SE,NORDESTE,mar.-18,0
2803203,Itaporanga d'Ajuda,SE,NORDESTE,mar.-18,0
2803302,Japaratuba,SE,NORDESTE,mar.-18,1
2803401,Japoatã,SE,NORDESTE,mar.-18,2
2803500,Lagarto,SE,NORDESTE,mar.-18,3
2803609,Laranjeiras,SE,NORDESTE,mar.-18,8
2803708,Macambira,SE,NORDESTE,mar.-18,0
2803807,Malhada Dos Bois,SE,NORDESTE,mar.-18,0
2803906,Malhador,SE,NORDESTE,mar.-18,1
2804003,Maruim,SE,NORDESTE,mar.-18,1
2804102,Moita Bonita,SE,NORDESTE,mar.-18,0
2804201,Monte Alegre De Sergipe,SE,NORDESTE,mar.-18,1
2804300,Muribeca,SE,NORDESTE,mar.-18,1
2804409,Neópolis,SE,NORDESTE,mar.-18,0
2804458,Nossa Senhora Aparecida,SE,NORDESTE,mar.-18,0
2804508,Nossa Senhora Da Glória,SE,NORDESTE,mar.-18,1
2804607,Nossa Senhora Das Dores,SE,NORDESTE,mar.-18,2
2804706,Nossa Senhora De Lourdes,SE,NORDESTE,mar.-18,0
2804805,Nossa Senhora Do Socorro,SE,NORDESTE,mar.-18,14
2804904,Pacatuba,SE,NORDESTE,mar.-18,0
2805000,Pedra Mole,SE,NORDESTE,mar.-18,0
2805109,Pedrinhas,SE,NORDESTE,mar.-18,2
2805208,Pinhão,SE,NORDESTE,mar.-18,0
2805307,Pirambu,SE,NORDESTE,mar.-18,0
2805406,Poço Redondo,SE,NORDESTE,mar.-18,0
2805505,Poço Verde,SE,NORDESTE,mar.-18,2
2805604,Porto Da Folha,SE,NORDESTE,mar.-18,0
2805703,Propriá,SE,NORDESTE,mar.-18,3
2805802,Riachão Do Dantas,SE,NORDESTE,mar.-18,0
2805901,Riachuelo,SE,NORDESTE,mar.-18,0
2806008,Ribeirópolis,SE,NORDESTE,mar.-18,0
2806107,Rosário Do Catete,SE,NORDESTE,mar.-18,0
2806206,Salgado,SE,NORDESTE,mar.-18,0
2806305,Santa Luzia Do Itanhy,SE,NORDESTE,mar.-18,1
2806503,Santa Rosa De Lima,SE,NORDESTE,mar.-18,0
2806404,Santana Do São Francisco,SE,NORDESTE,mar.-18,0
2806602,Santo Amaro Das Brotas,SE,NORDESTE,mar.-18,0
2806701,São Cristóvão,SE,NORDESTE,mar.-18,10
2806800,São Domingos,SE,NORDESTE,mar.-18,1
2806909,São Francisco,SE,NORDESTE,mar.-18,0
2807006,São Miguel do Aleixo,SE,NORDESTE,mar.-18,1
2807105,Simão Dias,SE,NORDESTE,mar.-18,0
2807204,Siriri,SE,NORDESTE,mar.-18,0
2807303,Telha,SE,NORDESTE,mar.-18,0
2807402,Tobias Barreto,SE,NORDESTE,mar.-18,0
2807501,Tomar Do Geru,SE,NORDESTE,mar.-18,0
2807600,Umbaúba,SE,NORDESTE,mar.-18,0
2800100,Amparo do São Francisco,SE,NORDESTE,abr.-18,0
2800209,Aquidabã,SE,NORDESTE,abr.-18,0
2800308,Aracaju,SE,NORDESTE,abr.-18,28
2800407,Arauá,SE,NORDESTE,abr.-18,0
2800506,Areia Branca,SE,NORDESTE,abr.-18,1
2800605,Barra Dos Coqueiros,SE,NORDESTE,abr.-18,2
2800670,Boquim,SE,NORDESTE,abr.-18,0
2800704,Brejo Grande,SE,NORDESTE,abr.-18,1
2801009,Campo Do Brito,SE,NORDESTE,abr.-18,0
2801108,Canhoba,SE,NORDESTE,abr.-18,0
2801207,Canindé De São Francisco,SE,NORDESTE,abr.-18,4
2801306,Capela,SE,NORDESTE,abr.-18,1
2801405,Carira,SE,NORDESTE,abr.-18,1
2801504,Carmópolis,SE,NORDESTE,abr.-18,0
2801603,Cedro De São João,SE,NORDESTE,abr.-18,0
2801702,Cristinápolis,SE,NORDESTE,abr.-18,2
2801900,Cumbe,SE,NORDESTE,abr.-18,0
2802007,Divina Pastora,SE,NORDESTE,abr.-18,1
2802106,Estância,SE,NORDESTE,abr.-18,2
2802205,Feira Nova,SE,NORDESTE,abr.-18,0
2802304,Frei Paulo,SE,NORDESTE,abr.-18,0
2802403,Gararu,SE,NORDESTE,abr.-18,0
2802502,General Maynard,SE,NORDESTE,abr.-18,0
2802601,Gracho Cardoso,SE,NORDESTE,abr.-18,0
2802700,Ilha Das Flores,SE,NORDESTE,abr.-18,0
2802809,Indiaroba,SE,NORDESTE,abr.-18,1
