Cód_IBGE,Município,Sigla UF,Região,Mês/Ano,Vítimas
1700301,Aguiarnópolis,TO,NORTE,jan.-18,1
1701002,Ananás,TO,NORTE,jan.-18,2
1702109,Araguaína,TO,NORTE,jan.-18,6
1703701,Brejinho De Nazaré,TO,NORTE,jan.-18,1
1703800,Buriti Do Tocantins,TO,NORTE,jan.-18,1
1708205,Formoso Do Araguaia,TO,NORTE,jan.-18,1
1709302,Guaraí,TO,NORTE,jan.-18,1
1709500,Gurupi,TO,NORTE,jan.-18,4
1712504,Marianópolis Do Tocantins,TO,NORTE,jan.-18,1
1715002,Nova Rosalândia,TO,NORTE,jan.-18,1
1721000,Palmas,TO,NORTE,jan.-18,12
1716109,Paraíso Do Tocantins,TO,NORTE,jan.-18,1
1716505,Pedro Afonso,TO,NORTE,jan.-18,1
1718204,Porto Nacional,TO,NORTE,jan.-18,1
1722107,Xambioá,TO,NORTE,jan.-18,2
1702109,Araguaína,TO,NORTE,fev.-18,6
1702208,Araguatins,TO,NORTE,fev.-18,1
1703842,Campos Lindos,TO,NORTE,fev.-18,1
1703891,Carrasco Bonito,TO,NORTE,fev.-18,1
1709500,Gurupi,TO,NORTE,fev.-18,8
1710508,Itacajá,TO,NORTE,fev.-18,1
1721000,Palmas,TO,NORTE,fev.-18,2
1715705,Palmeirante,TO,NORTE,fev.-18,1
1716109,Paraíso Do Tocantins,TO,NORTE,fev.-18,1
1718204,Porto Nacional,TO,NORTE,fev.-18,1
1718303,Praia Norte,TO,NORTE,fev.-18,1
1722081,Wanderlândia,TO,NORTE,fev.-18,1
1701309,Aragominas,TO,NORTE,mar.-18,1
1702109,Araguaína,TO,NORTE,mar.-18,2
1703305,Bom Jesus Do Tocantins,TO,NORTE,mar.-18,1
1703842,Campos Lindos,TO,NORTE,mar.-18,1
1705508,Colinas Do Tocantins,TO,NORTE,mar.-18,1
1707405,Esperantina,TO,NORTE,mar.-18,1
1709302,Guaraí,TO,NORTE,mar.-18,1
1709500,Gurupi,TO,NORTE,mar.-18,5
1710508,Itacajá,TO,NORTE,mar.-18,1
1711902,Lagoa Da Confusão,TO,NORTE,mar.-18,1
1712504,Marianópolis Do Tocantins,TO,NORTE,mar.-18,1
1713205,Miracema Do Tocantins,TO,NORTE,mar.-18,1
1714880,Nova Olinda,TO,NORTE,mar.-18,2
1721000,Palmas,TO,NORTE,mar.-18,4
1713809,Palmeiras Do Tocantins,TO,NORTE,mar.-18,1
1716208,Paranã,TO,NORTE,mar.-18,1
1718204,Porto Nacional,TO,NORTE,mar.-18,1
1720200,São Miguel Do Tocantins,TO,NORTE,mar.-18,1
1720804,Sítio Novo Do Tocantins,TO,NORTE,mar.-18,2
1721208,Tocantinópolis,TO,NORTE,mar.-18,1
1722081,Wanderlândia,TO,NORTE,mar.-18,1
1722107,Xambioá,TO,NORTE,mar.-18,1
1700400,Almas,TO,NORTE,abr.-18,1
1702109,Araguaína,TO,NORTE,abr.-18,3
1702208,Araguatins,TO,NORTE,abr.-18,1
1703602,Brasilândia Do Tocantins,TO,NORTE,abr.-18,1
1703842,Campos Lindos,TO,NORTE,abr.-18,1
1705508,Colinas Do Tocantins,TO,NORTE,abr.-18,1
1709500,Gurupi,TO,NORTE,abr.-18,2
1721000,Palmas,TO,NORTE,abr.-18,6
1716109,Paraíso Do Tocantins,TO,NORTE,abr.-18,1
1716208,Paranã,TO,NORTE,abr.-18,2
1716604,Peixe,TO,NORTE,abr.-18,1
1717909,Ponte Alta Do Tocantins,TO,NORTE,abr.-18,1
1718204,Porto Nacional,TO,NORTE,abr.-18,3
1718808,Sampaio,TO,NORTE,abr.-18,1
1720200,São Miguel Do Tocantins,TO,NORTE,abr.-18,1
1721208,Tocantinópolis,TO,NORTE,abr.-18,1
1702109,Araguaína,TO,NORTE,mai.-18,4
1702208,Araguatins,TO,NORTE,mai.-18,1
